_inputshopbuymultiple;KUP
reward_tree_northern_story_pt2;Gdy tylko topniały śniegi, władcy Północy rozpoczynali swoje błahe wojenki. Temeria próbowała wydrzeć Sodden z Cintry, Aedirn i Kaedwen spierali się o dolinę Pontaru. Ale kiedy z południa przybyły zakute w czarne blachy legiony Nilfgaardu, Nordlingowie odkryli, że więcej ich łączy, niż dzieli.
reward_tree_northern_story_pt3;Kiedy Nilfgaard rozpoczął inwazję, spodziewano się, że wojna zakończy się po kilku tygodniach – całkowitą klęską Północy. Ale, ku własnemu zaskoczeniu, Nordlingom udało się odeprzeć liczniejsze i lepiej wyposażone cesarskie legiony.
reward_tree_northern_story_pt4;Czy o zwycięstwie zadecydowali czarodzieje? Geniusz taktyczny świetnie wyszkolonych generałów? A może wkład wynalazców z Akademii Oxenfurckiej? Spory trwają do tej pory. Jak się okazało, Nordlingowie potrafią pokłócić się i o zwycięstwo...
reward_tree_northern_title;Królestwa Północy
reward_tree_northernftux_title;Królestwa Północy
reward_tree_novigrad_chest_1;Novigrad jest nie tylko najważniejszym portem Kontynentu - ale również stolicą kultu Wiecznego Ognia. To tu urzęduje hierarcha kultu, to tu płoną święte znicze... I liczne stosy, miejsca kaźni czarodziejów, zielarek i przedstawicieli Starszych Ras.
reward_tree_novigrad_chest_2;Novigrad jest wolnym miastem - ale jak długo nim pozostanie? Na ten bogaty port łakomym wzrokiem spoglądają zarówno Redańczycy, jak i Nilfgaardczycy. I jedni, i drudzy próbują zdobyć wpływy wśród miejskich rajców, kapłanów i przedstawicieli półświatka. A ci każą sobie słono płacić za swą chwiejną lojalność...
reward_tree_novigrad_chest_3;Do Novigradu ściągają ludzie z całego świata. Marzą o tym, żeby zbić majątek, zyskać sławę, poznać smak władzy i luksusu. Niektórym się to udaje... Ale większość kończy na ulicy, żebrząc o miedziaki na kolejną działkę fisstechu.
reward_tree_novigrad_story_pt1;Ach, Novigrad! Trzydzieści tysięcy mieszkańców, osiem banków, cztery młyny wodne... I pięć bardzo brutalnych gangów. 
reward_tree_novigrad_story_pt2;Imiona ich hersztów zna na pamięć każdy mieszkaniec Novigradu: Król Żebraków. Tasak. Gudrun. Skurwiel Junior. Cyrus Hemmelfart.
reward_tree_novigrad_story_pt3;Różni ich prawie wszystko: wiek, rasa, płeć. Ale mają jedną cechę, która ich łączy, wspólny mianownik. Miłość do złota.
reward_tree_novigrad_story_pt4;Dla pełnego złota trzosu są gotowi na wszystko: zdradzą, zniszczą, zabiją. I zrobią to z uśmiechem na ustach.
reward_tree_novigrad_title;Wolne Miasto Novigrad
reward_tree_oak_story_chest_1;Według legend najstarszym dębem na świecie jest Wielki Bleobheris. Wykiełkował on jakoby z wyrzuconego przez fale Żołędzia, zanim jeszcze jakiekolwiek rasy rozumne zasiedliły Kontynent. Polana pod Bleobherisem stanowi miejsce częstych wieców, postojów dla podróżnych i spotkań wędrowców. Opiekujący się wiekowym drzewem druidzi chętnie goszczą tu każdego – niezależnie od stanu posiadania, deklarowanego wyznania czy rasy. To pod Bleobherisem właśnie zwykł śpiewać swe ballady znany bard Jaskier. Niestety, z racji łatwego dostępu do Wielkiego Dębu i pomimo wielkiego szacunku, jakim powszechnie jest obdarzony, znalazło się kilku dowcipnisiów, którzy wyrzezali na żywej korze plugawe i obraźliwe wyrazy.
reward_tree_oak_story_chest_2;Znanym dębem jest także Drzewo Wiadomości Złego i Dobrego, które rośnie na rozstaju dróg za wsią Koprzywnica. Ludność całej okolicy, nawet z odległej Spalli, zwykła wykorzystywać jego olbrzymie, a dość niskie konary do wieszania na nich deszczułek i tabliczek zawierających przeróżne ogłoszenia, w tym szkice zaginionych osób, korespondencję miłosną, wywody filozoficzne, a także oferty masażu erotycznego i zbliżonych usług.
reward_tree_oak_story_pt_1;Dęby to niezwykłe drzewa. Nie tylko druidzi, lecz także prosty lud, darzą je ogromną czcią, a stare gaje dębowe są na całym Kontynencie uważane za święte. Kto zaprószy ogień w jednym z nich, ten narazi się na gniew zarówno ludzi, nieludzi, jak i bogów.
reward_tree_oak_story_pt_2;Na Ard Skellig święty gaj Gedyneith jest nie tylko miejscem kultu. Odbywają się tu wszystkie najważniejsze uroczystości, w tym śluby, pogrzeby i koronacje władców. A także – egzekucje najgorszych przestępców oraz zdrajców.
reward_tree_oak_story_pt_3;W Toussaint część Lasu Myrkvid, która stanowi gaj dębowy, jest nietykalnym sanktuarium, a to w myśl kompaktatów zawartych z druidami przez księżnę Annę Henriettę. Gdy jednak protekcja władczyni nie wystarczy do odstraszenia intruzów, zwykle czynią to przestrogi miejscowych, wedle których wejście do druidzkich dąbrów kończy się śmiercią w płonącej Wiklinowej Babie.
reward_tree_oak_story_pt_4;Drzewem Eithné jest również, ma się rozumieć, dąb. A raczej trzy zrośnięte razem dęby, od setek lat niezmiennie zielone, nie zdradzające żadnych objawów usychania, choć wewnątrz są… puste. Skrywają bowiem całkiem sporą dziuplę, w której mieszka królowa driad.
reward_tree_oak_title;Rok Wielkiego Dębu
reward_tree_ofir_chest_1;Pierwszą wyprawę z Ofiru prowadził Dulla kh'Amanni, a raczej pierwszą tak dobrze udokumentowaną przez kronikarzy. Istnieją bowiem przesłanki, w postaci ofirskich broni oraz dekoktów, które świadczą o dużo wcześniejszych ekspedycjach z zamorskiej krainy na tereny Kontynentu. Zresztą, wyprawa Dulla nie byłaby tak znana, gdyby nie jeden szczegół – poszerzanie wiedzy i handel stanowiły tylko kamuflaż dla prawdziwego celu Ofiryczyka. Był on bezpośrednim wysłannikiem potężnego króla Nibrasa. Miał odnaleźć syna władcy, który zaginął w trakcie swej podróży do Królestw Północy. Niestety, wyprawa się nie powiodła. Do króla dotarły wieści o śmierci potomka, a Dulla ugrzązł w Górnym Młynie, oczekując na kolejne rozkazy. Zmęczony wiejskim otoczeniem, z tęsknotą wyczekiwał powrotu do ojczyzny.
reward_tree_ofir_chest_2;Według legend Krucza Matka to najstarsza i najpotężniejsza spośród żyjących flaminik. Przewodzi tajemniczemu klanowi druidzkiemu w gaju Gedyneith. Nikt nie wie, nawet służący jej druidzi, czy jest tylko człowiekiem znającym kruczą mowę czy też duchem kruka zaklętym w ludzkim ciele? A może kiedyś była potężnym kruczym bóstwem, w końcu wypartym przez Freyję, toteż dziś już zapomnianym? Teorie są różne. Nie ulega jednak wątpliwości, że podopieczni Kruczej Matki nie boją się zaglądać w mrok i bez lęku sięgają po choćby najsilniejsze z ofirskich dekoktów – w przeciwieństwie do bardziej wstrzemięźliwych, a w ich mniemaniu zwyczajnie tchórzliwych druidów z innych kręgów.
reward_tree_ofir_chest_3;Ród Van Moorlehem znany jest z nieprzeciętnego zapotrzebowania na niewolniczą siłę roboczą. Podobno bez niej nie byliby w stanie utrzymać swego prestiżu i ekstrawaganckiego stylu życia. Na Północy mawia się, że nilfgaardzki arystokrata nie ruszy choćby palcem, dopóki jakiś niewolnik nie zrobi tego za niego. Z pozoru Van Moorlehemowie idealnie wpasowują do owego schematu. Tylko z pozoru. W ich pałacu bowiem próżno szukać widoku służących. Można by nawet rzec, że po wystawnych balach, które Ophelie Van Moorlehem – żona Vincenta, pani jego serca i zarządczyni wspólnego majątku – urządza z regularnością i zamiłowaniem, rezydencja aż świeci pustkami. Jeśli natomiast jakimś cudem niewolni wciąż kręcą się po pałacowych włościach, dziedzic rodu, Philippe Van Moorlehem, zabiera ich na przejażdżkę do lasu, z której nigdy już nie wracają. Stąd duże zapotrzebowanie rodu na „świeżą krew”... Bardzo chętnie też spróbują niewolników z Ofiru, byleby ci krwawili równie chętnie, co wszyscy poprzedni.
reward_tree_ofir_story_pt1;Przeciętni Nordlingowie wiedzą o Ofirze tylko tyle, co zwykło się powtarzać w plotkach, czyli dużo bzdur i niewiele prawdy. Większość nowinkarzy zgadza się jednak co do paru kwestii….
reward_tree_ofir_story_pt2;Po pierwsze, Ofir leży gdzieś na końcu świata, hen za morzami. Po drugie, normalnych zwierząt tam nie ma. Konie są albo białe w pasy czarne, albo wredne i garbate, a bydłu ogony rosną na pyskach miast na zadach.
reward_tree_ofir_story_pt3;Aż dziw tedy bierze, że ofirscy handlarze mają wszystko jak człeki zwyczajne – każdy głowę jedną i kończyn, ile trzeba, a rzyć z właściwej strony. Niemniej jednak targują się niby diabły, a cuda tworzą takie, jakich żaden Nordling nie potrafi.
reward_tree_ofir_story_pt4;W oczach Ofirczyków mieszkańcy Królestw Północy są zwykłymi barbarzyńcami, i nawet znani z postępowości Nilfgaardczycy wydają im się narodem z grubsza zacofanym. Niestety, napady ze strony Scoia’tael oraz inne liczne trudności, których handlarze doświadczają w czasie ekspedycji na ziemiach Kontynentu, tylko pogłębiają ich odczucia.
reward_tree_ofir_title;Kupcy Ofiru
reward_tree_scoiatael_chest_1;Znakiem rozpoznawczym Scoia’tael są wiewiórcze ogony przytroczone do czapek bądź pasów. Ciężko powiedzieć, czemu nieludzie obrali sobie za symbol akurat tego gryzonia – być może chodziło o zwinność, z jaką porusza się po lesie. Co ciekawe, w tych częściach Kontynentu, gdzie komanda Scoia’tael są szczególnie liczebne, wiewiórki są na wyginięciu. O, ironio...
reward_tree_scoiatael_chest_2;Scoia’tael nie mają sztywnej hierarchii właściwej dla tradycyjnych armii. Partyzanci dzielą się na liczące kilkanaście osób oddziały, zwane komandami. Ich dowódcą zostaje zwykle wojownik bądź wojowniczka, którzy wykażą się szczególną odwagą... I okrucieństwem wobec ludzi.
reward_tree_scoiatael_chest_3;Warto podkreślić, że nie wszyscy nieludzie sprzyjają Scoia’tael. Wielu uważa, że partyzanci są naiwni i krótkowzroczni, a ich rebelia przyniesie więcej złego, niż dobrego. Co ciekawe, do najostrzejszych krytyków Wiewiórek należał Brouver Hoog... Ale ludzie i tak wrzucają ich do tego samego kapelusza.
reward_tree_scoiatael_story_pt1;Niewielu mieszkańców Kontynentu zna Starszą Mowę, język elfów i krasnoludów – ale słowo “Scoia’tael” słyszał każdy. Wiewiórki. Bojownicy o sprawę nieludzi, którzy nie powstrzymają się przed żadnym okrucieństwem...
reward_tree_scoiatael_story_pt2;Zepchnięte do zatłoczonych gett, szykanowane na każdym kroku, elfy i krasnoludy czekały na dogodny moment, by zerwać się do boju przeciw Królestwom Północy. Ten nadszedł w czasie wojen z Nilfgaardem. Kiedy cesarstwo rozpoczęło inwazję, nieludzie uderzyli od tyłu...
reward_tree_scoiatael_story_pt3;Scoia’tael byli wiernymi sojusznikami Nilfgaardu. Żadna misja nie była zbyt ryzykowna, żadne poświęcenie zbyt wielkie. Ale kiedy okazało się, że Cesarstwo przeliczyło siły i musi zawrzeć pokój z Królestwami Północy, szybko odwróciło się od niedawnych sprzymierzeńców...
reward_tree_scoiatael_story_pt4;Zdradzeni przez Nilfgaard, znienawidzeni przez Królestwa Północy, Scoia’tael nie mają szansy na zwycięstwo...  Co nie znaczy, że mają zamiar się poddać. Rozpaleni nienawiścią, atakują już nie po to, by wygrać – lecz by się zemścić.
reward_tree_scoiatael_title;Scoia'tael
reward_tree_scoiataelftux_title;Scoia'tael
reward_tree_sigi_chest_1;Sigismund Dijkstra był mężem o nadzwyczajnym intelekcie i potężnych ambicjach, który, choć lichego rodu, dochrapał się stanowiska szefa redańskiego wywiadu. Niestety, na skutek zdrady został zmuszony do porzucenia Rady Regencyjnej i samego królestwa. To niepowodzenie było jednak dla kogoś tak sprytnego i przebiegłego jak on jedynie szansą na wybranie nowego kierunku rozwoju. Dostrzegłszy wielki potencjał w novigradzkim półświatku, Dijkstra usadowił się w samym jego centrum pod pseudonimem Sigi Reuven, szybko zyskując ogromne wpływy. To on wyznaczył przestępcom Wolnego Miasta reguły postępowania – a potem wykorzystywał je, kiedy tylko nadarzyła się okazja.
reward_tree_sigi_title;Sigismund Dijkstra
reward_tree_skellige_chest_1;W rozbudowanym panteonie Wysp Skellige pierwsze miejsce zajmuje niewątpliwie Freyja – opiekunka domowego ogniska, miłości, płodności i urodzaju. Przez wielu uznawana jest za tożsamą z czczoną na kontynencie Melitele – jednak nie należy wspominać o tym mieszkańcom wysp, poczytują oni bowiem takie porównanie za świętokradztwo i obelgę. Freya jest także patronką wieszczek, jasnowidzek i telepatek, co potwierdzają jej atrybuty: naszyjnik jasnowidzenia Brisingamen, kot, który słyszy i widzi to, co ukryte, oraz sokół, który patrzy z wysoka.
reward_tree_skellige_chest_2;Wyspy Skellige zamieszkuje siedem klanów: Brokvar, Dimun, Craite, Drummond, Tordarroch, Heymaey i Tuirseach. Każdy z nich uważa się za najbitniejszy i najodważniejszy – a jego członkowie chętnie wyzwą na pojedynek każdego, kto ośmieli się zakwestionować te przechwałki. Wszyscy Skelligijczycy uznają jednak zwierzchność jednego króla – którego wybierają w głosowaniu. Kto może brać w nim udział? Każdy. Bez względu na pochodzenie, płeć czy wiek.
reward_tree_skellige_chest_3;Skelligijczycy są ściślej związani z naturą, niż mieszkańcy Kontynentu. Nigdzie indziej druidzi nie cieszą się taką estymą, jak na Skellige. Nigdzie indziej myśliwi nie podchodzą z takim szacunkiem do zwierzyny. Nigdzie indziej w szeregach armii nie ma ryczących niedźwiedzi. Tak, tak. Dobrze przeczytałeś.
reward_tree_skellige_story_pt1;Kilka skalistych wysepek, na których żyje więcej owiec, niż ludzi. Plemię wiecznie pijanych, niesfornych pasterzy i rybaków. Podbić ich? Nic prostszego. Tak właśnie myślało wielu władców Kontynentu. Wszyscy pokruszyli zęby na klifach Skellige.
reward_tree_skellige_story_pt2;Jak to możliwe? Jakim cudem Skelligijczykom udaje się odeprzeć kolejne nilfgaardzkie armady, przegnać zagony z Cidaris? Wielu mówi, że to za sprawą potężnych sztormów, które roztrzaskały statki o skały. Skelligijczycy na te tłumaczenia reagują śmiechem.
reward_tree_skellige_story_pt3;Skoro nie wiesz jak pływać po wzburzonym morzu, mówią, powinieneś trzymać się przybrzeżnych wód. Skoro nie wiesz, jak walczyć na zaśnieżonych górskich zboczach, zostań na równinach.
reward_tree_skellige_story_pt4;I faktycznie, mieszkańcy Skellige wydają się ulepieni z innej gliny, niż ludzie z Kontynentu. Są bardziej hardzi, wytrzymali, mniej czuli na ból. I, co najważniejsze – zamiast bać się śmierci, z niecierpliwością jej wypatrują.
reward_tree_skellige_title;Skellige
reward_tree_skelligeftux_title;Skellige
reward_tree_svalblod_chest_1;Centrum kultu Svalbloda na wyspach była Fornhala, osada położona wysoko w niedostępnych górach Ard Skellig.Po tym, jak zakazano czcić tego okrutnego bożka, chaty opustoszały, a chramy popadły w ruinę. Ale ci, którzy trafili potem do Fornhali – pasterze podążający tropem zbłąkanych owiec, podróżni, którzy szukali schronienia przed nadciągającą śnieżycą – przyrzekali na wszystkie świętości, że na ołtarzach poświęconych Svalblodowi połyskiwała świeża krew, a z pieczar niósł się niedźwiedzi ryk...
reward_tree_svalblod_chest_2;O tym, że kultu Svalbloda nie udało się do końca wykorzenić, mieszkańcy Skellige przekonali się w bolesny sposób. W trakcie uczty na Kaer Trolde, jaką wydał jarl Crach an Craite, wybuchła walka. To nie byłoby niczym wyjątkowym – biesiady, na których nie doszło do bójki, wyspiarze uznawali za nieudane – gdyby nie to, że część gości zamieniła się nagle w rozwścieczone niedźwiedzie. Całe szczęście na zamku przebywał akurat pewien wiedźmin, inaczej pewnie nikt nie uszedłby stamtąd z życiem...
reward_tree_svalblod_chest_3;Nadjeście Krwawej Klątwy rozzuchwaliło kultystów Svalbloda. Przestali się ukrywać i znów jawnie czczą swego okrutnego boga. Wielu młodych wojowników, marzących o chwale i nadludzkiej sile, ulega podszeptom zdeprawowanych druidów i dołącza do zakazanych rytuałów. Jarlowie naradzają się, czy wysłać w góry kolejną ekspedycję karną... Czy zapomnieć o dawnych konfliktach i wykorzystać wyznawców niedźwiedziego boga w walce z wrogami Skellige. 
reward_tree_svalblod_story_pt1;Skelligijczycy mają na Kontynencie opinię okrutników. I faktycznie, wyspiarze lubują się w walce, w przelewaniu krwi. Niektórzy czczą nawet bożka, który jest uosobieniem bitewnego szału. Zwie się Svalblod.
reward_tree_svalblod_story_pt2;Svalblod łączy w sobie człowieka i niedźwiedzia... W sposób, który przyprawia o koszmary. Jego zdeformowane ciało wygląda jak pole bitwy, na którym ciągle ścierają się dwa sprzeczne ze sobą żywioły.
reward_tree_svalblod_story_pt3;Jego wyznawcy zażywali halucynogenny dekokt i udawali się do pieczary w sercu Ard Skellig. Tam przybywały niedźwiedzie i pożerały ich żywcem... A ludzie, niby pasożyty, przejmowali potem kontrolę nad ciałami zwierząt.
reward_tree_svalblod_story_pt4;Jarlowie Skellige postanowili położyć temu kres. Wyłapali wyznawów Svalbloda, spętali i wypchnęli na morze na drakkarach bez żagli. To miał być koniec krwawego kultu... Ale nie tak łatwo jest zgładzić boga.
reward_tree_svalblod_title;Svalblod
reward_tree_syndicate_ftux_title;Syndykat
reward_tree_tb_story_pt1;Kiedy Meve wyjeżdżała na szczyt monarchów w Hagge, przekazała ochmistrzyni, by wyglądała jej rychłego powrotu. Tymczasem minął rok, nim królowa znów poszła spać we własnym łóżku...
reward_tree_tb_story_pt2;W międzyczasie Lyria i Rivia zostały podbite przez Nilfgaard. Cesarscy emisariusze poświęcili ich zajęciu ledwie kilka zdań. Czymże bowiem były te kraiki wobec ambicji Emhyra var Emreisa?
reward_tree_tb_story_pt3;Królowa Meve nie złożyła broni – choć mało kto wierzył, by zdołała odzyskać utraconą schedę. Wszystkich mieszkańców Kontynentu czekała niespodzianka... Szczególnie zaś Nilfgaardczyków.
reward_tree_tb_story_pt4;Meve przeszła długą drogę: przez zgliszcza Aedirn, śniegi Mahakamu i bagniska Angren. A kiedy wróciła wreszcie do ojczystej krainy, poprzysięgła bogom, że nigdy już nie opuści jej granic.
reward_tree_tb_title;Wojna Krwi
reward_tree_treasures_box_story_chest_1;Mistrz Kesten zmienił moje życie. Pamiętam gdy trafiłem do jego laboratorium ze świątynnego przytułku. Moim pierwszym zadaniem jako ucznia było zamiatanie podłogi. Pamiętam również mój ostatni dzień, gdy przestałem być czeladnikiem i stałem się mistrzem – dostałem w prezencie wierzbową witkę wyjętą z miotły. Ostatni prezent dostałem od Mistrza Kestena wczoraj, gdy zjawił się niezapowiedziany i wcisnął mi w rękę mały flakonik. Jeśli stara księga nie kłamie, zawartość tej fiolki znów zmieni moje życie.
reward_tree_treasures_box_story_pt_1;Kiedy Ivana zachorowała, zupełnie porzuciłem swoje dotychczasowe badania i zacząłem szukać dla niej lekarstwa. Pracowałem jeszcze ciężej, jednak brakowało mi wiedzy medycznej, więc przygotowane przeze mnie dekokty nie pomagały. W pewnym momencie straciłem wszelką nadzieję. Zamknąłem się w laboratorium i pogrążony w czarnych myślach wpatrywałem się w wygasłe palenisko pod alembikiem.\nZ marazmu wyrwała mnie wizyta dawnego ucznia. Wiedział on o tragedii Ivany z listów, które wymienialiśmy, zanim ogarnęła mnie rezygnacja. Rezydował w mieście, miał dostęp do manuskryptów, o których nawet nie słyszałem i przywiózł mi wypis z alchemicznej księgi traktującej o Eliksirze Zakazanej Wiedzy.
reward_tree_treasures_box_story_pt_2;Eliksir Zakazanej Wiedzy nie był lekarstwem sam w sobie, obiecywał jednak zrozumienie poza ludzkim wyobrażeniem. Uczepiłem się myśli, że dzięki niemu dowiem się, jak powstrzymać śmierć żony. Większość składników znajdowała się w moim zasięgu i zdobyłem je po sprzedaniu domu. Dwóch pozostałych nie mogłem po prostu kupić, musiałem się po nie wyprawić. Za ostatnie pieniądze kupiłem zaprzężony w dwa konie wóz i pożegnaliśmy się z domem. Gdy wyruszaliśmy w drogę, malwy zasadzone przez Ivanę na skraju mojego herbarium nie zdążyły jeszcze zakwitnąć.
reward_tree_treasures_box_story_pt_3;Do Amellu zdołaliśmy dotrzeć dzięki szarlatanerii i dobremu sercu obcych ludzi. Aparatura na wozie kazała wierzyć mieszkańcom mijanych wsi, że barwiona woda, którą im sprzedaję ma cudowne właściwości. Gdzie kłamstwo nie pomagało, tam Ivana zjednywała sobie mrukliwych chłopów uśmiechem i dzielili się z nami chlebem i radą. Dzięki nim znaleźliśmy Łąki Bobołaków, znane mi z De Herbarum Virtutibus. To na nich miał rosnąć rzadki czarny asfodel.\nPoszukiwania kwiatu trwały blisko miesiąc. Systematycznie przeczesywaliśmy każdą piędź ziemi od linii lasu do łęgu, gdzie grząski grunt chlupotał nam pod stopami. Podtrzymywałem Ivanę na ramieniu, bo wiedziałem, że tylko jej sokoli wzrok pozwoli nam wyłowić kwiat asfodelu wśród chabrów, maków i kaczeńców. Nie myliłem się, pewnego dnia po południu moja żona schyliła się, przepędziła sennego trzmiela i zerwała czarne płatki.
reward_tree_treasures_box_story_pt_4;W sierpniowym słońcu samotny jarząb rosnący na środku łąki rzucał cień w sam raz dla dwojga. Ivana nie mogła już chodzić o własnych siłach, ale zmarniała tak, że nosiłem ją na rękach bez wysiłku. Gdy położyłem ją na trawie, powiedziała: „Wybij sobie z głowy drugi składnik. Wiem, że mógłbyś dla mnie zabić, ale ani ja tego nie chcę, ani ty nie zniósłbyś życia mordercy. Poza tym, w jaki sposób poznasz, czy jest dobrym człowiekiem. I co mu takiego zrobisz, żeby zapłakał w agonii? Wyrzuć tę fiolkę, nie ma mowy o żadnym zabijaniu”. Chciałem jej odpowiedzieć, ale zasnęła, więc wsłuchałem się w koncert świerszczy.\nPod samotny jarząb wracaliśmy jeszcze przez trzy dni. Trzeciego dnia w południe Ivana umarła, a po jej policzku spłynęła samotna łza.
reward_tree_treasures_box_title;Tajemnicza skrzynka z łamigłówką
reward_tree_treasures_vial_story_chest_1;„Obwieszcza się wszem i wobec, że Ferragudo Mateus, uczeń czarodzieja, uciekł z lochów wojewody i przebywa na wolności. Miejsce jego pobytu pozostaje nieznane. Mateus winien jest okrutnych zbrodni popełnionych w murach naszego grodu oraz w chramie Lwiogłowego Pająka. Przeklęty przez bogów i ludzi nie umknie karzącej ręce sprawiedliwości, ale niech będzie powszechnie wiadome, że kto udzieli mu pomocy albo schronienia, tego również dosięgnie sprawiedliwa kara.”
reward_tree_treasures_vial_story_pt_1;Gdy po raz pierwszy ujrzałem szkatułę z rzeźbionym okiem, od razu rozpoznałem w niej dzieło mistrza rzemiosł. Nie wyglądała na twór żadnej ze znanych mi ludzkich kultur – musiała powstać gdzieś bardzo daleko stąd. W niewytłumaczalny dla mnie sposób nabrałem przekonania, że szkatuła jest łamigłówką, mimo, że wyglądała po prostu na pojemnik. Poczułem zadowolenie, ponieważ uzmysłowienie sobie jej prawdziwego przeznaczenia było postawieniem pierwszego kroku na drodze do rozwiązania ukrytej zagadki.\nGdy nagły podmuch wiatru zakołysał wisielcem, a jego podkute żelazem buty uderzyły mnie w ramię, wyrwany z rozmyślań podniosłem szkatułę z trawy i wsunąłem ją do torby. Co koń wyskoczy ruszyłem w kierunku promu, by przeprawić się przez rzekę, zanim rozpęta się burza.
reward_tree_treasures_vial_story_pt_2;Nawet bogowie nie walczą z przeznaczeniem, a co dopiero ja, skromny podróżny w drodze ku lepszej przyszłości. Potężna nawałnica odebrała mi szansę na szybką przeprawę przez rzekę i kazała mi szukać schronienia w murach cmentarnego mauzoleum. Rozgrzeszony przez pogodę mogłem poświęcić się dalszemu rozgryzaniu zagadki szkatułki z rzeźbionym okiem.\nDługo szukałem palcami, ale nie znalazłem żadnych ruchomych części. Bez skutku próbowałem wciskać ornamenty. W pewnym momencie przyszło mi do głowy, że muszę spojrzeć na problem szerzej, niejako z zewnątrz. Zapaliłem się do tej myśli. Niech mauzoleum, w którym się schroniłem będzie modelem tajemniczej skrzynki! Niech to, co spogląda sponad mojego ramienia będzie obrazem mnie! Ja zaś dostrzegę w końcu rozwiązanie pod warunkiem, że będę patrzył z obu stron! Przyjąłem więc podaną mi przez szkatułę łyżkę, wyjąłem sobie z jej pomocą oko i umieściłem je na katafalku naprzeciwko pojemnika. Od tego momentu wszystko poszło jak z płatka.
reward_tree_treasures_vial_story_pt_3;Okazało się, że zagadka, którą rozwiązuję należy do nieznanego dotąd typu łamigłówek dygresyjnych. Byłem już o dwa kroki od rozwiązania, gdy moja kontemplacja została zakłócona przez intruzów. Na szczęście poznałem już dobrze wybiegi szkatuły i wiedziałem, że na to wyzwanie muszę odpowiedzieć wysuwając boczne szuflady. Patrząc w źrenicę oka widziałem niczym przez okno rozstępującą się na cmentarzu ziemię i wpadających w szczeliny zbrojnych. Po przekręceniu i wysunięciu drugiej szuflady ze szczelin wyszli mieszkańcy podziemnego świata. Grube mury mauzoleum nie pozwoliły zmącić ciszy mojego skupienia zgiełkiem. Nareszcie mogłem podnieść wieko i zmierzyć się z ostatnim wyzwaniem.
reward_tree_treasures_vial_story_pt_4;Teraz już wiem, że rozwiązania nie dało znaleźć się od razu. Musiałem przejść całą drogę, jak dziecko, które najpierw jedynie krzyczy, potem artykułuje pojedyncze słowa, a dopiero gdy podrośnie, potrafi wypowiedzieć właściwe zdanie.\nTo nie ja rozwiązywałem zagadkę szkatuły, lecz to ona rozwikływała zagadkę mnie. Cóż więc prostszego niż połamać sobie kości, złożyć się na kształt skrzyni, uformować węzły mięśni w ornament i przyozdobić go okiem? Przekształcić twarz na podobieństwo oblicza, które ujrzałem pod otwartym wiekiem i wtłoczyć ją w ramy wyznaczone liniami jelit? Teraz, zanim wieko opadnie, po raz ostatni rzucę kamiennemu niebu spojrzenie pełne triumfu. A potem odbiorę nagrodę, którą jest możliwość zadania zagadki komuś innemu.
reward_tree_treasures_vial_title;Fiolka zakazanej wiedzy
reward_tree_tutorial_title;Samouczek
reward_tree_unseen_elder_chest_1;Mimo, iż Ukryty od wieków nie opuścił swej pieczary, zna Wspólną Mowę. Ale nieliczni śmiałkowie, którzy go spotkali i uszli z życiem, ostrzegają, że nie jest cierpliwym rozmówcą. Wystarczy jedno nieprzemyślane pytanie, jedno kłamstwo, by Ukryty rzucił się do twojego gardła. A wtedy każdy jest bezsilny – nawet obdarzony nadludzkim refleksem wiedźmin.
reward_tree_unseen_elder_chest_2;Mieszkańcy Toussaint zarzekają się, że czasem, w spokojne bezwietrze noce, wody jeziora Lac Célavy niosą szepty w obcym, zgrzytliwym języku, od których cierpnie skóra, a włosy stają dęba. To Ukryty przemawia do swoich braci i sióstr, zaleca im cierpliwość. Któregoś dnia bramy między światami znów staną otworem. Któregoś dnia opuszczą Kontynent i wrócą do swego domu.
reward_tree_unseen_elder_chest_3;Wampiry darzą Ukrytego czołobitnym szacunkiem. Odwiedzając go, gną się w ukłonach, przynoszą podarki. A jeśli Ukryty czegoś od nich zażąda – spełniają jego życzenia bez chwili wahania. Strach pomyśleć, co by się stało, gdyby Ukryty któregoś dnia wyszedł na powierzchnię, gdyby zjednoczył krwiopijców pod swoim przywództwem i wydał wojnę ludziom. Ale coś takiego z pewnością nigdy się nie stanie... Prawda?
reward_tree_unseen_elder_story_pt1;W jaskiniach pod Toussaint prastary wampir cierpliwie czeka na kolejną Koniunkcję Sfer. Jego pobratymcy zwą go Ukrytym… A śmiertelnicy nie zdają sobie nawet sprawy z jego istnienia.
reward_tree_unseen_elder_story_pt2;Ukryty nie łaknie władzy, bogactwa ani nawet krwi. Jedyne, czego pragnie, to wrócić do swego świata, z którego został wygnany. Od stuleci wpatruje się w zamkniętą na głucho bramę...
reward_tree_unseen_elder_story_pt3;Zastygły w bezruchu, bezgłośny, Ukryty wygląda, jakby zapadł w zimowy sen, niby nietoperz zawieszony u powały. Ale jeśli ktokolwiek zakłóci jego spokój bądź zagrozi bramie, przekona się, do czego zdolny jest Ukryty.
reward_tree_unseen_elder_story_pt4;Jedno słowo. Tyle potrzebuje Ukryty, by zmusić inne wampiry do posłuszeństwa. Jeden ruch – tyle wystarczy, by jego przeciwnik padł rozpłatany w pół. Dlatego pieczary pod Toussaint lepiej omijać z daleka...
reward_tree_unseen_elder_title;Ukryty
