_inputshopbuymultiple;BUY
reward_tree_dryad_border_story_pt3;Indeed, one legend tells that the first dryads were ordinary human women, enchanted by elves to support the Aen Seide in battle. Rather than fulfill their intended purpose, however, they took to the forest and have remained there ever since.
reward_tree_dryad_border_story_pt4;And what of the eerie wives themselves? Have they knowledge of their origin? One ambitious student from Oxenfurt ventured to Brokilon to find out. Unsurprisingly, he was never heard from again... Yet a dozen-odd years later, scholars from his department spotted several young dryads who bore a striking resemblance to their lost colleague...
reward_tree_dryad_border_title;Season of the Dryad
reward_tree_eist_chest_1;Eist Tuirseach and Calanthe never bore children. Some claimed that the Lioness of Cintra – for whom this was her second marriage – was incapable of granting an heir due to her advanced age. However, those closest to Eist knew better. The islander never wished to father a child – not after witnessing what power resided within Calanthe's daughter, Pavetta. In the veins of Cintrian royalty flowed the Elder Blood, which he believed would not mix well with the hot temper so characteristic of Skelligers.
reward_tree_eist_chest_2;Eist became renowned on the Isles for his skills as a sailor. He could maneuver a longship through Skellige's narrowest fjords on a moonless night, navigate the fiercest storms at full sail, and drive Nilfgaardian ships more than twice the size of his own onto the islands' jagged, rocky coastlines. Who knows what new and exotic lands he might have discovered had he not planted his roots in Cintra...
reward_tree_eist_chest_3;To ensure his ship never deviated from its course, Eist often closely observed the stars. Yet one night – lying on the deck of his longship, hands clasped behind his head – he eyed something more than just a map etched in sky. He saw something that turned the good-humored, carefree adventurer in him into a grim and somber man. Whenever asked what he saw in the stars that night, Eist merely replied... "The future."
reward_tree_eist_story_pt1;Eist looked different than the other islanders. His hair dark, his skin markedly aged and weathered by the sun – he stood out in a crowd. His appearance, it seemed, paralled a certain longing, for he often looked upon the horizon, his gaze distant, giving the sense that his thoughts were lost somewhere far beyond Skellige's shores...
reward_tree_eist_story_pt2;Eventually, Eist did leave his homeland to settle in Cintra at the side of the illustrious Queen Calanthe. They say one look from the swarthy pirate was enough to melt the queen's icy heart...
reward_tree_eist_story_pt3;Although Eist loved Calanthe beyond measure, he was never truly happy in Cintra. He could not shake the lingering feeling that catastrophe awaited him, that a tragic fate had been written for him in the stars...
reward_tree_eist_story_pt4;Indeed, several years following their wedding, Nilfgaard attacked Cintra. Eist fought the invaders with the fury of a sea devil, but eventually fell, pierced by an arrow. The Skellige Isles, his homeland, now serve as his final resting place. He lies there alone, for Calanthe's body was never found.
reward_tree_eist_title;Eist Tuirseach
reward_tree_eithne_chest_1;Dryads possess a power allowing them to influence plants to grow in any shape. In this way they construct their fortifications, homes, and palaces. The process is slow, sometimes lasting centuries... Fortunately, dryads are a patient bunch.
reward_tree_eithne_chest_2;The most gifted dryads are able to push this ability further, to create new life-forms from plants, capable of movement... Even rudimentary thought. These beings are known as treants. Few have laid eyes upon them – knowingly, at least. In a dense forest, they are near impossible to spot... And even more difficult to escape.
reward_tree_eithne_chest_3;From time to time, the human leaders of the realms that border Brokilon – Verden, Cidaris, and Temeria – once again resolve to set ablaze the primeval forest and the dryads who dwell within. Up to the wood's edge they transport barrels of tar and straw. However, they are typically abandoned with haste after the first volley of silent arrows is released from behind the wall of trees.
reward_tree_eithne_story_pt1;Even sworn enemies sometimes negotiate, perhaps in the hope of establishing a compromise or truce. But never Eithné, Queen of the Dryads. Her hatred toward humans is unwavering. To their bargains, pleas, cries, threats, her answer is always the same – a well-aimed arrow between the eyes.
reward_tree_eithne_story_pt2;Under Eithné's leadership, humans are never permitted to enter the forests of Brokilon. Well... Almost never. After all, even dryads must procreate somehow.
reward_tree_eithne_story_pt3;For this reason, dryads will kidnap human girls and, occasionally, men in their prime. Their role in dryad society is easy to guess. However, they are then forever banished from the forest once their "duty" is fulfilled... Despite their impassioned pleas to stay.
reward_tree_eithne_story_pt4;Girls who are brought in to swell the dryads' ranks are made to drink from a source known as the Water of Brokilon. It sharpens their senses, strengthens their bodies... And rids them of their memories.
reward_tree_eithne_title;Eithné
reward_tree_eldain_chest_1;It's commonly known that Eldain had a soft spot for music. In fact, prior to joining the Scoia'tael, he frequented human festivals as a lutist. On one occasion, Eldain's forces captured a minstrel who requested to sing rather than utter his final words, in the hopes that Eldain would be swayed to mercy. Indeed, with a grin across his face, Eldain enjoyed and applauded the bard's performance. He then ordered the man flayed alive.
reward_tree_eldain_chest_2;Eldain selected the Moulderwood as the base of his commando's operation, for it was a primordial forest so dense that even under the glare of the noon sun it bore the semblance of twilight. Only two types of human caravans ever traversed it: those surrounded by at least twenty armed guards, and those that never emerged.
reward_tree_eldain_chest_3;When Eldain's commando seized control of the Moulderwood, many Aen Seidhe insisted he rebuild the numerous elven ruins scattered throughout, yet Eldain always refused. Some suspected the ruins benefitted the Scoia'tael by reminding the elves of human cruelty. The truth was much more mundane. Columns serve as better cover when toppled.
reward_tree_eldain_story_pt1;Eldain tried, with all the strength his will could muster, to live in peace among humans. He bowed to his neighbors in respect, brushed off insults and the occasional shove. Yet when the surrounding orchards suffered from blight, a scapegoat was needed. Someone, anyone to blame for their misfortune. Eldain was an elf – and that was enough.
reward_tree_eldain_story_pt2;Eldain joined the Scoia'tael fully aware that their war was doomed to fail, and at the end of that road only death awaited him. He decided, therefore, that his mission in life would be to live on in memories of humans – as a nightmare.
reward_tree_eldain_story_pt3;Eldain knows how to stir and play on people's fears. He tortures his victims in roadside thickets, where their screams are within earshot of every passing traveler. The mutilated corpses he then leaves exposed to rot near human settlements.
reward_tree_eldain_story_pt4;It comes as no surprise that quickly Eldain became the most hated of all Scoia'tael in Aedirn. Yet despite the immense bounty placed on his head by the king, few dared seek him out...
reward_tree_eldain_title;Eldain
reward_tree_elf_2_story_chest;There was something Ida Emean didn't mention to anyone, not even to Francesca.\nThe elven sage secretly loved the sea.\nShe wasn't ashamed of this feeling, since it would be hard to find something more pure and innocent. She simply liked to keep all sentiments to herself, instead of sharing them with others. Therefore, she watched the sea alone and listened to it carefully, while the waves swept her feet. Open waters somehow reminded her of a long lost home, despite living in the Blue Mountains. Nonetheless, she never said it out loud. Only her appearance could reveal those feelings she kept hidden at the bottom of her heart. She never wore precious metals or mountain stones, always preferring pearls, coral, and amber over them.\nThere was something soothing in those little pieces of jewelry. A small reminder of a home Ida never really had.
reward_tree_elf_2_story_pt1;Red-haired and large-eyed Ida Emean aep Sivney was the second elf – next to Francesca Findabair – in the Lodge of Sorceress, and the only Aen Saevherne there. Though it was not very surprising, since sages are a very rare sight even among the elves and meeting them is considered a great honor.
reward_tree_elf_2_story_pt2;But that’s also why Ida provoked suspicions among other members of the Lodge – by her very presence. The free elves from the Blue Mountains usually avoided not only humans but even their own kind, especially those who lived in close proximity to humans. Regardless, she decided to join their order.
reward_tree_elf_2_story_pt3;Of course, she wasn’t following her heart or acting on impulse. It was pure politics. Since the queen of Dol Blathanna wished her to join the Lodge, Ida did. Otherwise, she would not be meddling in human affairs. After all, history often proved that it brings only trouble.
reward_tree_elf_2_story_pt4;So, after the fall of the Lodge, when Triss Merigold asked her for help in the fight against Wild Hunt, Ida outright refused. No hesitation, no reproach. She could ally with people if the need arose, but she was not going to die for them.\nNot even in a thousand years.
reward_tree_elf_2_title;Ida Emean aep Sivney
reward_tree_elf_avatar_chest_1;Although more than two hundred years have passed since Aelirenn's rebellion, her memory yet lives on. At the palace of Shaerrawedd, situated in the wilds of Kaedwen, Scoia'tael warriors continue to tend to Aelirenn's beloved garden – her treasured white roses in particular. On occasion, human travelers have inadvertently stumbled upon the hallowed grounds. Enchanted by the beauty of this ivy-strewn relic of the past, some took a rose for posterity – woefully unaware of the flower's cherished significance...
reward_tree_elf_avatar_chest_2;Due to her petite and frail frame, Aelirenn never gained the reputation of legendary warrior. Rather, she is remembered for her ability to orate, to inspire in the face of common sense and better judgment. When she called for war, resistance from the elders proved futile to stop her. The last elven king and his advisers knew full well that defeat on the battlefield would herald the eventual destruction of their race. With tears in their eyes, they watched on from palace windows as the elven kingdom's last line of defense marched off to war in the face of impossible odds.
reward_tree_elf_avatar_chest_3;Aelirenn's banner did not bear a coat of arms nor seal of the elven kingdom. She used but a simple circle, for this represented the globe and thus the scope of her ambitions. The other Elder Races – dwarves, halflings, and gnomes – looked upon the standard with a feeling of unease. They knew not the fate that would await them should the White Rose of Shaerawedd achieve victory... Humans, on the other hand, merely laughed at the sight of the Aelirenn's standard. Why? Because any fool with half a brain knows the world is flat...
reward_tree_elf_avatar_story_pt1;Today, It is commonly believed that the elven kingdom's demise was inevitable. Yet, who can know truly? If not for Aelirenn's intervention, history may have followed an altogether different path.
reward_tree_elf_avatar_story_pt2;Humans and elves had agreed to a peace agreement approximately two hundred years ago. As result of the accord, the kingdom of elves – which had once stretched from the Great Sea to the Blue Mountains – was reduced to a mere scrap of land. Nevertheless... It persisted.
reward_tree_elf_avatar_story_pt3;Then emerged Aelirenn. "No more truces, no more elves on bent knee," she would profess. "This is elven land. We will take back what was stolen! We shall drive the ape-men into the sea!"
reward_tree_elf_avatar_story_pt4;The elders had warned that Aelirenn's plan would likely spell suicide. Despite their protestations, the realm's young and spirited refused to heed the elders' advice, choosing instead to follow Aelirenn's fiery rhetoric. As promised, her warriors would indeed find honor. Honor... And death.
reward_tree_elf_avatar_title;Aelirenn
reward_tree_elf_border_chest_1;Elves have a unique aptitude for magic. In fact, it was the Aen Seidhe who created the first spells and helped humans to master them – a gesture of goodwill in the hopes of peaceful coexistence. The elven mages of greatest renown are known as the Aen Saevherne – known more simply as "sages." The world withholds few secrets from these elves, for in addition to magic, they are adept in the fields of alchemy, astronomy, and astrology... Why, even genetics.
reward_tree_elf_border_chest_2;Many Nordlings believe that the roots of the Nilfgaardian people extend far back to an elven tribe sometimes referred to as the Black Seidhe. This would explain much. After all, their language is derived from Elder Speech, the Empire is far more developed than the North, and they treat non-humans with much less hostility... However, the truth behind such characteristics is rather different. Whereas the people of the south simply chose to adopt some of the elves' best traits,  the people of the north opted for slaughter.
reward_tree_elf_border_chest_3;Though elves are quick to paint themselves as victims of human expansion, their own consciences are far from clear. The foothills of the Blue Mountains and the shore of Loc Muinne are strewn with the ruins of ancient Vran cities. Underneath them lie caverns still littered with the bones of this intelligent reptilian race who had dwelled there well before the Aen Seidhe's arrival. Close inspection of their remains suggests that the Vrans were not wiped out by natural causes.
reward_tree_elf_border_story_pt1;The Aen Seidhe, the People of the Hills. Traces of their magnificence remain visible to this day. Palace ruins still hidden in dense forests, mysterious towers standing atop mountain peaks, sculptures carved from marble white as fresh snow. But the elves themselves? Their numbers continue to dwindle.
reward_tree_elf_border_story_pt2;Their decline rests in the fact that, although the Aen Seidhe surpass humans in longevity, magical aptitude, and knowledge of the natural world, they are at a disadvantage in one important regard – fertility.
reward_tree_elf_border_story_pt3;Although elves can live for centuries, they can only conceive children during their youngest years. Even then, only one out of every two or three couples will successfully bear a child. Humans, on the other hand – well... They seem to have mastered the process.
reward_tree_elf_border_story_pt4;Consequently, though the elves had at first defeated the humans time and time again, they quickly realized that ultimate victory would prove impossible. For whenever they killed one man, another five stood ready to take his place.
reward_tree_elf_border_title;Season of the Elves
reward_tree_emhyr_chest_1;Emhyr var Emreis was prepared to do anything for the sake of power. Spark a war. Kill his own wife. Hurt his own daughter. All without raising his voice, without shedding a tear. His cold eyes never betrayed a glimmer of emotion. They say even the golems who serve in the Imperial Army have more heart than he...
reward_tree_emhyr_chest_2;According to royal biographers, Emhyr had, in fact, grown up a bright and cheerful lad, the apple of his father's eye. But then a coup gripped the Imperial court. The conspirators attempted to coerce Fergus var Emreis to cooperate by torturing his son in front of his very eyes. Unsuccessful, the Usurper enlisted the help of a mage, Braathens, who would transform Emhyr into a freakish, hedgehog-like man-beast. Steadfast and unflinching in the face of his son's hideous curse, the plotters had no recourse but to assassinate Fergus.
reward_tree_emhyr_chest_3;For many years Emhyr plotted his revenge. At first overwhelmed with pain and fury, he howled his throat raw, ripped hair from head, clawed at his own flesh until caked in blood. But in time  his temper cooled and he began to analyze, to calculate. Upon regaining the Imperial throne, Emhyr coldly condemned his father's conspirators to death. He watched their executions in full, then stood without a word and returned to work.
reward_tree_emhyr_story_pt1;Emhyr var Emreis, the White Flame Dancing on the Graves of his Foes. No other name arouses such fear in the hearts of Nordlings. It was during his reign Nilfgaardian forces crossed the Yaruga into the North for the first time... And the second... Oh, and the third...
reward_tree_emhyr_story_pt2;What motivated Emhyr var Emreis? Historians have long debated it. Some have argued he bent to the will of merchants and traders. Others – that he sought new, fertile lands for Nilfgaardian settlement. But what was the truth?
reward_tree_emhyr_story_pt3;Emhyr was a man of near-unparalleled ambition whose plans extended far into the future. In short, the throne of Nilfgaard was never enough for him... He wished to rule the world.
reward_tree_emhyr_story_pt4;To realize his ambitions, he required the help of his daughter, Cirilla – Child of the Elder Blood. Emhyr was on the verge of fulfilling his plan... Until, that is, he was stopped for the first and last time by his conscience.
reward_tree_emhyr_title;Emhyr var Emreis
reward_tree_ep2_main_title;Syndicate
reward_tree_ep5_eithne_story_pt_1;As is well known, Eithné, the one called Silver-Eyed, ruled over the dryads of Brokilon. From the hidden sanctum of Duén Canell, she watched and protected that which was most important: the forest and all who lived there. Without any compromise, it would seem. But in the days long forgotten, Eithné would parley with human envoys, listen to what the distant kings had to say, and if need be, settle with them to ensure peace was retained.
reward_tree_ep5_eithne_story_pt_2;Over time, humans grew bolder, and their demand for timber and lust for long-lost treasure brought them deeper into Brokilon⁠—into direct conflict with the dryads. This led to a war between the two races; a war that would see Eithné's daughter, Morénn, slaughtered and mutilated by Kerackian soldiers during the Battle of the Ribbon. Since then, any chance of compromise vanished, and Eithné ensured all human intruders would henceforth be met with an arrow to the head.
reward_tree_ep5_eithne_title;Wrath of the Brokilon
reward_tree_ep5_eredin_story_pt1;Before Eredin chased Cirilla to her dimension, he served King Auberon Muircetach as a cavalry commander in Tir ná Lia. For his ruler, with the Red Riders at his side, he regularly hunted the race that originally inhabited the world of Aen Elle. The unicorns. It’s them, who gave the elf his nickname – Sparrowhawk, for he was their hated enemy and an excellent hunter. Both his looks and behavior resembled a dark bird of prey.\nMoreover, when Ciri arrived in the world of Aen Elle, it became clear that Eredin had what Auberon Muircetach had long lacked – strength and determination to act. Thus, it didn’t take long before he decided to poison the old king for the good of his own people.
reward_tree_ep5_eredin_story_pt2;In the distant past, when the Winter Queen was still alive and King Auberon Muircetach had just formed the Red Riders, Eredin had power over Ard Gaeth, the Gates of the Worlds. Thanks to this, he could travel freely to other dimensions, and whenever he did so, he invaded the chosen world ruthlessly. During these raids, his main goal was to find and secure a sufficient number of slaves, preferably humans, who could serve Aen Elle in their world or provide them as a source of power.\nOver time, these events have become a grave legend. The legend of Winter Queen and her Wild Hunt, who during the blizzard traveled the sky to capture people and chisel their hearts.\nTherefore Eredin and his elves wore skeletal armor and skull-shaped helmets.\nTo reinforce this belief.
reward_tree_ep5_eredin_title;Sparrowhawk
reward_tree_ep5_harald_story_pt_1;Where young Harald lacked in strength and skill, he more than made up for in sheer bullheaded determination. Not one to back down from a fight, regardless of his chances, he would often find himself in unwinnable scraps. Clansmen jested that Harald knew not the difference between bravery and stupidity, and this sentiment was proven true time and again. No more so than when he single-handedly took on a fully-grown bear. Miraculously, Harald survived the bout, but the grizzly behemoth left his leg permanently mangled. From that day on, pain would become both the bane of his life and the boon that propped up his legacy.
reward_tree_ep5_harald_story_pt_2;After the bone in his leg grew back crooked, Harald⁠—forevermore known as "The Cripple"⁠—was plagued by constant agony. Eager to inflict on others the same suffering he had endured, the name "Harald" became synonymous with "pain." All islanders soon learned that fighting The Cripple inevitably led to a brutal end for them and their kin, and would sooner lay down their arms than face his wrath.\n\nHarald's rampage eventually came to an end when he declared himself King of the Isles⁠—his thirst for warmongering finally quenched. This, of course, was only because there was no one left who dared stand in his way.
reward_tree_ep5_harald_title;The Cripple
reward_tree_ep5_jacques_story_pt_1;Seeds of doubt, planted in the minds of the young, tend to take firm root, forever shaping⁠—or, in this case, distorting⁠—a child's view of the world. Lifelong prejudice and a warped sense of justice can blossom from the most inconsequential of moments; what starts as the fluttering of wings becomes a frenzied typhoon. For Jacques de Aldersberg, it was the generosity of a mild-mannered stranger, along with a few words of "wisdom," that led to his favorite childhood game⁠—"Kill the Elf"—and all the horrors that followed.
reward_tree_ep5_jacques_story_pt_2;Perhaps nothing would have come of Jacques' corruption if not for the fact that he was a conduit of powerful source energy. He was subjected to terrible visions of the future from an early age⁠—plagued by premonitions that promised humanity's fall. He saw the icy death that awaited, and, believing himself to be the only one capable of altering the course laid ahead, became obsessed with preventing the outcome at all costs.\n\nRising to the illustrious rank of Grand Master, Jacques, fueled by his self-proclaimed authority and hatred of nonhumans, established the Order of the Flaming Rose, adopted the tenets of the Eternal Fire, and ignited a terrible race war along the way. All to pursue his sordid vision of a “better” world.
reward_tree_ep5_jacques_title;Grand Master of the Flaming Rose
reward_tree_ep5_main_story_chest;Human oaths, lofty predictions and all these rubbish regarding destiny, both genuinely amuse and fascinate Gaunter O'Dimm. Oh, especially their Law of Surprise: "You will give me what you already have but which you do not know about yet." And they dare to describe his offers as unclear or not fair? Hilarious, really!\nAfter all, he only opens the eyes of those who wanted to look for themselves. He reveals the madness of the world around them and shows the opportunities that come with it. He navigates the paths that may happen. However, it is up to humans to choose which path they will follow. Will this beautiful woman break the word given by her late husband, or will she keep his oath? Will the warrior lie, cheat, and kill his brothers? Will the old hero save one life, letting thousands die in return? And will the young fool kill thousands to presumably save the world?\nIt’s entirely their choice.\n\nHuman traditions are almost as entertaining to O'Dimm as playing with destiny. Sometimes he even checks himself if they still follow the ancient customs. He wanders around this world, watching as peasants burn their logs for the dead or women tie red ribbons at the cradles to scare off wraiths. As a begging old man, he asks for food, and when the night of Saovine arrives, he waits for people to hide in their cottages from those that have departed this world. Seldomly, those who do not manage to hide or are too drunk for it, get the chance to meet him instead of the dreaded dead. And if they fail to comply with any of his humble requests, showing their disrespect for these ancient traditions, they will see his true face.\n\nBoth monsters and non-humans appear to be resistant to Master Mirror’s influence, or at least they succumb to him less often than humans. It is difficult to say where this comes from, as they can be as greedy, envious, and stupid as any man. Does O’Dimm really have no effect on their souls? Well, it’s possible. However, it sounds too simple to be the whole truth. Looking closely, one could tell that O’Dimm interferes in the affairs of monsters or non-humans, just not directly. For instance, it is enough to subtly aid the right prince in winning the throne, to stoke the flames of hatred, and subsequently turn the lives of thousands of dryads into hell. \nIsn’t it?
reward_tree_ep5_main_story_pt1;For many people, Gaunter O'Dimm is a mystery. Actually for anyone who has had the misfortune to meet him. As a rule Master Mirror doesn’t explain his provenance to anyone unless he wants his interlocutor to live a short and painful life.
reward_tree_ep5_main_story_pt2;For those few who managed to get to know the real name of Master Mirror have long since died – or had something far worse befell them. A simple exploration of his past leads those curious to blindness, with even a short meeting in a crowd changing the fate of man forever.
reward_tree_ep5_main_story_pt3;According to books that can be found in Oxenfurt libraries, Master Mirror is the embodiment of pure Evil, appearing for thousands of years in different cultures, under many different names. Gaunter himself considers this to be a not quite accurate and highly ignorant description of him. He only gives people what they want – he is not to blame for the fact that they want evil and wicked things.
reward_tree_ep5_main_story_pt4;However, one cannot deny at least this: Gaunter O'Dimm is an ages-old creature. He can be found on the edges of the history pages throughout many pivotal events for the Continent. On the other hand, it is difficult to describe his actions as purely evil. Gaunter just reveals secrets selectively, not lying even a bit. He gave a kid a toy to shape his dreams or simply helped a lost man find his way. And he stayed there, hidden in the shadows, to watch what would happen next. Just for his pure amusement.\nYet people often blame him for… For everything, really.\nIt’s simply wondrous, how they’re desperate to believe that gods and other supreme beings control their lives.
reward_tree_ep5_main_title;Master Mirror
reward_tree_ep5_usurper_story_pt_1;The young Usurper was patriotic to the core and honored to serve his empire, despite the disdain he held for those in charge. He had long since doubted Imperator Fergus var Emreis's capabilities, believing the weak ruler was steering Nilfgaard towards utter ruin. Alas, the Usurper had no higher aspirations than to fight alongside his men for the betterment of the empire, and was content with his position. That was, of course, until a fellow soldier—one he had never met, no less⁠—nourished the Usurper's umbrage towards the imperator and spurred him to take action before it was too late.
reward_tree_ep5_usurper_story_pt_2;The Usurper, fueled by his patriotism and new-found ambition, rose through the ranks at an unprecedented speed. Despite being shackled by a constant barrage of foolish orders, he was able to use his keen strategic mind to ensure many decisive victories for the empire. Soon enough, he attained the mantle of general and found himself working directly under the imperator. \n\nClose proximity to Fergus, however, only served to stoke the flames of his contempt. The Usurper now saw clearly the deep-seated weakness and apathy of the imperator.\n\nAnd so he decided to take matters into his own hands.
reward_tree_ep5_usurper_title;Emperor of Nilfgaard
reward_tree_ep5_viraxas_story_pt_1;Viraxas, the first-born son of King Belohun of Kerack, possessed a strong spirit and determined temperament. He was a man of action who did not waste a single moment in his pursuit of betterment, especially when it came to swordcraft. Ironically, it was the young prince's might that led to his banishment. His old, frail father could no longer stomach the sight of his vigorous son, for it was a constant reminder of the youth and strength the king had long since lost. Envy soon turned to contempt, then hatred, and eventually to a quarrel that ended with exile.
reward_tree_ep5_viraxas_story_pt_2;During his adventures as a mercenary, the outcast Viraxas honed his prowess by developing exotic and unconventional fighting techniques. His vast experience blossomed in him a charismatic charge, and he soon met his true love⁠—Ildiko. However, life as a vagabond was not a life Viraxas wished to keep, especially now he was enamored. He wanted to return home and claim his rightful place upon the throne of Kerack. But, most importantly, he wanted to repay his father for his past injustices.\n\nA malevolent plan formed in his mind, and, by an apparent stroke of luck, his beloved Ildiko obtained an enchanted amulet that was⁠—literally⁠—breathtaking.
reward_tree_ep5_viraxas_title;King of Kerack
reward_tree_ep6_main_story_pt1;There were a lot of stories, rumours, and myths about Alzur—both glorious and unflattering, heroic and slandering. The more despicable tales often overshadowed the righteous accounts of his deeds.
reward_tree_ep6_main_story_pt2;Knight or outcast? Charlatan or genius? Brute or hero? Well, it's quite difficult to point out just one answer, especially when it comes to mages who outlive the natural order.
reward_tree_ep6_main_story_pt3;The truth, as it often happens, can be found somewhere in the middle. Alzur was an ambiguous figure. In fact, neither malicious nor benevolent. For he performed both great and vile deeds. Idealistic as well as petty.
reward_tree_ep6_main_story_pt4;Perhaps Alzur's conflicting nature was due to the fact that his actions were largely dictated by… memory. The memory of someone who was completely different from him. A woman who believed in goodness and sacrifice—and ultimately gave her life for it.
reward_tree_ep6_main_title;Way of the Witcher
reward_tree_ep6_milfgaard_story_chest;The Witcher School of the Viper made their home in the stronghold of Gorthur Gvaed. Guarded by a remarkable tower adorned by a frighteningly ominous spiral coiled around its contours. Yet it held not a candle to the terrifying moat that surrounded it—deep by several hundred feet and truly… breathtaking. No one could tell if what was filling it should still be called water. The smells above the moat were, to put it mildly, hard to forget. Viper witchers, who survived the fall of the stronghold, later joked that it was the stench that led the Usurper’s army to find Gorthur Gvaed.\nCountless soldiers died in this gutter. According to legends, so many perished that one could have made their way to the other side of the moat on a bridge composed entirely of their corpses. And the odour grew even worse.
reward_tree_ep6_milfgaard_story_pt1;Ivar founded the Viper School having a great purpose in mind—contrary to rumours that its sole reason for existence was to offer less savoury services. The grandmaster understood that he would not be able to achieve his true goal alone—he intended to find and defeat the Wild Hunt.
reward_tree_ep6_milfgaard_story_pt2;You see, Ivar was one of the unfortunate few who endured the mutations extremely well, and so was selected for further, more complicated experiments. Of those subjected to these enhancements, only he survived—perhaps due to the mages only managing to partially complete the trial.
reward_tree_ep6_milfgaard_story_pt3;As a result of these experiments, Ivar gained his moniker, as well as a new sight. His so-called “Evil Eye” saw a different world. Many other worlds, really. With his eye, he watched as ghostly riders dashed along the Spiral, and observed how they’d kidnap, kill, and conquer. Forever haunting Ivar’s special vision, these spectres became his obsession.
reward_tree_ep6_milfgaard_story_pt4;Unfortunately, while he managed to get to know his enemy extremely well, he never got close enough to do much about it. Though he could glimpse their rampage from afar, he shared not their mobility, and found himself endlessly chasing shadows.\nWhen the Wild Hunt was finally defeated, Ivar was long dead.
reward_tree_ep6_milfgaard_title;Ivar Evil-Eye
reward_tree_ep6_monsters_story_chest;Dol Dhu Lokke was once a beautiful, lively valley with a slightly different, more ear-friendly name. Everything changed with the Conjunction of Spheres. The earth broke and terrifying creatures appeared upon the surface, bringing death to everything beautiful in the valley.\nFor the following years, no one dared to go to Dol Dhu Lokke—except for witchers. These were of two kinds. Those who thought they would become famous by finally purging the place of monsters. And those looking for a glorious death. Only the latter achieved their aim.\nIn the end, what the witchers failed to do, was accomplished by hunger. Because predators outnumbered their prey, they lacked food. Therefore, the monsters began to fight among themselves.\nUntil they all killed each other… or starved.
reward_tree_ep6_monsters_story_pt1;The viy was a monster born due to a combination of magic and bad luck. It was created in Maribor by Alzur himself with his infamous Double-Cross. But the spell was not a success. A creature with a serpentine body and a million legs sprang up over the city, then went berserk and began to destroy everything in sight.
reward_tree_ep6_monsters_story_pt2;By the time the viy left Maribor, it had turned about half of the buildings there into ruin. Soon after, the monster—bloated with human flesh—hid in the forests of Riverdell and fell into a deep slumber. It is possible that it would never have woken up if it were not for the actions of the Council of Mages.
reward_tree_ep6_monsters_story_pt3;Sorcerers wanted to study the last known creation of Alzur. Nonetheless, the sight of the monster left them speechless with terror. Mages were aware of the destruction it caused in Maribor, yet they had not expected a creature of such enormous size. Neither did they dream of waking it up. The spells they used were intended to bind the viy. Once again, however, the viy proved to be quite resistant to magic.
reward_tree_ep6_monsters_story_pt4;After the last envoy of the Council had said goodbye to his life, the viy allegedly disappeared without a trace. But some say they saw a huge shadow crawl out of the forests of the Left Bank and head south.\nTowards Dol Dhu Lokke, to be precise.
reward_tree_ep6_monsters_title;Viy
reward_tree_ep6_nrealms_story_chest;The Witcher School of the Griffin made their home within the walls of the Caer y Seren fortress, or Kaer Seren if you go by the common tongue. This was a prominent fortification due to its location. Not because it stood on the shores of the Great Sea, but because of its vicinity to the Dragon Mountains. As a result, reaching Kaer Seren by land proved too daunting a task for most. The locale also provided the residents of Kaer Seren access to seafaring traders, ensuring they were always well-supplied. Armed with crossbows, a secured position, and a reliable source of provisions, the Griffins remained ready and capable to repel any assault.\nNevertheless, not a single soldier was employed in Kaer Seren’s destruction.\nUsing the very mountains that had long protected the Griffins, the Council of Mages turned the tables—unleashing a devastating avalanche… burying them alive. Only Keldar survived.\nThe old mentor still guards the ruined fortress of his beloved school.
reward_tree_ep6_nrealms_story_pt1;Erland of Larvik was one of the first witchers created by Alzur, and would go on to become the perfect embodiment of the mage's vision, despite holding great contempt for the man and his so-called "Trials".
reward_tree_ep6_nrealms_story_pt2;Nevertheless, the master of the Griffin School sincerely believed in the same values ​​that Alzur professed. Like the mage, he knew "The Guide to Chivalric Virtues" by heart, and could recite any passage from the book at a moment's notice. Erland even learned fencing from one of the great-grandchildren of its author. In a sense, he became a knight before he became a witcher.
reward_tree_ep6_nrealms_story_pt3;This was one of the reasons why Erland founded his own school—to guide witchers toward more noble virtues, in hopes of changing how the common folk perceived them. Perhaps one day, he envisioned, they would stop fearing the monster slayers and instead show respect and gratitude.
reward_tree_ep6_nrealms_story_pt4;Erland of Larvik also conceived a future where Griffins would not have to charge anybody for their services. To this end, once he made his name famous, the witcher began to visit royal courts in an attempt to persuade rulers to donate to his cause. If successful, even a beggar without a broken oren to his name could count on the help of a Griffin.\nUnfortunately, while the aristocrats respected Erland, they failed to see any way they could profit from such an investment, and so denied the witcher’s request each and every time.
reward_tree_ep6_nrealms_title;Erland of Larvik
reward_tree_ep6_scoiatael_story_chest;The Witcher School of the Cat did not have one specific home. Over the years, there were numerous hiding places in which witchers subjected their adepts to mutations. They created numerous camps where they trained together. Nevertheless, the founder of the Cats was indeed “created” in Stygga Castle, and thus—it was their first home.\nNot for long, however.\nIn rebellion against those who created them, young Gezras led other witchers to escape the castle. Needless to say, they had to earn their freedom by force. After the painful experiments they were subjected to, many were more than eager to bleed the mages that had wronged them.\nLater, the Cats grew stronger, bolstering their ranks with badly mutated witchers who had been rejected by other schools. The outcasts gathered together to raise the next generations through corrupt experimental methods. Over time, their warped mutations and aggressive disposition earned them the disdain of other schools.
