_inputshopbuymultiple;ACQUISTA
reward_reset_text;RICOMPENSE ESAURITE, TORNA TRA:
reward_tier_completed;SEZIONE COMPLETATA!
reward_time_format;{0}o {1}m {2}s
reward_title;Titolo
reward_tree_adda_chest_1;Dopo aver scoperto che Adda era stata trasformata in una striga, Re Foltest promise una ricca ricompensa a chi fosse riuscito a spezzare l'incantamento... e una morte rapida a chi avesse osato uccidere la principessa. Passò un po' di tempo prima che qualcuno si facesse avanti per portare a termine il compito. Il volontario non fu altri che Geralt di Rivia, un witcher della Scuola del Lupo.
reward_tree_adda_chest_2;Quando Geralt spezzò la maledizione, Adda diventò una ragazzina come tutte le altre. Gentile, eloquente, innegabilmente bella. Ben presto divenne l'orgoglio della corte temeriana. Tuttavia, tra i servitori della famiglia reale cominciarono a circolare oscuri pettegolezzi. Nella sua camera da letto, lontana da occhi indiscreti, Adda avrebbe commesso orribili atrocità ai danni delle sue bambinaie. I dettagli della faccenda non sono noti, poiché nessuno ha mai potuto raccontarli di persona.
reward_tree_adda_chest_3;Un segno che la maledizione di Adda non fu spezzata completamente era il suo amore per la carne di catoblepa. La carne di catoblepa (creatura nota anche come "gorgone") ha un sapore peculiare, fin troppo simile a quello della carne umana. Siccome le bestie erano poche e la loro carne una prelibatezza rara ai migliori banchetti di corte, la Principessa Adda fu costretta a ripiegare su un surrogato nettamente più diffuso.
reward_tree_adda_story_pt1;Una bellissima ragazza dal nasino a patata e una selvaggia chioma vermiglia. Cosa c'è da temere? Beh, a volte le apparenze ingannano. E nel caso di Adda... molto più del solito.
reward_tree_adda_story_pt2;Il witcher, a conti fatti, pareva aver spezzato la feroce maledizione che induceva Adda a trasformarsi in una striga. Ma secondo le voci che correvano a corte, la principessa aveva talvolta delle gravi ricadute.
reward_tree_adda_story_pt3;All'inizio si pensava che Adda fosse stata maledetta dagli dei, poiché era nata dall'incestuosa relazione tra Re Foltest e sua sorella Adda di Temeria. La verità, come spesso accade, era molto, molto diversa...
reward_tree_adda_story_pt4;Stando alle indagini del witcher, uno spasimante ripudiato di nome Ostrit era il responsabile della maledizione di Adda. Come previsto, gli dei non avevano giocato alcun ruolo nella faccenda, dimostrando ancora una volta la loro indifferenza nei confronti delle futili questioni umane... Fortunatamente, non c'è bisogno di interventi divini per estirpare la malvagità.
reward_tree_adda_title;Principessa Adda
reward_tree_anna_chest_1;Anna Henrietta non ha mai brandito una spada, non ha mai riflettuto sulle biografie dei grandi regnanti e neppure si è preoccupata di studiare la ricca storia del Continente. Tuttavia, queste apparenti mancanze non hanno minimamente influenzato il suo successo nelle faccende di guerra. Il segreto? I cavalieri erranti provenienti da ogni angolo del Continente, attirati dalle voci sulla bellezza e sul fascino di Anna, sono pronti a sacrificare tutto pur di entrare nelle sue grazie. A debita distanza e circondata dalle sue dame di compagnia, Anna Henrietta si fa aria con il ventaglio mentre i valenti cavalieri le giurano fedeltà, aizzandoli con languidi sguardi mentre galoppano verso il loro incerto destino.
reward_tree_anna_chest_2;Quando si tratta di grazia e abbigliamento, la duchessa è impareggiabile. Indossare la stessa gonna due volte? Che gli dei possano fulminarla! E peste colga chiunque riesca a scorgere i suoi ricci ribelli prima che siano accomodati in un'acconciatura dall'impeccabile simmetria! Ma in caso di necessità, Anna non esiterebbe a strapparsi di dosso la frivola gonna per montare in groppa al più vicino destriero e lanciarsi nell'ennesima avventura.
reward_tree_anna_chest_3;Nonostante Toussaint sia uno stato vassallo del potente impero di Nilfgaard, Anna Henrietta non ha mai visto conflitti entro i suoi confini. Non sorprende dunque che le guardie armate di Beauclair siano meglio addestrate per parate e sfilate piuttosto che all'arte della guerra. Così, quando vampiri e altre bestie assetate di sangue lasciarono le profondità delle loro caverne per banchettare, l'unica speranza della città si trovò ad affrontarle con lame prive di filo e caftani colorati, in uno scontro dall'esito scontato. Tuttavia, niente avrebbe potuto preparare meglio i sopravvissuti ai veri orrori della guerra.
reward_tree_anna_story_pt1;La duchessa Anna Henrietta è ampiamente stimata per le sue innegabili qualità: generosità, bontà d'animo e sensibilità per la condizione dei cittadini di Toussaint. Se solo avesse un pizzico di pazienza e lungimiranza in più, sarebbe una sovrana perfetta!
reward_tree_anna_story_pt2;Il famoso bardo Dandelion, che per un certo periodo ebbe una relazione con Anna Henrietta, traeva la propria ispirazione dalla passione per la duchessa: "Capricciosa più d'un tempo che tuona, la mia vipera con la corona".
reward_tree_anna_story_pt3;Sebbene non siano le parole più profonde scritte dall'illustre poeta, gettano luce su un problema reale. Anna Henrietta era incline a improvvisi cambi di opinione senza diritto di replica. Una realtà che spesso induceva i volti incipriati di cortigiani e cortigiane della duchessa ad assumere un colorito ancora più pallido.
reward_tree_anna_story_pt4;Infatti, quando la duchessa era di buon umore, elargiva grandi ricchezze e titoli nobiliari come sufflè al cioccolato a un banchetto reale. Ma se qualcosa intaccava il suo fragile equilibrio, le teste rotolavano per le vie di Beauclair e le pozze di sangue tingevano i pavimenti di marmo del palazzo.
reward_tree_anna_title;Anna Henrietta
reward_tree_arachas_chest_1;Un tempo native del lontano sud, queste specie invasive sono migrate verso nord nel corso di secoli, adattandosi man mano ai nuovi climi e alle temperature più fredde. Trovando gli acquitrini e le paludi più ospitali, si sono stabilite in queste zone, sfruttando il fango e il muschio per ricoprirsi durante il letargo invernale. L'arachas, spesso, nasconde la propria sacca addominale vulnerabile sotto una sorta di conchiglia formata da un tronco cavo di albero che porta sul dorso. Questo le rende sfortunatamente difficili da notare... finché non è troppo tardi.
reward_tree_arachas_chest_2;Un'arachas immobile si confonde facilmente con il sottobosco della foresta, fatto che sfrutta a proprio vantaggio per cacciare. Solitamente inizia l'attacco sputando veleno, poi prova ad afferrare la preda con le antenne prensili per trascinarla a portata delle sue temibili chele. La miglior difesa contro la sua strategia di combattimento? Purtroppo non esiste.
reward_tree_arachas_chest_3;Secondo gli studiosi di Oxenfurt, le regine di molte specie di insetti e insettoidi non sanno praticamente difendersi da sole. In questo senso, le arachas rappresentano un'eccezione. Un'arachas regina è la creatura più grande e potente della sua orda. Una singola goccia del suo veleno è sufficiente a uccidere un uomo adulto, e i suoi artigli affilati possono perforare un palvese nilfgaardiano come fosse burro. Quando due orde di arachas lottano per il territorio e le regine combattono per la supremazia, le altre creature dei boschi abbandonano le proprie tane il più velocemente possibile, come se fossero minacciate da un violento incendio...
reward_tree_arachas_story_pt1;"N'aracche aen woed endicen."\n- Proverbio elfico\nNon svegliare l'arachas che dorme. Saggio consiglio, poiché dove c'è un'arachas, nelle vicinanze c'è sicuramente la sua regina.
reward_tree_arachas_story_pt2;E il dolore accompagnerà chiunque la incontri. Molti mostri possono essere ingannati, attirati in una trappola o distrutti con fiamme e argento. Tuttavia, l'arachas regina non è un mostro qualunque.
reward_tree_arachas_story_pt3;Questa creatura è governata da istinti primordiali: uccidere, mangiare, riprodursi, uccidere, mangiare, riprodursi... In una sola settimana, una regina può deporre oltre un migliaio di uova. Se non vengono distrutte in tempo, è vivamente consigliato cambiare casa. E in fretta.
reward_tree_arachas_story_pt4;La fedeltà dell'orda alla sua regina è assoluta. Ammaliati dai suoi feromoni, i fuchi non si risparmiano nel servire la matriarca anche a costo di gettarsi nel fuoco, precipitare giù da un burrone o sacrificarsi per difenderla. I comandanti umani possono solo sognare una lealtà così incondizionata.
reward_tree_arachas_title;Arachas regina
reward_tree_ardal_chest_1;Il ruolo di Ardal aep Dahy fu determinante nell'aiutare Emhyr a spodestare l'Usurpatore. Inizialmente, il generale aveva sperato che il giovane e inesperto imperatore, vincolato da un debito di gratitudine, sarebbe stato un fedele burattino. Tuttavia, quando fu evidente che Emhyr non si sarebbe mai piegato alla volontà di aep Dahy, quest'ultimo si adoperò subito per ordire un complotto atto alla sua deposizione, senza mai abbandonare un solido atteggiamento tutto complimenti e sorrisi di circostanza.
reward_tree_ardal_chest_2;Durante i preparativi per la Seconda Guerra Settentrionale, aep Dahy era stato inizialmente assegnato al comando dell'Armata "Ovest". Tuttavia, il duca non era particolarmente soddisfatto di tale scelta, poiché non aveva alcuna intenzione di dimostrare la propria forza a individui come Foltest e Vizimir. Con somma astuzia, riuscì quindi a farsi assegnare al fronte orientale, dove avrebbe affrontato Demavend e le terre dimenticate dagli dèi di Lyria e Rivia, governate da una certa Regina Meve...
reward_tree_ardal_chest_3;All'inizio, l'invasione procedette secondo i piani. Le legioni di Nilfgaard, sotto la guida di aep Dahy, sopraffecero rapidamente la Lyria e la Rivia senza versare una singola goccia di sangue, impresa a cui aveva contribuito senza dubbio il tradimento di alcuni importanti esponenti del Nord. Di conseguenza, gli aedirniani, colti di sorpresa e senza adeguate difese, capitolarono nel giro di una notte. Osservando i campi e i villaggi in fiamme dai bastioni di Aldersberg, Ardal aep Dahy sorrideva orgoglioso. Era certo che quella fortezza avrebbe per sempre sfoggiato il vessillo del suo trionfo.
reward_tree_ardal_story_pt1;Definire la corte imperiale nilfgaardiana un covo di serpi sarebbe, francamente, un eufemismo. Solo per tenere la testa attaccata al collo, era necessario dimostrare spietatezza e astuzia eccezionali. Ma arrivare a diventare la Sua mano destra, beh... quello avrebbe richiesto di rinunciare persino agli ultimi scampoli di coscienza.
reward_tree_ardal_story_pt2;Ardal aep Dahy, in questo campo, rappresentava l'eccellenza. Aveva analizzato diligentemente tutto, dagli intrighi di corte alla guerra contro gli uomini del Nord, come fosse una partita a scacchi. L'idea che perdere pedoni o alfieri significasse perdere vite umane non lo sfiorava minimamente...
reward_tree_ardal_story_pt3;La spada che pendeva dal fianco di Ardal aep Dahy, con i suoi rubini incastonati e la lama poco affilata, aveva uno scopo puramente cerimoniale. Ciò non significava che Ardal fosse un avversario debole. Semplicemente, la sua strategia consisteva nel far combattere gli altri al posto suo.
reward_tree_ardal_story_pt4;Dal più vicino punto di vantaggio sopraelevato, a debita distanza dalla carneficina, Ardal aep Dahy comandava le proprie legioni tramite messaggeri, producendosi in smorfie di disgusto di fronte alle urla raccapriccianti degli uomini del Nord fatti a pezzi e calpestati sotto gli zoccoli della cavalleria nilfgaardiana.
reward_tree_ardal_title;Ardal aep Dahy
reward_tree_arnjolf_chest_1;Arnjolf era tra i disonorati, ossia i guerrieri di Skellige colpevoli di un crimine così vile da meritare la punizione più severa: l'esilio dalle isole. Ma esisteva un modo di riguadagnarsi l'onore: morire in battaglia senza armatura indosso affrontando un nemico valoroso. E se la colpa era particolarmente grave, al guerriero venivano negate perfino le armi. Ad Arnjolf fu concesso di brandire le proprie asce, le cui lame gocciolavano di sangue a ogni occasione.
reward_tree_arnjolf_chest_2;Il corpo di Arnjolf era coperto di tatuaggi. La spalla destra recava impressa la sentenza del suo crimine così come era stata enunciata dal Consiglio degli Anziani del clan Brokvar. La spalla sinistra ospitava il nome del padre che egli uccise. La schiena era tatuata di tacche, una per ogni anno trascorso in esilio. E infine, sulla fronte, aveva inciso una runa con un semplice messaggio per gli arcieri nemici: "Mirate qui".
reward_tree_arnjolf_chest_3;Un tempo, i disonorati si mettevano a disposizione come mercenari in tutto il Continente. Sembravano i soldati ideali: costavano poco, combattevano come orsi inferociti e non manifestavano né paura né dolore. Tuttavia, capitava che, dopo una battaglia vinta duramente, i disonorati si abbattessero sull'alleato più vicino, frustrati di essere ancora in vita. Con il diffondersi di tale reputazione, solo i più disperati reclutavano i disonorati tra i loro ranghi...
reward_tree_arnjolf_story_pt1;Arnjolf ebbe un'infanzia felice: fiabe raccontate dalla madre, barchette intagliate da singoli rami, giochi tra bambini... Questa era la quotidianità, fino al giorno in cui il padre, Ulrik, che non aveva mai conosciuto il figlio, tornò a casa.
reward_tree_arnjolf_story_pt2;Ulrik era sparito prima che Arnjolf nascesse. I nilfgaardiani avevano intercettato la sua nave mettendone in catene l'intero equipaggio. Ci vollero sei anni prima che riuscisse a fuggire. E quando fece finalmente ritorno, l'Ulrik di prima non esisteva più.
reward_tree_arnjolf_story_pt3;Ogni scusa era buona per dare in escandescenze, soprattutto dopo una robusta bevuta. E Ulrik beveva, eccome se beveva. La sua rabbia incontrollabile si abbatteva spesso sulla moglie e i figli, che picchiava, strattonava e schiaffeggiava con le sue stesse mani... prima di passare a qualcosa di peggiore.
reward_tree_arnjolf_story_pt4;Ulfa, il figlio più giovane, fu ucciso dal manico dell'ascia di suo padre. Agrid, la moglie, si suicidò. La notte dopo il funerale della madre, Arnjolf lo ripagò delle sue violenze una volta per tutte. Per questo, fu marchiato come uno dei disonorati e dovette abbandonare le sponde di Skellige.
reward_tree_arnjolf_title;Arnjolf il Patricida
reward_tree_bear_2_story_pt1;Si narra che tutti i witcher della Scuola dell'Orso siano individui enormi, barbuti e dalle spalle larghe. Ivo di Belhaven, tuttavia, era tutt'altro che così. Aveva la barba, sì, ma la sua postura e la sua agilità lo rendevano più idoneo alla Scuola del Gatto o della Vipera. Ironicamente, ciò lo rese perfetto per la sua scuola...
reward_tree_bear_2_story_pt2;Gli orsi sono solitari, noti per la loro avversione alla compagnia di altri witcher. E Ivo eccelleva in tal senso. Tutto ebbe inizio durante l'addestramento presso Haern Caduch. Gli altri studenti non gli piacevano, per usare un eufemismo. Li detestava a pelle. Questo costò a Ivo molte ferite, parecchio dolore e tanto sangue versato. I compagni più forti non avevano alcuna pietà nelle sessioni di allenamento, ma lo scontro era equilibrato e Ivo riusciva sempre a ripagarli con la loro stessa moneta. Occhio per occhio.
reward_tree_bear_2_story_pt3;Le strade dei nuovi Orsi si separavano al termine dell'addestramento. Una volta partiti, evitavano qualsivoglia incontro nei limiti del possibile. Anche Ivo seguì questa sorta di credo. Era indifferente alle notizie sul destino degli altri e non mostrò mai il minimo interesse verso la sua Scuola, perfino quando la folla inferocita bandì i witcher da Haern Caduch. Questo non aveva niente a che fare con ostilità o rabbia. Le mutazioni avevano neutralizzato simili inutili sentimenti. Semplicemente, degli altri non gli importava nulla.\nSopravvivere era l'unica cosa che contava.
reward_tree_bear_2_story_pt4;Ovviamente, di tanto in tanto, Ivo si imbatteva in altri witcher.\nUno di questi incontri fu particolarmente memorabile. Incontrò un Orso che aveva conosciuto alla Scuola. Si chiamava Junod e, come Ivo, aveva scelto l'appellativo "di Belhaven". Tuttavia, a differenza di Ivo, egli non veniva da Belhaven. Quando gli domandò il motivo di questa scelta, rispose candidamente che gli piaceva il suono del nome. E siccome era sicuro che il minuto Ivo non sarebbe vissuto poi tanto a lungo, non c'era motivo di litigare per quell'appellativo.\nIronicamente, un paio di anni più tardi, Ivo venne a sapere della morte di Junod. E provò...\nNiente. Non provò niente di niente.
reward_tree_bear_2_title;Ivo di Belhaven
reward_tree_bear_avatar_chest_1;Vernon Roche non si era diplomato all'accademia ufficiali, né aveva trascorso ore e ore a studiare le cronache delle guerre passate. La sua esperienza risaliva alle risse tra ubriachi in vicoli bui e losche taverne. Se Foltest non avesse intravisto in lui una scintilla e non l'avesse tirato fuori dalle strade, probabilmente il suo destino sarebbe stato ben diverso.
reward_tree_bear_avatar_chest_2;L'unità delle forze speciali "Bande Blu" era stata concepita per estirpare gli Scoia'tael da Temeria. Il progetto faticò a decollare, poiché ben pochi soldati erano disposti a dare la caccia agli elfi in mezzo ai boschi. Invece di limitarsi a sfruttare i pochi volontari, Vernon decise di arruolare dei prigionieri... compresi disertori, truffatori e banditi. La maggior parte di questi non ci metteva molto a morire sotto le letali frecce degli Scoiattoli. A sopravvivere restavano soltanto i furfanti più scaltri e coriacei.
reward_tree_bear_avatar_chest_3;Molti sostengono di essere disposti a tutto per la propria patria, ma il più delle volte queste nobili affermazioni non trovano riscontro nel momento del bisogno. Vernon Roche si rivelò un'eccezione, dimostrando di essere pronto a qualsiasi sacrificio per Temeria. Così, quando Nilfgaard occupò il regno, questi si rifiutò di appendere la spada al chiodo. Sebbene i suoi uomini fossero poco più di una ventina, i partigiani temeriani non si arresero mai.
reward_tree_bear_avatar_story_pt1;Mascella serrata, sguardo accigliato e turbante in testa. Il suo nome viene usato dai non-umani per spaventare i bambini cattivi. Questo è Vernon Roche, comandante delle forze speciali delle Bande Blu.
reward_tree_bear_avatar_story_pt2;Considerato un eroe da alcuni e un criminale da altri, forse la definizione migliore appartiene a Thaler: "Maledetto patriota e grandissimo pezzo di..." beh, avete capito.
reward_tree_bear_avatar_story_pt3;Roche ha sulla coscienza la vita di innumerevoli nemici. Compresi molti che avevano già gettato le armi in segno di resa. Dopotutto, le Bande Blu non fanno prigionieri...
reward_tree_bear_avatar_story_pt4;Sebbene Vernon Roche abbia affrontato kaedweniani, aedirniani e redaniani, i suoi più acerrimi nemici restano sicuramente gli Scoia'tael... i quali ricambiano il sentimento.
reward_tree_bear_avatar_title;Vernon Roche
reward_tree_bear_border_chest_1;In passato, la Regina Meve di Lyria e Rivia incontrò un witcher della Scuola dell'Orso di nome Ivo. La sua pelle scura sembrava indicare origini appartenenti ai climi più caldi delle regioni meridionali del Continente. I modi bruschi con cui rispose alle domande della regina, invece, sembravano indicare che non avesse mai conversato con alcun sovrano...
reward_tree_bear_border_chest_2;Una volta, un witcher della Scuola dell'Orso visitò il regno di Toussaint. Si chiamava Junod di Belhaven, ed era un uomo imponente come una montagna e dotato di una barba che avrebbe fatto invidia a un anziano nanico. Il witcher accettò il contratto per un mostro che si annidava nelle caverne sotto la Foresta Marcescente. Purtroppo, non fece mai ritorno...
reward_tree_bear_border_chest_3;Dove si trova la Scuola dell'Orso? Alcuni sostengono che sia nascosta tra i Crinali, mentre altri ritengono che si trovi più a sud, oltre le Montagne di Amell. La verità è che nessuno lo sa con certezza. E non sorprende che i witcher della Scuola dell'Orso custodiscano gelosamente tale segreto, dopo le notizie sul massacro delle scuole del Lupo e del Gatto...
reward_tree_bear_border_story_pt1;La Scuola dell'Orso... Sappiamo ben poco di essa, ma basta un'occhiata alle loro particolari armature per intuire molto sui witcher che le indossano: robusto gambesone trapuntato, cotta di maglia lunga fino alle ginocchia, spallacci di piastre a protezione delle spalle...
reward_tree_bear_border_story_pt2;Un witcher con indosso una simile armatura non può rotolare via dagli artigli nemici, né riuscirebbe a schivare agilmente le fauci delle bestie. Ma tali problemi non si pongono, poiché sarebbe in grado di resistere agli attacchi... restando a distanza ravvicinata, pronto a contrattaccare.
reward_tree_bear_border_story_pt3;Contrariamente ai witcher della Scuola del Lupo, dotati di forti legami di amicizia e fratellanza, i membri della Scuola dell'Orso preferiscono uno stile di vita solitario, lontano dalla compagnia di altri witcher. Tuttavia, se il loro cammino li portasse a incrociarli, difficilmente finirebbe nel sangue.
reward_tree_bear_border_story_pt4;I membri della Scuola dell'Orso salpano spesso per le isole Skellige... e la cosa non stupisce, dato che queste brulicano di mostri e che tali witcher vanno d'accordo con gli abitanti del luogo, scorbutici e barbuti come loro...
reward_tree_bear_border_title;Stagione dell'Orso
reward_tree_bran_chest_1;Il consigliere più vicino a Bran era sua moglie Birna. Durante i banchetti, lei sedeva sempre al suo fianco, in silenzio. Nel trambusto, notarla era quasi impossibile, mentre a lei non sfuggiva neanche un singolo pettegolezzo, un'occhiata furtiva, un sopracciglio alzato. E dopo, nel letto di pelle d'orso della camera da letto reale, sussurrava al marito quanto aveva appreso...
reward_tree_bran_chest_2;Nonostante le ripetute pressioni di Birna, Bran si rifiutava di proclamare il figlio, Svaringe, legittimo erede al trono. Riteneva che, se era davvero meritevole della corona, il ragazzo avrebbe saputo guadagnarsela senza l'intercessione del padre. Altrimenti... pace. Bran trovava ridicola la lunga storia dinastica del Continente. Al contrario, sua moglie non riusciva proprio a pensarla così...
reward_tree_bran_chest_3;Bran ebbe una vita molto, molto lunga. Quando, dopo il suo ottantesimo compleanno, le sue mani cominciarono a tremare e i suoi pensieri a perdersi nel mezzo di un discorso, organizzò una piccola battuta di caccia. Con indosso delle vesti leggere e armato solo di pugnale, partì per An Skellig alla ricerca di un orso... e di una morte onorevole.
reward_tree_bran_story_pt1;Dicono che le onde che si infrangono contro le scogliere delle Skellige siano più facili da domare degli abitanti stessi. Eppure Bran riuscì proprio in quell'impresa: riunì le isole e i clan, mantenendoli insieme col pugno di ferro.
reward_tree_bran_story_pt2;Qual era il suo segreto? Come era riuscito dove altri avevano fallito? C'entrava forse il coraggio? L'astuzia? L'intimidazione? No, niente di tutto questo. Bran aveva fatto leva su una tattica precedentemente sconosciuta agli abitanti delle isole: il potere del compromesso.
reward_tree_bran_story_pt3;Mentre gli altri erano ansiosi di brandire ascia e arco, Bran invitava i rivali a banchettare. Con parole dolci come il miele, bisacce colme di monete e barili di birra, risultava difficile essere in disaccordo con il re di Skellige.
reward_tree_bran_story_pt4;Nonostante non avesse mai abbattuto un gigante dei ghiacci o saccheggiato la Città delle Torri d'Oro, Bran era ricordato come un grande sovrano. Non era un eroe nel senso stretto del termine, ma portò la pace sulle isole, dando vita a un periodo di crescita e prosperità per le successive generazioni dei campioni di Skellige.
reward_tree_bran_title;Bran Tuirseach
reward_tree_brouver_chest_1;Brouver Hoog avrebbe tagliato volentieri i contatti tra Mahakam e il resto del mondo. Considerava le altre razze una minaccia per le antiche tradizioni naniche, a rischio costante di vederle svanire all'ombra di una velata assimilazione. Per questo motivo, la vita sulle regioni montane era scrupolosamente regolamentata. Il Consiglio dei Clan stabiliva regole e postille per le questioni anche più inutili. Bretelle: accettabili o no? Mangiare una carpa dopo averla preparata o attendere che l'intingolo annesso si rapprenda? Suonare l'ocarina era in linea con la consolidata tradizione nanica o un mero acquisto dalla putrida e decadente cultura degli umani? E, nel primo caso, era ancora una tradizione degna di essere portata avanti?
reward_tree_brouver_chest_2;L'Anziano Brouver Hoog cambiava idea tante volte quanto si radeva, ossia... mai. I sovrani dei regni umani capirono subito che non avrebbero comprato il suo favore con doni e simili, e che non lo avrebbero neppure intimidito con le minacce più elaborate. L'unico modo per influenzare un Anziano testardo come Brouver era l'invocazione di una certa legge nanica, antichissima, oppure di un precedente su cui basarsi. Diversi re si adoperarono per creare articoli fasulli da spacciare come appartenenti a un codice antico perduto nel tempo, da usare durante i dibattimenti con il sovrano di Mahakam...
reward_tree_brouver_chest_3;Laddove i maghi del Continente si preoccupavano del profetizzato pericolo relativo al Bianco Gelo, Brouver Hoog non aspettava altro. Poiché nelle profondità della terra e nelle viscere delle montagne i nani avevano scavato intere città, dove la temperatura era stabile e i funghi crescevano rigogliosi senza bisogno di luce solare. Se il Bianco Gelo avesse ammantato il Continente, i nani non ne avrebbero risentito più di tanto. E poi, dopo il Grande Disgelo, sarebbero riemersi tra lande finalmente libere dalla piaga dell'umanità.
reward_tree_brouver_story_pt1;Brouver Hoog, l'Anziano a capo di Mahakam, è una figura alquanto controversa fra i non umani. Alcuni lo considerano l'ultima opportunità di sopravvivenza per le razze antiche, mentre per altri è un traditore vigliacco. Come mai due punti di vista così lontani? Per scoprirlo, dobbiamo tornare indietro di oltre due secoli...
reward_tree_brouver_story_pt2;Fu in quel periodo che gli elfi si cimentarono in un ultimo, disperato tentativo di allontanare gli umani dal Continente. A Mahakam arrivò un messaggero. Con voce appassionata, parlò di solidarietà necessaria tra le razze antiche. Brouver Hoog lo ascoltò attentamente... e poi lo cacciò via dalla terra dei nani chiudendo le porte della città alle sue spalle.
reward_tree_brouver_story_pt3;Mentre umani ed elfi si saltavano alla gola, Brouver aspettava. Dieci, venti, trent'anni... Passò un secolo prima che Mahakam riaprisse le proprie porte. Con trepidazione, i nani attendevano i primi arrivi dalla valle... e le notizie sulla guerra.
reward_tree_brouver_story_pt4;Gli elfi erano stati sconfitti su tutta la linea, le loro lande ridotte a un cumulo di macerie e i loro giovani martoriati sui campi di battaglia che si stendevano dalle Montagne del Drago fino all'Angren. Se Brouver Hoog, secoli prima, avesse accettato la fatidica proposta, i nani avrebbero certamente condiviso il triste destino degli elfi. Grazie alla lungimiranza dell'Anziano, invece, nel frattempo Mahakam aveva prosperato... ma non senza il fardello di un senso di colpa latente.
reward_tree_brouver_title;Brouver Hoog
reward_tree_calanthe_chest_1;Secondo la storia, Calanthe fu l'ultima regina di Cintra. Durante la Prima Guerra Nilfgaardiana, Emhyr var Emreis mosse le sue armate per assoggettare i regni vicini. La Leonessa di Cintra, questo il suo amorevole nomignolo, difese la sua terra ancestrale con grande ferocia, subendo gravi ferite ella stessa. Tuttavia, percependo l'imminente rovina, ordinò alla corte di procurarle un pugnale con il quale si sarebbe tolta la vita. I sudditi, questa volta, non obbedirono: non avrebbero mai potuto contribuire alla dipartita della regina. Ma la loro disobbedienza fu vana, poiché Calanthe rimediò gettandosi dalla finestra della torre più alta.
reward_tree_calanthe_chest_2;Purtroppo, il corpo della regina non fu mai trovato, probabilmente calpestato nel fango intriso di sangue dalla fanteria pesante di Nilfgaard fino a diventare irriconoscibile. Dopo la guerra, due gloriosi monumenti furono eretti in suo onore: uno a Skellige, dove venne simbolicamente sepolta al fianco dell'amato marito; l'altro, nei sotterranei del castello di Cintra su richiesta di Emhyr var Emreis, suo conquistatore. Pare che, per motivi noti solo a lui, l'imperatore nilfgaardiano provasse rimorso per la morte della regina...
reward_tree_calanthe_chest_3;Nelle vene di Calanthe scorreva il sangue di un'antica stirpe di Aen Elle, quella di Lara Dorren, una degli Aen Saevherne, comunemente noti come i saggi elfici. Nonostante la Leonessa di Cintra non avesse ereditato il talento magico del sangue antico, questa affinità si manifestò della di lei figlia, Pavetta, e poi in sua nipote Cirilla. Tuttavia, considerato il famigerato temperamento di Calanthe, forse è stato meglio così. Sarebbe tremendo pensare di cosa sarebbe stata capace con le arti arcane a sua disposizione...
reward_tree_calanthe_story_pt1;Calanthe, o per spirito di precisione Calanthe Fiona Riannon, era nota con due nomignoli. In tutto il Continente si era guadagnata l'appellativo di "Leonessa di Cintra", mentre sulle isole Skellige le era stato affibbiato quello di "Ard Rhena", che significa "Regina Suprema". Entrambi i soprannomi le calzavano meglio di un paio dei migliori guanti di seta.
reward_tree_calanthe_story_pt2;Calanthe era tanto valorosa quanto severa. Alla sua vista, perfino i guerrieri più chiassosi si chiudevano nel silenzio, e i conti più vanagloriosi si inchinavano con sommo rispetto. Pochi osavano agire contro il suo volere, e ancora meno avevano l'opportunità di ripetere quell'errore.
reward_tree_calanthe_story_pt3;Calanthe aveva sempre desiderato governare da sola, da qui la sua avversione al matrimonio. Ma quando, alla fine, decise di convolare a nozze, la schiera di pretendenti era ormai risicata. Con gli occhi verde ghiaccio, il suo sguardo indomito faticava a sciogliere il cuore dei giovani principi...
reward_tree_calanthe_story_pt4;Alla fine, Calanthe salì all'altare in due occasioni. Il primo marito, Roegner de Salm, le diede un'erede. Il secondo, Eist Tuirseach, il vero amore. Avrebbero potuto condurre una vita da fiaba, se non fosse stato per l'amaro finale.
reward_tree_calanthe_title;Regina Calanthe
reward_tree_calveit_chest_1;In gioventù, Jan Calveit servì nella Divisione Magne, incaricata di difendere il confine meridionale dell'impero lungo la catena montuosa di Tir Tochair. Durante una spedizione contro un gruppo di nomadi fuorilegge che batteva il Deserto di Korath, la sua unità cadde vittima di un'imboscata. Solo Calveit riuscì a scampare alla morte. Per settimane vagò tra le dune roventi sotto un sole implacabile, ferito e stremato. Alla fine riuscì a tornare a casa. Era un uomo cambiato.
reward_tree_calveit_chest_2;Una profonda cicatrice solcava diagonalmente il volto dell'Imperatore Calveit. A fronte delle ripetute proposte dei suoi maghi di corte di nascondere o rimuovere la ferita, l'imperatore aveva sempre rifiutato con decisione. "Chi non riflette sui propri errori è condannato a ripeterli", soleva dire. In effetti, non è facile dimenticare i passi falsi del passato quando ti guardano dallo specchio ogni mattina.
reward_tree_calveit_chest_3;A Jan Calveit piaceva osservare lo svolgersi degli scontri seduto su un trono collocato al margine del campo di battaglia. E nonostante frecce fiammeggianti gli sfrecciassero accanto ed enormi massi aprissero crateri attorno a lui, Calveit non batteva ciglio. "Il nostro destino è scritto nelle stelle", sosteneva. "E il mio giorno non è ancora giunto."
