_inputshopbuymultiple;구매
reward_tree_cc_story_pt1;사람들은 새벽부터 신기한 눈으로 밤하늘을 바라봤습니다. 그들은 별을 바라보며 신에게 기적을 빌거나 미래의 예언을 구했습니다. 일부는 성공했지만, 보통 그 대가로 실성한 사람이 되었습니다.
reward_tree_cc_story_pt2;엘티발드라는 이름의 마법사도 그런 예지력이 있는 사람이었는데, 그는 곧 검은 태양이 도래할 것이라고 예언했습니다. 그의 다음 임무는 더욱 끔찍한 불행이 도래한다는 사실을 예고하는 것이었지만... 아아, 그는 원고를 완성하기 전에 세상을 떠나고 말았습니다.
reward_tree_cc_story_pt3;엘티발드의 미완성 원고는 "핏빛 저주 또는 악마의 자각"이라는 제목이었습니다. 그는 이 책에서, 달이 핏빛을 띠면 숨어 있던 괴물들이 나타나 인간의 피와 살로 잔치를 벌이게 될 거라고 예언했습니다.
reward_tree_cc_story_pt4;엘티발드의 제자들은 그가 마지막으로 남긴 논문이 미친 사람의 헛소리로 여겨질까 봐, 이름 높은 마법사의 유산을 보존하기 위해 대중에게 논문을 숨겼습니다. 불과 몇 년 후, 대륙이 피로 물들자 엘티발드의 제자들은 너무나 큰 실수를 저질렀다는 사실을 깨달았습니다...
reward_tree_cc_title;핏빛 저주
reward_tree_cd1_leadership_story_chest_1;사랑받거나, 존경받거나, 존중받거나, 혹은 두려움에 질리거나. 리더십에는 다양한 면모가 있습니다. 선지자 군주의 확고한 결단력부터 거리를 지배하는 갱단 우두머리의 공포까지 말이지요. 어떤 이들은 의무와 책임이라는 미명 아래 권력을 넘겨주곤 하지만, 숭고한 대의를 외치며 이들을 넘어서고자 하는 자들도 있습니다. 하지만 이런 헛된 꿈에 부풀어 리더가 되려는 사람도, 결국 무력을 사용해 피를 흘리며 그 자리를 뺏어야 합니다. 어쨌든 스코이아텔 특공대나 노비그라드의 폭력적이고 제멋대로인 '조직'을 이끌면서 손에 피 한 방울 묻히지 않는 건 불가능에 가깝습니다. 강력한 지배력을 보여주지 않고 이러한 괴물들을 다루려고 했다간 결국 문제에 봉착하게 되지요. 순간의 자비가 약점으로 비칠 수 있기 때문에, 리더는 항상 사람들 마음속에 두려움을 불어넣어야 합니다. 적이든 아군이든 말이지요.
reward_tree_cd1_leadership_story_chest_2;공포에서 비롯된 대학살은 실로 대단한 유산을 만들어 내고, 피를 갈망하는 공격성은 스켈리게 군도가 몇 번이나 보여준 것처럼 더없이 유용한 수단입니다. 적어도 잠깐은 말이지요. 하지만, 진정으로 오래 지속되는 지도력은 보다 침착하고 계산적으로 움직일 때 나옵니다. 잠시 물러나서 상황을 분석하고 행동하면 되는데, 광기 어린 사냥개처럼 뛰어들 필요는 없으니까요. 인내와 지혜는 순간의 분노보다 훨씬 적은 희생으로 훨씬 많은 전쟁에서 승리를 불러왔습니다. 닐프가드의 사례를 잠시만 돌이켜 봐도, 기민한 외교가 얼마나 효과적인지는 쉽게 알 수 있지요. 물론, 대부분 적의 배반이라는 요소가 포함되어 있지만요.
reward_tree_cd1_leadership_story_chest_3;개인의 충성심이라는 사안을 자세히 들여다보면, 공포가 강력한 원동력이 된다는 걸 부인할 수 없습니다. 하지만 이러한 두려움은 쉽게 사라지고, 일순간 드러난 약점에 의해 소멸하기도 하지요. 반란이 일어나고 쿠데타가 발생하면, 폭력이 폭력을 낳게 됩니다. 예전부터 널리 알려진 사실이지요. 그런데도, 많은 사람은 존경과 존중이 더 굳건한 믿음과 강력한 지지의 기반이라고 주장합니다. 수 세기에 걸쳐 포용 정책을 펼쳤던 북부 왕국 지도자들의 사상처럼 말이지요. 이들은 오랫동안, 공포와 강요에서 나온 행동은 진정한 충신들의 헌신에 비하면 보잘것없다는 확신이 있었습니다.
reward_tree_cd1_leadership_title;충직한 지도자
reward_tree_cleaver_chest_1;노비그라드의 비인간들은 도시 경비대가 삶의 터전을 지킬 생각이 없다는 걸 너무나 잘 알고 있었습니다. 오히려 그들은 그 반대로 행동하지요. 이 때문에 노비그라드 비인간 지구의 치안은 카를로 "클리버" 바레세가 담당하고 있습니다. 클리버에게 협조하는 사람들은 클리버 덕분에 안전한 거라며 그를 칭송합니다. 하지만 조심하세요. 클리버의 제안을 거절했다가는 소리 소문 없이 사라질 수도 있으니까요.
reward_tree_cleaver_chest_2;클리버는 도시의 목욕탕에서 거래하는 걸 선호합니다. 수건 아래에는 무기를 숨기기 힘들고, 협상이 싸움으로 번지면 클리버에겐 맨주먹이 유리하니까요. 다부진 주먹으로 상대와 한바탕 벌이고 나면 사업은 클리버가 원하는 대로 흘러가곤 합니다.
reward_tree_cleaver_chest_3;인간들 사이에서 살아가기로 마음먹은 드워프들은 최대한 눈에 띄지 않으려고 애씁니다. 그들은 눈을 내리깔고 모자를 푹 눌러쓴 채 지나다니지요. 하지만 클리버는 다릅니다. 문신과 보석으로 치장한 맨가슴과, 태양 빛에 번쩍이는 모히칸 머리를 보면 그에게 눈길이 갈 수밖에 없을 것입니다.
reward_tree_cleaver_story_pt1;사실 클리버는 꽤 착한 친구입니다. 정말로요. 물론 입을 잘못 놀리면 안 될 겁니다. 그랬다간 그의 이름이 왜 "클리버"인지 뼈저리게 느끼게 될 테니까요.
reward_tree_cleaver_story_pt2;어린 드워프였던 시절, 카를로 바레세는 도축장에서 돼지 잡는 일을 배웠습니다. 그러다 곧 한 가지 사실을 깨닫게 됩니다. 돼지를 잡는 것과 사람을 잡는 것에 별 차이가 없다는 것이었지요.
reward_tree_cleaver_story_pt3;의도적이든 아니든, 클리버를 방해하면 잘게 조각나서 폰타르 강 밑바닥에 사는 물고기의 밥이 될 수도 있습니다.
reward_tree_cleaver_story_pt4;하지만 클리버의 규칙과 명령을 따른다면, 왕관분쇄자의 리더는 당신을 가족처럼 환영할 것입니다. 그러니 가족을 배신하지 않는 게 좋겠지요...
reward_tree_cleaver_title;클리버
reward_tree_crach_chest_1;크래치의 함대가 제국의 해안 지역을 완전히 파괴하자 사람들은 크래치를 '티르스 이스 뮈에', 즉 '바다의 멧돼지' 라 불렀습니다. 새로운 별명이 마음에 들었던 크래치 자신의 유령선 뱃머리에 성난 멧돼지 얼굴을 새겨 넣었습니다. 전설에 따르면 크래치의 함대는 아드 스켈리그의 신성한 오크나무, 게디네이스 목재를 사용했다고 합니다. 크래치 유령선에 새겨진 멧돼지의 두 눈이 벌겋게 빛날 때마다 적들은 겁에 질렸습니다.
reward_tree_crach_chest_2;크래치 안 크라이트는 슬하에 두 자녀를 두었습니다. 아들인 얄마르와 딸인 세리스였지요. 누군가 크래치에게 둘 중 누구를 후계자로 삼겠냐고 물으면 크래치는 언제나 한숨을 쉬며 한참을 고민했습니다. 얄마르를 볼 때마다 크래치는 용맹하고 야심 만만하며 영예를 갈망하던 자신의 어릴 적 모습을 떠올렸습니다. 얄마르는 분명 뛰어난 전사였습니다... 하지만 뛰어난 족장이 될 수 있을까? 크래치는 자문했습니다. 반면 세리스는 유능한 지도자가 되기 위한 모든 자질을 갖춘 아이였습니다. 하지만 과연 섬사람들이 여성 족장의 명령에 복종할 준비가 되었는가? 시간만이 그 답을 알려줄 것입니다...
reward_tree_crach_chest_3;풍성한 적갈색 수염과 시원한 미소를 자랑하며 닐프가드 함대 정복자로 명성을 떨쳤던 크래치는 뭇 여성들의 선망 대상이었습니다. 그 유명한 벤거버그의 예니퍼마저 크래치의 매력에 빠져들 정도였으니 말이지요. 소문에 따르면 크래치가 소서리스 예니퍼에게 청혼하자 예니퍼는 답으로 미소를 짓고는 그의 이마에 입을 맞추었다고 합니다... 그리고 포탈을 열어 스켈리게 섬에서 모습을 감추고는 약 30년 동안 나타나지 않았습니다.
reward_tree_crach_story_pt1;젊은 시절, 크래치는 스켈리게 섬의 거친 연안에서 타국의 통치자와 충돌하게 된다는 내용의 예언을 받았습니다. 안 크라이트 부족의 족장인 크래치는 평생, 그 운명의 날만을 기다렸습니다...
reward_tree_crach_story_pt2;예언에 나온 타국의 통치자가 닐프가드 황제를 지칭한다고 확신했던 크래치는 자신의 함대로 황금 태양을 품은 검은 함대의 움직임을 예의 주시했습니다. 그는 황제가 올 날을 고대했습니다. 그날이 되면 황제의 눈을 바라보며 그의 머리에서 관을 떼어내겠노라며 굳게 다짐하면서 말입니다.
reward_tree_crach_story_pt3;세월이 흘러 수십 년이 지났습니다... 크래치는 닐프가드 함대 수십 척을 침몰시켰지만 황제의 함대는 아직 육지에 머물렀습니다. 황제에게는 바위 섬을 정복하는 일보다 분명 중요한 일이 더 많았습니다.
reward_tree_crach_story_pt4;크래치는 결국 예언이 잘못된 것이라고 확신했습니다. 체념한 그는 자신의 별에 쓰인 대 해전의 날을 더는 목놓아 기다리지 않기로 결심했습니다. 그러던 어느 날, 스켈리게 해안에 유령선 한 척이 나타났습니다. 바로 와일드 헌트의 왕이 직접 지휘하는 나글파였습니다.
reward_tree_crach_title;크래치 안 크라이트
reward_tree_dana_chest_1;최근까지 다나 메드브를 본 사람은 거의 없었습니다. 한때는 그녀가 봄이나 여름에만 모습을 보인다는 얘기가 있었지만, 그마저도 확실하지 않았습니다. 어떤 이들은 엘프들 얘기처럼 낫의 연회나 수확제 동안에 나타날 때가 제일 많다고 했습니다. 그녀는 추수의 춤에 동참했고, 심지어 아가씨들의 땋은 머리에 꽃을 달아주기도 했습니다. 최근 기억과 마찬가지로 다나 메드브는 세상이 얼음에 묶여 있을 때 더 자주 나타났습니다... 아아, 들판의 여왕이 화가 났으니 기뻐할 이유가 없었습니다. 자연의 풍요로움에 감사하기는커녕, 세상 사람들은 갈수록 분열과 약탈을 반복했습니다. 그들에게 오랫동안 잊지 못할 교훈을 줘야 할 때였습니다.
reward_tree_dana_chest_2;드워프들은 살아 있는 식물이나 야수보다는 생명이 없는 바위를 더 좋아했기에, 자연과 연관성이 그리 깊지는 않았습니다. 이처럼 분명한 연관성이 없음에도, 드워프들은 다나 메드브를 숭배하며 블루맨매그드라는 이름으로 불렀습니다. 그들은 교차로에 홉으로 만든 화환과 절인 곰팡이 항아리를 놓고 예를 표했습니다. 리피아가 소문대로 그런 공물을 진짜 좋아하는지 확실히 아는 사람은 아무도 없었지만... 주변 산의 노커들이 좋아한다는 것은 확실했습니다.
reward_tree_dana_chest_3;다나 메드브는 종종 평범한 여성의 모습으로 나타나 인간들 사이에서 살았습니다. 그녀는 벙어리처럼 아무 말 없이 사람들이 자주 다니는 길을 멀리했지만, 날카로운 눈빛으로 사람들을 관찰했습니다. 호밀밭에서 양귀비와 수레국화를 뽑지 않고 소에게 당근을 먹이는 마을이 있으면, 리피아는 그곳의 농민들에게 풍작을 이루게 해주었습니다. 하지만 땅을 어머니가 아니라 노예로 여기는 농민들에게는 서리와 우박으로 흉작이 들게 했습니다...
reward_tree_dana_story_pt1;더운 여름날이면 자작나무 숲 한가운데서, 머리 위에 꽃으로 된 왕관을 쓴 채 춤추는 나비에 둘러싸인 젊은 여성의 실루엣이 보이곤 했습니다. 엘프들은 그녀를 다나 메드브라고 부르고, 인간들은 그녀를 들판의 여왕이라는 뜻의 리피아라고 칭했습니다.
reward_tree_dana_story_pt2;위대한 엘프 현자들도 그녀의 진짜 정체가 무엇인지 알지 못했습니다. 그녀를 여신이나 자연의 힘이 구체화된 것이라고 생각하는 사람도 있었습니다. 한 가지는 확실합니다. 그녀가 없으면 대륙은 바다 속의 생명이 없는 바위와 다를 바 없었을 겁니다.
reward_tree_dana_story_pt3;봄이 오면 다나 메드브는 식물과 야수를 깨우고 여린 꽃들이 싹을 틔우게 했습니다. 그녀가 발을 내딛는 곳은 어디든 풍요로운 땅이 됐습니다. 그녀의 발길이 닫지 않은 곳은 꽃이 시들어 줄기가 끊어지고 수확량도 줄었습니다.
reward_tree_dana_story_pt4;다나 메드브는 한동안 인간의 일에 간섭하지 않으려 했습니다. 그녀는 모든 인류를 사랑했기 때문입니다. 하지만 세계의 균형이 깨지자 리피아는 균형을 회복하려 했습니다. 필요하다면 무력까지 동원해서 말이지요.
reward_tree_dana_title;다나 메드브
reward_tree_demavend_chest_1;너무 오래전 일이라 기억해내기 쉽지 않지만, 데머번드 왕도 건장한 청년이던 시절이 있었습니다. 폴테스트마저 데머번드의 독수리 같은 다부진 모습을 부러워할 정도였습니다. 사람의 마음을 사로잡는 그의 에메랄드빛 눈과 마주치기라도 하면 처녀들은 황홀경에 빠졌습니다. 하지만 세월이 흐르면 빛은 사그라지기 마련입니다. 불룩한 배와 붉은 뺨은 그가 얼마나 호화로운 음식과 술을 마음껏 즐기는지를 여실히 보여줬으며, 늘어진 목과 한껏 구부러진 어깨를 보면 그가 안장이 아닌 실크 안감을 댄 왕좌에 앉아 군을 지휘했다는 사실을 짐작해낼 수 있었습니다.
reward_tree_demavend_chest_2;엘프를 향한 데머번드 왕의 증오는 이미 잘 알려져 있습니다. 비지미르 왕과 폴테스트 왕은 스코이아텔을 상대로 부득이하게 전쟁을 벌였지만 에이단의 왕은 놀라울 만큼 열정적으로 반역자들 사냥에 나섰습니다. 닐프가드와의 전쟁으로 에이단의 국고는 바닥이 드러난 상태였지만, 데머번드 왕은 스코이아텔 머리 하나당 50더컷이라는 현상금을 내걸었습니다. 꽤 짭짤한 수입이었으므로 에인단인들은 종종 무고한 엘프와 드워프를 잡아다 바쳤습니다. 물론 데머번드 왕도 이 같은 사실을 잘 알고 있었습니다. 하지만 그는 전혀 개의치 않는 듯했습니다...
reward_tree_demavend_chest_3;데머번드 왕은 자신의 왕관 아래, 금실로 수를 놓은 하얀 모자를 착용했습니다. 푹푹 찌는 여름에도 말입니다. 왜냐고요? 자존심 센 왕은 점점 벗겨지는 자신의 머리를 보이기 싫었을 겁니다. 많은 연금술사와 이발사가 궁정에서 에이단 통치자의 머리를 다듬으며 그의 빛나는 머리칼을 돌려주겠다고 약속했습니다. 하지만 실패한 대가로 모두 알데스버그 지하 감옥에서 남은 생을 보내야 했습니다. 자유는 물론이거니와 그들의 두피마저 빼앗긴 채로 말입니다...
reward_tree_demavend_story_pt1;데머번드는 위대한 왕이 가져야 할 많은 자질을 갖추고 있었습니다. 교육도 잘 받은 데다 상황 판단도 빨랐고 교활한 면이 있어 정치적으로 간교도 잘 부렸습니다. 하지만 안타깝게도 성미가 매우 급했습니다.
reward_tree_demavend_story_pt2;데머번드 왕은 현재에 만족하는 법이 없었습니다. 언제나 내일을 바라봤으며 미래에 있을 전쟁 후에 열릴 대연회만을 기다렸습니다. 당연히 궁에서의 일상적인 업무는 대수롭지 않게 여겼습니다. 참모진이 재정 정책에 관해 논하는 동안 왕은 조용히 다음 정복 계획을 세웠습니다...
reward_tree_demavend_story_pt3;에이단의 주변국들은 데머번드 왕이 타협을 모르는 자라는 사실을 곧 깨닫게 되었습니다. 그의 왕국은 작은 팬에서 구워 잔뜩 부푼 빵처럼 그 세력을 사방으로 확장시켰습니다. 닐프가드 제국과 다를 바 없는 모습이었습니다...
reward_tree_demavend_story_pt4;닐프가드군이 야루가 강을 넘어왔을 때 북부 통치자들은 극심한 공포에 떨었습니다. 물론 데머번드 왕은 예외였습니다. 그는 오히려 크게 기뻐했습니다. 마침내 에이단의 명성에 버금가는 적과 대면한다 여겼기 때문입니다... 물론 그 기쁨은 오래가지 않았습니다.
reward_tree_demavend_title;데머번드 3세
reward_tree_dettlaff_chest_1;위쳐들은 고위 흡혈귀들을 각각 별개의 종으로 구분하곤 했습니다. 하지만 흡혈귀마다 성격과 능력이 다르기 때문에 그런 구분도 완벽하지는 않았습니다. 예를 들어, 레지스는 선천적으로 지능이 굉장히 높은 외톨이였지만, 디틀라프는 무리를 이끌 운명을 타고난 것 같았습니다. 카타칸, 에키마라, 브룩사 같은 하위 흡혈귀들은 디틀라프의 부름에 언제나 바로 응답했습니다. 보끌레흐의 주민들은 그러한 압제로 인해 곧 비극을 겪게 됩니다...
reward_tree_dettlaff_chest_2;디틀라프의 복장에서 가장 독특한 점을 꼽는다면, 아마 레지스에게 선물받은 나방 모양 보석이 장식된 브로치일 것입니다. 디틀라프는 그 징표를 밤과 연결됐다는 상징으로 받아들였습니다. 하지만 레지스는 다른 연대를 염두에 두고 있었습니다. 그는 자신의 친구가 원초적 본능에 이끌려 나방처럼 불빛에 달려들 거라는 사실을 알고 있었습니다. 그 선택 때문에 언젠가 불길에 휩싸이게 된다고 해도 말이지요.
reward_tree_dettlaff_chest_3;디틀라프는 비열한 행동을 저질렀다는 죄목으로 투생의 기사 네 명을 살해한 후, 투생 사람들에게 보끌레흐의 야수로 알려졌습니다. 투생 법원은 디틀라프에게 살인죄로 사형을 선고했고, 이 정체불명의 괴물을 추적하기 위해 위쳐를 불렀습니다. 디틀라프는 이 광경을 믿을 수가 없었습니다. 널리 사랑받는 안나 헨리에타 공작은 이보다 훨씬 사소한 일로 여러 사람을 사형대로 보냈기 때문이었습니다. 심지어 투생에서 부른 괴물 사냥꾼도 처치를 의뢰받은 야수보다 무고한 생명을 더 많이 죽인 게 틀림없는 자였습니다! 이때가 전환점이었습니다. 디틀라프는 더 이상 인간의 법을 준수하지 않기로 했고, 대신 그들에게 가장 가혹한 처벌로 구성된 흡혈귀의 규율을 강제했습니다...
reward_tree_dettlaff_story_pt1;디틀라프는 한때 사람들 사이에서 평화롭게 살려고 했습니다. 그는 피의 굶주림을 억제하고 공용어를 습득했으며, 기본적인 궁중 예법을 익혔습니다. 시간이 지나며 디틀라프는 인간 친구를 사귀기 시작했고... 무엇보다 사랑하는 사람이 생겼습니다.
reward_tree_dettlaff_story_pt2;그녀의 이름은 시아나였습니다. 시아나를 향한 디틀라프의 사랑은 절대적이었습니다. 디틀라프는 시아나를 위해 무엇이든 할 준비가 되어 있었습니다. 사실 시아나 디틀라프의 애정 어린 헌신을 제대로 이용했습니다... 한마디 말도 없이 사라진 그날까지 말이지요.
reward_tree_dettlaff_story_pt3;시아나는 아마 디틀라프가 지난 연인들처럼 실연의 아픔을 그냥 삼킬 거라고 생각했을 것입니다. 아아, 하지만 흡혈귀는 사람과 달랐습니다. 결국 디틀라프의 분노는 극에 달했고,
reward_tree_dettlaff_story_pt4;디틀라프는 시아나뿐만 아니라 인간 자체에 환멸을 느꼈습니다. 디틀라프는 모든 인간을 배신자, 위선자, 기만자로 생각했습니다. 안타깝게도 대륙의 역사를 조금만 돌아봐도 디틀라프가 완전히 틀린 것은 아니었습니다...
reward_tree_dettlaff_title;디틀라프 반 데르 에레테인
reward_tree_dire_rat_chest;쥐인간 따윈 도시 전설에 불과하다고 말하는 사람이 있습니다. 여러 도시의 하수구에서 실제로 쥐인간을 봤다는 사람도 있지요. 혹은, 대륙에 있는 모든 대도시의 하수구에 인간형 쥐가 살고 있다고 주장하는 사람도 있습니다. 심지어 그 수가 어마어마하다고 말하는 사람도 있지요. 쥐인간에 관한 이야기는 이뿐만이 아닙니다. 한술 더 떠서, 전염병에서 살아남은 사람은 더 이상 인간이 아니라는 소문이 있을 정도니까요.\n적어도 인간의 형상을 매일 유지할 순 없다면서 말이지요.
reward_tree_dire_rat_story_pt1;쥐는 어디에나 있습니다. 적어도 인간이 찾을 수 있는 곳이면 어디에나 있지요.
reward_tree_dire_rat_story_pt2;예를 들어, 옥센푸르트 대학의 분류법에 따라 라투스 노르딜리쿠스라 불리는 떠돌이 쥐는 인간과 함께 대륙 전체를 식민지로 만들었습니다. 아마 바다 건너의 땅도 이미 식민지가 되었을 것입니다. 인간과 가장 가까운 친구는 개가 아니라 쥐라고 해도 무방할 정도지요.\n정말 끔찍한 얘기가 아닐 수 없습니다.
reward_tree_dire_rat_story_pt3;쥐는 인간에게 불행을 몰고 오는 전령입니다. 인간의 재산을 파괴하고, 식량을 먹어 치우며, 병을 몰고 다니지요. 이들의 작은 발톱과 이빨은 대형 전쟁 병기보다도 치명적일 수 있습니다. 도시 전체를 파괴하진 않지만, 도시의 모든 거주민을 손쉽게 죽일 수 있으니까요... 그러기 위해서는 감염된 동물 한 마리면 충분하지요. 작은 상처 하나가 인류에게 파멸을 가져올지도 모르는 일입니다.\n바로 역병이라는 이름의 파멸이지요.
reward_tree_dire_rat_story_pt4;역병의 여인이 자신의 쥐 떼를 언제, 어느 도시로 보낼지는 누구도 알 수 없습니다. 또한, 어떤 질병을 퍼뜨릴 것인지도 모르는 일이지요. 어떤 증상이 나타날까요? 감염자 사이에서 살아남은 끔찍한 돌연변이의 이야기를 들어 보면...\n오히려 죽는 게 나을 수도 있습니다.
reward_tree_draconic_avatar_chest_1;사스키아의 어머니가 누구인지는 아직 베일에 싸여있지만, 현재까지 나온 증거로 보면 카인고른의 니다미어 왕이 원정대를 꾸려 사냥 대상으로 삼았던 미르그타브라케라는 용일 것으로 추정됩니다. 그녀를 죽이기 위해 꾸려진 원정대에 참여한 자들은 누구일까요? 아니, 차라리 참여하지 않은 자를 찾는 게 더 빠를 겁니다! 야르펜 지그린과 드워프 무리, 데네슬의 아이크, 벤거버그의 예니퍼, 볼르의 도레게레이, 크린프리드 광전사, 그리고 전설적인 리비아의 게롤트까지 함께했습니다... 그런데도 미르그타브라케는 살아남았습니다. 어떻게 살아남았는지 그 이유가 궁금하겠지만, 원정에 참여했던 자들 중 입을 여는 이가 없으니 알 길이 없습니다...
reward_tree_draconic_avatar_chest_2;케드웬과 에이단이 만나는 폰타르 협곡에 새로운 왕국을 세우는 것이 사스키아의 꿈이었습니다. 엘프, 드워프, 인간, 하플링, 노움까지 모든 종족이 편견과 차별 없이 평화롭게 살 수 있는 그런 왕국 말입니다. 멋진 꿈이기는 하지만... 실현 가능성은 거의 없었습니다.
reward_tree_draconic_avatar_chest_3;사스키아의 열정적이며 인상적인 글을 읽고 나면 그녀가 굉장히... 순진하다는 느낌을 지울 수 없습니다. 노련한 정치가라면 과연 농민 봉기로 헨젤트 왕의 군대를 이길 수 있으리라 생각할까요? 스코이아텔이 인간과 드워프를 보호하기 위해 숲을 버리리라 생각할까요? 소서리스 지부가 순수한 의도로 도움의 손길을 내밀까요? 그럼에도 불구하고... 이 세상에 이상주의자는 꼭 필요한 존재입니다. 이들 덕분에 이 세계는 더 나은 방향으로 나아가니 말입니다.
reward_tree_draconic_avatar_story_pt1;사스키아는 별명이 여러 개였습니다. 폰타르 협곡의 여왕, 에이단의 처녀, 용 살해자. 음... 돌이켜보니 저 중 최소한 두 가지는 어울리지 않는 별명 같습니다.
reward_tree_draconic_avatar_story_pt2;일단 침실에서의 일은 차치하고 '용 살해자'라는 별명을 생각해봅시다. 사실 사스키아는 용을 죽인 적이 없습니다... 스스로 목숨을 끊으려 한 적도 없었고 말입니다.
reward_tree_draconic_avatar_story_pt3;네, 지금 생각하고 계신 바가 맞습니다. 사스키아, 아니 세센테시스라는 본명을 가진 그녀는 어떤 모습으로든 변신 가능한 황금 용이었습니다...
reward_tree_draconic_avatar_story_pt4;하지만 의문이 하나 남습니다... 왜 인간의 형상을 했을까요? 왜 인간의 일에 관여했을까요? 그건 아버지인 빌렌트레텐메르스에게 인간에 대한 애정을 물려받아서일지도 모릅니다.
reward_tree_draconic_avatar_title;사스키아
reward_tree_draconic_border_chest_1;사람들이 용을 두려워하는 건 태양이 매일 뜨고 지는 것과 같은 이치입니다. 제리카니아인은 예외지만 말입니다. 대륙의 극동부에서 온 여행자들에 따르면 제리카니아 사람들은 용에게 제물을 바치고 숭배의 목적으로 신전을 짓는다고 합니다. 그들은 용을 미덕과 아름다움의 현신이라 믿는다고도 합니다. 누구든 용에게 맞서 무기를 들면 가장 잔인한 형벌을 내린다고 하는데, 어디까지가 진실인지는 알 길이 없습니다...
reward_tree_draconic_border_chest_2;용이 파괴를 일삼은 흔적은 여기저기서 찾을 수 있지만, 대륙에서 용을 목격하기란 쉬운 일이 아닙니다. 위쳐와 같은 전문가가 파괴 현장을 조사할 때도 용의 소행이 아니라고 결론지을 때도 있습니다. 슬리자드, 포크테일, 와이번 등의 소행인 경우가 더 많은 게 사실입니다. 소문에 의하면 황금 용은 그러한 부류로 오인 받는 것을 굉장히 불쾌해한다고 합니다.
reward_tree_draconic_border_chest_3;가장 유명한 용이라면 인간의 형상으로는 세 갈까마귀 보치라고 불렸던 빌렌트레텐메르스를 들 수 있습니다. 그는 여느 용과는 달리, 인간에게 연민을 느꼈으며 인간들과 함께 어울려 지냈습니다. 선술집이나 여관에 가서 돈만 충분히 낸다면 제리카니아의 음유시인이나 여전사에게 그의 스토리를 들을 수 있습니다.
reward_tree_draconic_border_story_pt1;용은 녹색, 적색, 흑색, 백색, 황금 등 여러 부류가 있습니다. 색깔도 색깔이지만 종류별로 몸집과 지능, 능력도 각양각색입니다. 그럼 공통점은 무엇일까요? 간단합니다. 모두 매우 위험한 존재입니다.
reward_tree_draconic_border_story_pt2;용은 매우 위험한 존재이므로 위쳐들이 그와 관련된 일을 꺼리는 것일지도 모릅니다. 위쳐들은 그들의 규율 때문이라는 핑계를 대지만, 유명한 괴물 사냥꾼들조차 용을 두려워한다는 것쯤은 누구나 쉽게 알 수 있습니다.
reward_tree_draconic_border_story_pt3;위쳐들이 용 사냥 의뢰는 거절하니, 용을 처치하는 일은 다른 영웅에게 돌아갈 수밖에 없습니다. 방랑 기사가 용에게 맞서는 경우도 있고, 지역 농민들이 마을을 지키기 위해... 양 시체에 독을 넣는 경우도 있습니다.
reward_tree_draconic_border_story_pt4;어떤 방식을 사용했든 용을 사살하려는 시도는 대부분 좋지 않은 결과가 따랐습니다. 그렇다면 용은 다 어디에 있는 걸까요? 전설에 따르면 그들은 대해를 건너 인간이 다다르지 못한 땅으로 날아갔다고 합니다.
reward_tree_draconic_border_title;드라코니드 시즌
reward_tree_draconid_2_story_chest;위대한 사냥이 보기 좋게 실패한 뒤, 미르그타브라케는 간신히 태어난 자신의 딸을 빌렌트레텐메르스에게 맡겼습니다. 자신의 목숨을 구해 준 것에 대한 보답이었지요. "의외성의 용"이라고 할 수도 있을 것입니다. 이후, 미르그타브라케는 인간의 정착지뿐만 아니라 다른 용들과도 멀리 떨어진 곳에 숨어 지내게 됩니다. 모든 것을 뒤로 한 채 말이지요. 미르그타브라케는 항상 혼자였습니다. 니다미어 왕의 원정대나 베어필드의 성난 군중과 충돌이 있었을 때도, 미르그타브라케가 남들과 어울리기보다 고독을 더 좋아한다는 게 확실해질 뿐이었지요.\n하지만, 그런 미르그타브라케도 자신의 딸만은 유심히 지켜봤습니다.\n물론 눈에 띄지 않는 곳에서 말이지요. 흔히 사스키아라고 알려진 자신의 딸, 세센테시스는 왠지 모르게 인간사와 비인간사 모두에 관심이 있었기 때문입니다. 미르그타브라케는 이를 좀처럼 이해할 수 없었지만, 딸에게 간섭하거나 딸을 말리려고 하지는 않았습니다.\n하지만 그녀는 항상 딸을 지켜봤습니다. 세센테시스가 절대 혼자가 되지 않도록 말이지요.
reward_tree_draconid_2_story_pt1;미르그타브라케는 용 중에서도 가장 흔한 종에 속합니다. 바로 녹색 용이지요. 하지만 이들은 비늘 색깔 때문에 안타깝게도 슬리자드로 오해받고는 합니다. 녹색 용이라는 이름이 있지만, 이들은 녹회색이나 회녹색으로 보일 때가 많습니다. 새끼 드라코니드처럼 말이지요. 그렇기 때문에, 이 지적인 파충류들은 다른 어떤 용보다도 빈번하게 사냥을 당합니다.
reward_tree_draconid_2_story_pt2;북부 역사상 가장 유명한 사냥 중 하나는 미르그타브라케와 관련이 있습니다. 전설적인 원정대의 명성 덕분에 널리 알려진 사냥이지요. 이 원정에서는 카인고른의 왕인 니다미어가 원정대를 이끌었으며, 베어필드 주민의 거의 절반이 함께했습니다. 야르펜 지그린과 그의 드워프 동료들, 보홀트와 크린프리드 광전사들, 데네슬의 아이크, 마법사인 볼르의 도레게레이와 벤거버그의 예니퍼, 위쳐인 리비아의 게롤트와 그의 친구인 단델라이온도 힘을 보탰지요. 마지막으로, 기사인 세 갈까마귀 보치도 있었습니다. 하지만 그에게는... 용의 이름이 있었지요.
