_inputshopbuymultiple;购买
reward_tree_magic_2_title;斯崔葛布
reward_tree_magic_avatar_chest_1;很多人指责叶奈法有欺骗的行为。无可否认的是，在很多情况下，她都有操纵并歪曲事实的嫌疑，就连她自己效忠的对象都时时在变。不过最终表明，她这么做似乎是有更崇高的目的。也就是说，是为了那些她深爱的人。
reward_tree_magic_avatar_chest_2;温格堡的叶奈法是个闻名遐迩的女术士。但她的童年时代并不快乐。她是个混血儿，是半精灵和人类生下的女儿，这让她常常遭受同辈的欺凌。更糟糕的是，叶奈法天生就是驼背，这足以让她的亲生父亲抛弃她，因为在他眼里，自己的女儿就是个怪物。不过后来，她成了艾瑞图萨的学生，终于成功除去了自身的缺陷……尽管如此，曾经的记忆依然恍如昨日。
reward_tree_magic_avatar_chest_3;叶奈法是一位杰出的魔法专家。但是，与同伴不同的是，叶奈法从不避讳魔法中最阴暗的部分。甚至有谣言说，她还涉足了一些被严格禁止的巫术。然而，面对这些批评，她怒目而视，冰冷回应：“只要达到目的，不择手段又何妨。”
reward_tree_magic_avatar_story_pt1;巫师和女术士都是拥有不可思议的力量和知识之人。同时，也常有着远大的抱负。只可惜，他们的抱负并不仅限于那些被禁止的魔法秘术。巫师会通过他们谏言的君主达到自己的政治目的。几个世纪以来，宫廷中最强大的巫师和女术士往往在幕后操纵着大陆的政治平衡，造成的影响超乎想象。然而，随着瑞达尼亚的拉多维德五世崛起，一切都变了。魔法学校遭到关闭。无数的卷轴被火焰所焚，它们中蕴藏的秘密消失于历史之中。
reward_tree_magic_avatar_story_pt2;拉多维德五世开始围剿法师时，特莉丝·梅利葛德和她的同僚一样，在中立城市诺维格瑞寻求庇护。可是在这样一个避难之地，她与其他人却发现自己身陷囹圄。很快，越来越多的法师倒下了。他们的生命被永恒之火教会的牧师们一一掐灭。少数有幸存活下来的人们都应当感谢特莉丝，还有那个白发的猎魔人。
reward_tree_magic_avatar_story_pt3;和平易近人的特莉丝相比，温格堡的叶奈法名声同样响亮。但作为女术士，她坚持自己的道路，不为他人所限。她加入了女术士集会所，当然，尽管她本人并不完全愿意。此外，那些听从她建议的国王，往往都只是她达成目的的工具而已。至于为她神魂颠倒的绅士们……不过是玩物而已。
reward_tree_magic_avatar_story_pt4;不过，当叶奈法见到利维亚的杰洛特时，一切都变了，他们的命运立刻紧紧地交织在一起。他是她真正爱上的第一个男人……不过当然，这并不意味着他们的关系就会自此一帆平顺……
reward_tree_magic_avatar_title;凯拉·梅兹
reward_tree_magic_border_chest_1;对于女孩儿来说，最大的魔法训练机构是位于仙尼德岛的艾瑞图萨学院，至于男孩儿，则是位于科德温的班·阿德学院。为什么分开呢？与一些人认为的相反，这并不是因为两性之间有魔法能力的差别。就算有，这差别也微乎其微。其实，这是因为学院的校长和老师意识到，把年轻的小伙子和姑娘分开能减少……干扰。
reward_tree_magic_border_chest_2;有些人生来就拥有强大的魔法才能，而这种才能也十分难控制。他们并不简单粗暴地驾驭这种力量，而是让它在体内自然而然地呈现。在诸如恐惧、愤怒和欢乐等强烈的情绪波动中，他们的能量会发生爆炸，波及四周，造成严重的破坏。这些人就被称为“法源”。在大陆的部分地区，他们受人尊敬，而在另一些地方，人们仇视憎恨他们。
reward_tree_magic_border_chest_3;巫师和女术士都是拥有不可思议的力量和知识之人。同时，也常有着远大的抱负。不幸的是，他们的抱负并不仅限于那些被禁止的魔法秘术。巫师会通过他们谏言的君主达到自己的政治目的。几个世纪以来，宫廷中最强大的巫师一直在幕后操纵着大陆的政治事务，造成的影响超乎想象。然而，随着瑞达尼亚拉多维德五世的崛起，一切都变了。魔法学校遭到关闭。无数的卷轴被火焰所焚，它们中蕴藏的秘密消失于历史之中……
reward_tree_magic_border_story_pt1;魔法的核心是什么？即使是巫师，也无法得出一个统一的答案。有人把它看作是诅咒、混乱以及毁灭的力量。也有人把它视为艺术。还有人将它奉为科学。他们每个人的说法都是正确的。
reward_tree_magic_border_story_pt2;看法取决于施术者本人以及他们的意图。巫师无法与自己的咒语分离，同样的，他的意图也无法与结果分离。魔法不过是一面棱镜——或者说一面镜子，通过魔法，我们能够审视自身和我们所处的世界。
reward_tree_magic_border_story_pt3;魔法无处不在。它存在于空气、水、火焰和大地中。与之接触，从中汲取力量，都再简单不过。不过，若要维持并控制住这份力量……这是少数人才能掌握的艺术形式。
reward_tree_magic_border_story_pt4;只有少数人才能成为巫师和女术士，也就是说，只有这些人才能进入各自的学院。这些掌握了神秘魔法的大师对自学之人十分不屑，如果可能，他们会迅速地将之处理掉。
reward_tree_magic_border_title;“奇幻魔法”赛季
reward_tree_mahakam_2_story_chest;帕西瓦尔并不只有灵活的身手、敏锐的直觉和打牌的天赋，这些都是他的招牌。这个侏儒曾经是位杰出的金匠和珠宝商，第一家工厂就建在自由之城诺维格瑞。他从卓尔坦手中买了一只鹦鹉，取名陆军元帅话篓子，把它训练成活的广告牌，教它每天吹嘘打广告，还效果拔群！这侏儒因此顾客盈门，赚得盆满钵满。在商业上取得巨大成功后，他在维吉玛开了一家分号，霎时间意气风发，前景无限。然而可惜时代已经改变，好时光一去不返……\n1271年种族迫害发生后，珀西瓦里被迫把工厂搬到了卡本山，那里是玛哈坎的首都。
reward_tree_mahakam_2_story_pt1;虽说帕西瓦尔·舒腾巴赫并不是矮人，但他却是卓尔坦矮人团的一员。他没有浓密的大胡子，却生了一个又尖又长的鼻子，那可是出身高贵侏儒之家的证明。
reward_tree_mahakam_2_story_pt2;帕西瓦尔的身高和力量都不及矮人，但耐力却跟他们旗鼓相当，敏捷还更出色。一旦全团行军，他就会在周围的丛林中游荡徘徊，时而消失，时而又突然出现，在远方向大家比划着警觉的手势，表示一切安全，可以通行。换言之，他就是团队的侦察兵。
reward_tree_mahakam_2_story_pt3;只要这侏儒和矮人伙伴们扎营休息，他们就聚在篷车边上玩昆特牌。这无疑是他们的最爱，只要有空，哪怕冒着夜雨都要玩上几把。牌局中不但又吵又闹，还总会上演全武行，以至于每个玩家手里都会备一根大木棒……
reward_tree_mahakam_2_story_pt4;这些棍子很少用来揍人，它们主要是用来吓人，警告某些喜欢在牌局中出老千的家伙。帕西瓦尔就总有这样的嫌疑，他老是跟自己的小伙伴使眼色，还老喜欢藏牌。 不过他那张没胡子的面孔有好几次都出卖了他，让他骗人的表情无所遁形。只要把戏被拆穿，一顿臭骂和棍棒相加当然就免不了啦。
reward_tree_mahakam_2_title;帕西瓦尔·舒滕巴赫
reward_tree_mahakam_avatar_chest_1;尽管卓尔坦一直渴望着下一次冒险，但曾经有那么一段时间，他想过要安顿下来。不出所料，他是为了一个女人——一个可爱的女性矮人，她叫尤多拉·布雷肯里奇斯。卓尔坦甚至求了婚，紧随其后的就是暴雨般激烈的订婚期……直到有一天，尤多拉的父亲给卓尔坦上了一份黑炖菜，这让卓尔坦对婚姻的希望完全破灭。
reward_tree_mahakam_avatar_chest_2;在事业上，卓尔坦有着无穷无尽的新奇想法：开铸造坊，办洗衣店，经营小旅馆，开珠宝工房……它们有个共同之处——均以破产告终，愤怒的投资者们给他寄了许多言辞激烈的信件。不过，摔得再狠也没法让他停止尝试。当然，在下一次的冒险里，他会成为一个富裕的矮人……
reward_tree_mahakam_avatar_chest_3;卓尔坦最亲密的朋友是一个叫朱利安·阿尔弗雷德·潘克拉茨的人，他是北部著名的诗人，以丹德里恩之名广为人知。他们一起精心策划了许多商业计划，也曾纵情狂欢好几周……还顺便把自己卷进了一场大麻烦。
reward_tree_mahakam_avatar_story_pt1;卓尔坦·齐瓦留着莫西干头，笑容爽朗，拳头大得犹如面包卷，肩上还停着一只口舌犀利的鹦鹉。他是个冒险家，也是保镖，还是个业余训鸟人。毫无疑问，他是个独一无二的矮人。
reward_tree_mahakam_avatar_story_pt2;卓尔坦感到了一股强烈的渴望，不断烧灼着他，让他想做一番好事。但是，作为一个理智的矮人，他也知道光凭自己一个人很难改变世界，让世界更美好。由此，他选择只为自己和周围的一切行善。
reward_tree_mahakam_avatar_story_pt3;卓尔坦能毫不犹豫地为朋友两肋插刀……但是他从不会为了“神”、“荣誉”或者“祖国”赴汤蹈火。对他而言，这些词太过空洞，让他想到没有麦芽酒的空杯子。
reward_tree_mahakam_avatar_story_pt4;卓尔坦对松鼠党的立场十分矛盾。他从来不信松鼠党所承诺的更美好更光明的未来。也就是说，只要有机会教训这些种族主义者，他从不会错过。
reward_tree_mahakam_avatar_title;卓尔坦·齐瓦
reward_tree_mahakam_border_chest_1;许多年轻的矮人梦想着逃离玛哈坎，他们希望获得自由，尽情冒险。大长老布罗瓦尔·霍格愿意为这些年轻人做出让步。在矮人五十岁生日之后，他可以离开玛哈坎，在人类文明中体验一年。不过，要是他没有在 365 天期满之前回来，他就会被从氏族名册上永远除名。在被问及是否担心这个国家的年轻人永远不归时，大长老并未作出回应。他只是露出了一个了然且刻薄的假笑，因为他知道人类是如何欢迎矮人的。
reward_tree_mahakam_border_chest_2;玛哈坎的矮人喜欢沉醉在音乐中，尽管大多只是群体音乐。对矮人来说，单人表演是十分无礼的，就算是有名望的人也一样。敌对氏族之间时常会用对唱的方式来解决争端。他们会聚集在卡本山的山坡上，彼此对唱着矮人的经典曲目《月下矿工》和《当心胡子，长耳朵》。不幸的是，这样的对唱时常会引发雪崩……
reward_tree_mahakam_border_chest_3;几代以来，矮人们出售符文剑和其他质地优良的剑，让玛哈坎的国库堆满了财富。不过，与多数人以为的相反，普通矮人并没有那么多钱。每一笔交易赚到的钱都直接落入了布罗瓦尔·霍格之手——确切点说，是送进了卡本山最深处的保险库中。矮人们从自己的家族中获得生活必需品：长袍、食物、工具……还想要更多东西？要是抱着这种想法，那你在玛哈坎活不了多久。
reward_tree_mahakam_border_story_pt1;玛哈坎是一处充满矛盾之地。冰与雪之下藏着熊熊燃烧的锻造炉。大陆上最先进的技术却是由最保守的民族发展起来的……
reward_tree_mahakam_border_story_pt2;尽管大陆上年年都有战争爆发，玛哈坎却始终在边境保持着中立地位，没有哪个王国敢挥军此地，因为没人会愿意挑起矮人的愤怒。另外，他们还得从这里购买武器呢……
reward_tree_mahakam_border_story_pt3;旅行至玛哈坎的商人通常只能看到这个巨大矮人王国的小小一隅。就像冰山一样，他们只能看到玛哈坎露出水面的那一点点。真正的宝藏和珍品都在地底下，在人类无法企及的洞穴中。
reward_tree_mahakam_border_story_pt4;在玛哈坎，矮人十分安全……却不自由。他们生活的方方面面都受到矮人祖例的规范，每一个决定都必须得到氏族长老议会的批准。由于无法忍受这种严厉的控制，许多矮人逃到了人类世界，并以工匠的身份工作。其他则加入了松鼠党……
reward_tree_mahakam_border_title;“玛哈坎”赛季
reward_tree_meve_chest_1;新婚之后，米薇很少表现出一位妻子应有的贤淑。因此雷金纳德向宫中贵妇征求意见。她们一致认为，只有送上一份厚礼来表现国王情深似海的爱意，才能赢得米薇的芳心。只可惜……米薇异常挑剔。她二话不说，就丢掉了上好的欧菲尔织锦，把镶嵌着蓝宝石的项链甩出窗外，将科维尔琴在闺房的地板上砸了个粉碎。然而，当雷金纳德呈上一套精心打造的镶金盔甲时……米薇的心顿时被融化了。
reward_tree_meve_chest_2;米薇拥有许多出色的品质：敏锐的洞察力、惊世的美貌，还有无可匹敌的勇气。然而人无完人，她也同样有自己的缺点。其中最要命的，恐怕就是她无法理解人性的软弱。她严于律己，却不擅宽于待人。同样坚强的性格容易在她那里获得认同，比较“感性”的一面却会被她低看，乃至嗤之以鼻。因此，她和儿子们之间的关系从一开始就比较僵硬。对长子维尔姆而言，尤为如此。
reward_tree_meve_chest_3;女王在利维亚的城堡里拥有一间兵器库，里面琳琅满目地存放着各种精美的刀剑：精灵的宝刃，专门打造的私枭连枷……然而，在所有这些细心保养的神兵利器里，米薇最最珍视的，当属一把玛哈坎符文剑。剑名更是独一无二：“锋利的混蛋”。倘若有人问起，这把剑为何起了这样一个名号？她只会以一声沉重的叹息作答。显而易见，这个问题勾起了女王一段既私密又苦涩的陈年旧事。
reward_tree_meve_story_pt1;还是公主的时候，米薇就是所有御用家庭女教师的噩梦。她不事女红，反而钟爱爬树。与其研习音律，她更愿意和兄弟们一起挥舞木剑。和动人的爱情故事相比，她还是喜欢一头扎进名将的回忆录。
reward_tree_meve_story_pt2;家里决定，要尽快把米薇嫁出去才是。只可惜，这个十六岁的姑娘调皮捣蛋，膝盖上尽是伤疤，浑身青一块紫一块，很少有贵族男子愿意问津。
reward_tree_meve_story_pt3;最后，还是利维亚的国王、勇武的雷金纳德和她结下了这桩姻缘。尽管新郎并不像是睿智过人的样子，但他比米薇的家庭女教师要聪明得多。他并没有试着去管教这位不成体统的公主，而只是爱上了她本来的样子。
reward_tree_meve_story_pt4;只可惜，美满的结合好景不长。不过几年的时间，雷金纳德便撒手西去。邻邦的君王都以为女王丧夫不久，必定难堪王位重负。因此，不等敲响的哀钟停当，他们便纷纷越过边境，直取利维亚。等待着众人的，却是一次意想不到的结果。
reward_tree_meve_title;米薇女王
reward_tree_monsters_chest_1;虽然难以想象，但以前这片大陆上是没有怪兽的。然而，由于一千年前出现的天球交汇，即行星之间形成的一种特定的排列，灾祸降临，一切都变了。曾经分裂的世界开始融合，使得大陆陷入长达数世纪的混乱，黑暗时代就此拉开序幕。
reward_tree_monsters_chest_2;随着时间的推移，人们学会了如何适应这些新邻居。他们发现许多怪兽怕盐，所以就将盐分洒在防护栏里。经过试错，他们还知道，在手腕上系红丝带可以吓走孽鬼，同样的，银对狼人和吸血鬼也有效。不仅如此，人们还活用魔法和炼金术，创造出猎魔人，让他们四处游历，受雇清理怪物。
reward_tree_monsters_chest_3;“哪种怪兽最危险”？这是大陆居民最常争论的话题。是宽达 10 英尺的鹿首魔？还是能将武装骑士及其坐骑同时抓起的狮鹫？或者是蟹蜘蛛？它的毒液十分厉害，只要一滴就能让一个成年人动弹不得。实际上，它们害死的人还没有普通的老鼠多呢，因为老鼠曾让北部诸国深陷卡特利欧纳瘟疫之中……
reward_tree_monsters_story_pt1;人类喜欢在地图上随便画几条线，想象自己是这块土地的至高统治者。然而，如果勾出的范围是森林、沼泽和无人居住的荒野，他们就不敢前去冒险，因为那里仍是怪物的天堂。
reward_tree_monsters_story_pt2;确实，大陆上栖息着数量众多、品类各异的怪物。食腐生物、残物、混合兽、龙兽……直至今日，探险家们还在发现新的种类，这并不奇怪，毕竟他们很少能活到第二次发现之时。
reward_tree_monsters_story_pt3;怪兽物种丰富多样。从食尸鬼之类的愚蠢凶残的怪兽，到吸血鬼之类的恐怖高智商怪物。从巨大的鹿首魔到孽鬼群。不过，它们有个共同点。人类。或者说……是对人类风味的偏好之情。
reward_tree_monsters_story_pt4;然而，正是由于怪物们分而治之，人类才得以在这块大陆上保持某种程度的掌控。但如果有某种力量把世界上的怪物团结起来，辅以一定程度的训练，那么……人类的统治会像纸牌屋一样倒塌。
reward_tree_monsters_title;怪兽
reward_tree_monstersftux_title;怪兽
reward_tree_nilfgaard_chest_1;尼弗迦德人所谓的忠诚与大陆其他地方大相径庭。只要是为了国王，就算跳进酸水中他们也愿意。然而只要他们的领袖显示出一丝一毫的软弱，他的权力就会像烟雾一般随风而逝。国王的宝座至关重要，影响巨大，绝不能让一个无能之人坐上去，哪怕只是微小的错误都有可能导致深远而无法预料的后果。
reward_tree_nilfgaard_chest_2;很多人认为，尼弗迦德能占据统治地位是因为有着装备精良的重型步兵团。不过，事实却更为复杂，因为尼弗迦德的大部分疆土并不是靠着战争获得的。通常来说，他们会派遣密探过去，干掉麻烦的领袖，再派外交官过去，巧妙地挑起继承人之间的冲突。
reward_tree_nilfgaard_chest_3;与争斗不休的北方诸国相比，尼弗迦德人对法律有着极大的尊重。无论法院的判决多不公正，都会立即严正地执行。帝国的法令很可能正是神的话语。因此，尼弗迦德比北方诸国有着更强的组织性。其治下的士兵可以毫不犹豫地执行最为严酷的命令。
reward_tree_nilfgaard_story_pt1;尼弗迦德是个十分极端的国家。它占地最大、最为富裕、人口最多、国势最强，毫无疑问，也最为铁腕。
reward_tree_nilfgaard_story_pt2;尼弗迦德人将不惜一切代价打败自己的敌人。平民阵亡？不可避免的遗憾而已。使用毒药？实用的策略罢了。强迫奴隶以身殉职？嗯……遗体堆积起来后更便于攀爬城墙。
reward_tree_nilfgaard_story_pt3;尼弗迦德人的语言中并没有“和平”这个词。自打记录者开始记录以来，尼弗迦德就在不断地征服、吞并邻国，或是将邻国设为附属国。在金色的日轮吞并整片大陆之前，他们绝不会停歇。
reward_tree_nilfgaard_story_pt4;但他们为什么这么渴望去征服呢？几个世纪以来，各国之间武装冲突不断，这也使得尼弗迦德的经济完全仰仗于战争和战败者带来的战利品。换句话说，一旦尼弗迦德的战争机器停止运转，他们的社会就会面临崩溃。为了生存，整个帝国必须去征战、征战、征战……
reward_tree_nilfgaard_title;尼弗迦德
reward_tree_nilfgaardftux_title;尼弗迦德
reward_tree_norhternftux_title;N/A
reward_tree_northern_chest_1;北方领域三面环山，巨龙山脉、蓝山和阿梅尔山脉分列在北面、东面和南面，而西边则是大海。在这之外，还有什么呢？其实就算是北境人自己都不确定，这不是他们目前最紧急的问题。他们忙于本地的纷争、争端和战争，没时间在乎外国的土地。何其可叹，尼弗迦德的入侵恰恰证明了不同地区的人在想法上往往也大相径庭。
reward_tree_northern_chest_2;是什么将泰莫利亚引以为傲的首都维吉玛或北方的学习中心牛堡与已知世界尽头的偏远之地艾德·金维尔相联系？看起来，什么都没有……毕竟，这几个地方看上去、听上去，甚至闻起来都不一样。然而，它们的起源却完全相同——都建立于上古精灵城市之上。街道下蜿蜒的遗迹就是最好的证明。是什么引起了精灵文明的崩溃？瘟疫？灾难？都不是……他们的衰落是人类一手造成的。
reward_tree_northern_chest_3;北境人对待那些使用魔法的人相当矛盾。一方面，在北方抵御尼弗迦德的侵略时，巫师发挥了至关重要的作用。然而另一方面，他们日渐膨胀的自负和对政治的干涉也引发了国家和群众的强烈不满。菲丽芭·艾哈特正是这种傲慢的缩影，比起国王的顾问，她更想成为一名领袖。不过，这个梦想没能持续多久……最后，为巫师准备的火刑柱立满了北方的大小城市。
reward_tree_northern_story_pt1;泰莫利亚、瑞达尼亚、科德温、亚甸、柯维尔、波维斯……没多少人能够时刻关注北方的诸多国家和领地。人类从矮人和精灵手中夺下这片土地后，就立即把它分裂成几十个小碎片，彼此间继续争夺控制权。
reward_tree_northern_story_pt2;一次又一次，冬去春来，北方诸国的国王再次刀兵相见。泰莫利亚企图将索登山从辛特拉的版图上抹去。亚甸和科德温则在为庞塔尔河谷的控制权争夺不休。然而，当身着黑衣的尼弗迦德军队从南方出现时，他们最终停止同室操戈，转而团结一致。
reward_tree_northern_story_pt3;当尼弗迦德人开始入侵时，很多人认为北方诸国将在几周内被吞噬殆尽。然而，令他们大吃一惊的是，人数不足且装备不良的北境人竟然设法击退了帝国的军队。
reward_tree_northern_story_pt4;北方诸国取胜的关键因素是巫师的参战吗？还是因为那些训练有素的战将们谋略得当？也许是牛堡的杰出发明家做出的贡献？关于这个问题，人们至今仍在争论。似乎就算取得了联合胜利，北境人也不会放过彼此。
reward_tree_northern_title;北方领域
reward_tree_northernftux_title;北方领域
reward_tree_novigrad_chest_1;诺维格瑞不光是这片大陆上最重要的港口都市，也是永恒之火教会的大本营。教宗在这里主持大局，圣火在这里长燃不息……而法师、草药医生、炼金术士、还有所有非人种族在这里全都要面临烈火的责罚。
reward_tree_novigrad_chest_2;没错，诺维格瑞是一座自由之城，可这还能维持多久？瑞达尼亚人和尼弗迦德人都对这座富有的港口城市虎视眈眈。他们双方都在试图向城中首脑、神职人员，还有各方势力大献殷勤，施加影响；而他们的价码可一点儿都不低……
reward_tree_novigrad_chest_3;来自世界各地的人们纷纷涌向诺维格瑞，他们梦想着在这里找到财富、获得名望，享受真正的奢华和权力。然而美梦成真的幸运儿寥寥无几……对绝大部分的人来说，这里等待他们的只有乞讨铜板求生，还有向众神乞求。
reward_tree_novigrad_story_pt1;啊，诺维格瑞！这里有三万人口，八家银行，四座磨坊……还有五个穷凶极恶的势力。
reward_tree_novigrad_story_pt2;每一个诺维格瑞人都对这些只手遮天的首领们耳熟能详：他们是“砍刀”、乞丐王、古德伦·约斯多蒂尔、霍桑二世，以及赛勒斯·赫姆法特。
reward_tree_novigrad_story_pt3;无论是年龄、种族、性别、举止，他们在每个方面都迥然不同。但却被一个共同的特征紧紧地联系在一起，那是一个共同的爱好……爱财如命。
reward_tree_novigrad_story_pt4;为了让钱袋里盈满金子，他们已经准备好采取一切必要的手段。他们甚至会在付诸行动时扬起微笑。
reward_tree_novigrad_title;自由之城诺维格瑞
reward_tree_oak_story_chest_1;传说记载，巨橡是世界上最古老的橡树。它是由海浪抛起的橡果而生，比定居大陆的任何类人生物都更古老。巨橡空地是一个供人频繁集市，让旅人歇脚、为远足者提供聚会的好去处。守护这棵古树的德鲁伊乐于招待往来此地的任何人，从不在意他们的地位、信仰和种族。著名的诗人丹德里恩也曾在巨橡树下演唱歌谣。\n很不幸，由于这棵巨树太容易亲近，因此尽管它备受尊敬，多年以来仍有许多恶作剧者在它的树干上刻下了许多秽言秽语。
reward_tree_oak_story_chest_2;另有一棵不太著名的古橡树叫善恶之潮。它生长在科波兹尼卡背后的十字路口。那里整个地区的人连同远在史帕拉的居民都喜欢用它低矮巨大的枝干悬挂路牌和布告板，用来张贴各类寻人启事、情书、哲学辩题、保健服务等等。
reward_tree_oak_story_pt_1;橡树本性超凡，因此除了德鲁伊，普罗大众也对其顶礼膜拜，而橡树林地也就被公认为大陆上的圣地。有谁胆敢放火烧林势必引起人神共愤。
reward_tree_oak_story_pt_2;大史凯利格岛的盖迪尼斯圣林还不仅仅是一座礼拜场。岛上所有主要庆典都在这里举行，揽括婚嫁丧葬和君主加冕。自然，处决最恶劣的罪犯和叛徒也在此进行。
reward_tree_oak_story_pt_3;陶森特的米克维德森林中央也有一片橡树林。根据女公爵安娜·亨利叶塔和德鲁伊缔结的协约，那里是一座不可侵犯的庇护所。若君王的支持不足以威慑闯入者，那么当地谣言就会代劳。据说任何胆敢闯入德鲁伊橡林的狂徒都会被施以火刑。
reward_tree_oak_story_pt_4;艾思娜树同样是一棵橡树。或者说，是由三棵橡树融合而成。它数百年来都四季常青，从未出现过枯黄的迹象。只不过它内部是空的。它们中藏有一座巨大的空洞，供树精女王居住。
reward_tree_oak_title;巨橡年
reward_tree_ofir_chest_1;最早被史学家完整记录下来的欧菲尔探险队是由杜拉·卡亚玛尼率领的。然而，欧菲尔人的武器形制和煎药都证明，在更早之前，他们就已经远涉重洋来过大陆。况且，如果不是因为目的特殊，杜拉的探险也不会如此有名。他不是为了求知和通商而来的——那只是欧菲尔人的障眼法，他的真正使命是为了寻回强势国王尼布拉斯在北方王国失踪的儿子。很不幸，杜拉并没有成功。国王获悉了王子的死讯，杜拉只能一筹莫展在北磨坊留守待命。不堪忍受乡间环境，他渴望能够早日返回祖国。  
reward_tree_ofir_chest_2;根据传说，鸦母是在世女贤者中最年长，最强大的一位。她在盖迪尼斯林地里统领着一支神秘的德鲁伊氏族。没有人知道她到底只是一介会说鸦语的凡人，还是附身人形的鸦灵。就连追随她的德鲁伊也说不清。甚至有人认为，她曾一度是位强大的鸦神，遭到弗蕾雅的贬谪后被永远遗忘。种种猜测众说纷纭。不过，鸦母的追随者可以毫不畏惧凝视黑暗，抓起最强效的欧菲尔煎药也毫不犹豫。在他们眼里，其它地方的德鲁伊行为拘谨，简直是懦夫的行径。  
reward_tree_ofir_chest_3;莫拉汉姆家族对奴隶的需求大得惊人。诚然，他们需要海量的奴隶才能维持颜面，保持奢靡的生活。据说在北方，尼弗迦德人贵族连动手指头都需要奴隶代劳。表面上看，莫拉汉姆家族简直就是这个说法的完美体现。然而，他们诺大的府邸中却很难找到仆人的身影。只要文森特的妻子欧菲丽·凡·莫拉汉姆（同时也是他心头的祖宗和共谋）定期举办的艳俗聚会一结束，整个宅邸的仆人都会被清空。如果这时恰好有奴隶在这座宅邸附近徘徊，他们就会被家族继承人菲利帕·凡·莫拉汉姆带进树林，然后再也不会回来。这个家族残暴至极...他们还想试试欧菲尔人奴隶，只要他们也像其他奴隶那样听话。
reward_tree_ofir_story_pt1;普通北方人对欧菲尔的印象都来自各种道听途说的谣言，其中充斥着胡言乱语，很少道出真相。但谣言中却有几点颇为一致……  
reward_tree_ofir_story_pt2;首先，大家一致认为欧菲尔远在大洋彼岸，位于世界的尽头。第二，那里没有正常生物，马不是长着黑白相间的条纹，或者就是瘦小佝偻。牲畜的尾巴不在屁股上，而是长在脸上。  
reward_tree_ofir_story_pt3;最怪的一点是，欧菲尔人行商却长得跟正常人一样，五官四肢样样都齐，还都长在正确的地方。只不过他们讨价还价的能力像恶魔一样毒辣，还能造出北方人无法企及的奇迹。
reward_tree_ofir_story_pt4;在欧菲尔人眼里，北方王国的居民纯粹就是一群野人。就连最开明的尼弗迦德人在他们看来都只是化外之民。可惜，他们在旅途中频频遭遇松鼠党袭击，还在大陆见闻了种种困苦，这都无疑加深了他们的观点。 
reward_tree_ofir_title;异域游商
reward_tree_renfri_story_chest_1;玩具屋里一片狼藉。戴着真钻头冠的小公主们被剥去了衣服，排成了一排。她们的陶瓷面孔无动于衷，仿佛早已对此习以为常。弗雷德福克亲王站起来，打开伦芙芮房里的窗户。他看到花园里，艾瑞蒂娅正把一大口袋东西交给一个身穿猎装的男人。伦芙芮从宫里跑出来，那个猎人牵着她的手，带着她朝森林的方向走去。男人背着一把十字弓，公主的闺房里摇摆着一盏金鸟笼。它轻碰了一下弗雷德福克的肩膀，细小的盛装金丝雀躺在覆盖一层锯末的笼底。亲王又重新沉浸在回忆里。
reward_tree_renfri_story_pt_1;弗雷德福克又想起了伦芙芮出生的那一天。夜晚在正午骤临。太阳的光逐渐褪去，整个克罗伊登都染上了幽蓝的暮光。廷臣和乡民们满眼恐惧，凝视天空，等待那贪婪的黑影吞尽最后一抹残光。希尔文娜夫人躺在床上，猎装染成了红色。这位孕妇刚一上马就遭受了极度痛楚，黑色液体不停从她双腿间涌出。哪怕昏迷不醒后被抬进房里也止不住。那只被她选作猎物的小东西本该被亲自用十字弓干掉，却由此逃过一劫。小东西太走运了，远比胆敢直视亲王夫人的侍女，或者上次打猎后，给亲王夫人的马儿刷漏了一只马镫的马童幸运多了。
reward_tree_renfri_story_pt_2;自打弗雷德福克知道希尔文娜怀孕后，他就一直想知道他们的孩子会从母亲那里遗传到什么。亲王认定那一定是个女儿，所以从没有想过她会随他自己。她一定会有一双海蓝色的眼睛，还会用希尔文娜一样的目光向他挑衅，期待一场毫无胜算的决斗。弗雷德福克把目光从脸色苍白，昏迷不醒的妻子身上移向窗外。太阳已经变成了一圈稀薄的银环，似乎即将被黑暗粉碎。一声尖叫打破了沉寂。希尔文娜睁开眼，开始分娩。
reward_tree_renfri_story_pt_3;结果，这个叫伦芙芮的女孩既健康又强壮。她毕竟还是随她母亲。希尔文娜的呼吸很浅，但很安稳，她很快就睡着了。亲王夫人柔顺的长发都被汗水浇湿，绞成了一团。弗雷德福克向产婆投向询问的目光。她围着染红的围裙站在床边，朝他点点头。弗雷德福克并不惊讶，他毫不怀疑，假如他们俩有谁率先离世，那肯定是他而不是他妻子。亲王靠在摇篮边，望着女儿皱巴巴，粉嘟嘟的脸庞。他以为新生儿都是闭着眼睛的，可他却看见有什么东西在她稀疏的睫毛间闪烁。那到底只是一滴水，还是邪恶的一瞥？亲王不知道，他想了很久，朝产婆招了招手。他悄悄对她说了些话，后者安静地听。随后，亲王起身离开，停在了门口。他看到产婆把一个丝绸枕头悬停在希尔文娜头部上方，正在等待他的一句话。
