_inputshopbuymultiple;КУПИТЬ
reward_tree_dryad_avatar_chest_3;У Трисс было бесчисленное множество поклонников, но настоящую любовь она питала к одному лишь Геральту из Ривии, Белому Волку. Они многое пережили вместе: нападение Саламандр на Каэр Морхен, мятеж в Лок Муинне, исход магов из Новиграда, сражение с Дикой Охотой… Несомненно, были в их жизни и более приятные минуты, о которых серьезному хронисту писать, однако, не пристало.
reward_tree_dryad_avatar_story_pt1;Вопреки сложившемуся мнению, иногда дриады позволяют людям гостить в своей пуще. К узкому кругу избранных принадлежала, среди прочих, Мильва Барринг, искусная лучница и следопытка. Мильву не раз нанимали проводником для карательных экспедиций против дриад, а она приводила их прямо в устроенные лесными девами засады…
reward_tree_dryad_avatar_story_pt2;Хватит пальцев одной руки, чтобы пересчитать дриад, известных нам по именам. Одной из них была Браэнн, прославленная в балладах мастера Лютика. В отличие от прочих дриад, ни глаза ее, ни кожа не были зелены. А это значило, что некогда она была обычной человеческой девочкой, которую преобразила Вода Брокилона.
reward_tree_dryad_avatar_story_pt3;Она забыла, кем была, какое имя носила. Теперь она стережет границы пущи с той же беспощадностью, что и ее названые сестры.
reward_tree_dryad_avatar_story_pt4;Дриады могут оправиться даже от самых тяжелых ран — настолько сильна их магия исцеления. Именно они спасли Геральта из Ривии, после того как его изувечил Вильгефорц. Кости ведьмака были раздроблены, и казалось, что он уже никогда не будет ходить, но благодаря Эитнэ Белый Волк быстро оправился и вернулся на Путь.
reward_tree_dryad_avatar_title;Моренн
reward_tree_dryad_border_chest_1;Дриад, известных нам по именам, можно пересчитать по пальцам одной руки. Одной из них была Браэнн, прославленная в балладах мастера Лютика. В отличие от прочих дриад, ни глаза ее, ни кожа не были зелеными. Это указывало на то, что некогда она была обычной человеческой девочкой, которую преобразила Вода Брокилона. Она забыла, кем была, какое имя носила. Теперь она стережет границы пущи с той же беспощадностью, что и ее названые сестры.
reward_tree_dryad_border_chest_2;Вопреки сложившемуся мнению, дриады позволяют некоторым людям гостить в своей пуще. К узкому кругу избранных принадлежала, среди прочих, Мильва Барринг, признанная лучница и следопытка. Мильву многократно нанимали проводником для карательных экспедиций против дриад, а она приводила их прямо в устроенные лесными девами засады…
reward_tree_dryad_border_chest_3;Дриады могут оправиться даже от самых тяжелых ран — настолько сильна их магия исцеления. Именно они спасли Геральта из Ривии, после того как его изувечил Вильгефорц. Кости ведьмака были раздроблены, и казалось, что он уже никогда не будет ходить, но благодаря Эитнэ Белый Волк быстро оправился и вернулся на Путь.
reward_tree_dryad_border_story_pt1;Как широко известно, среди дриад, также называемых духобабами, можно встретить исключительно женщин. Для размножения им нужны людские мужчины, но тогда возникает вопрос: кто же они на самом деле? каковы их корни?
reward_tree_dryad_border_story_pt2;Многие ученые утверждают, что дриады — это не отдельная раса, как гномы или враны, а люди, преображенные магией. Согласно этой теории, дриады — проклятые существа, родственные волколакам…
reward_tree_dryad_border_story_pt3;И действительно, существует легенда, будто первые дриады были людскими женщинами, которых заколдовали эльфы. Предполагалось, что дриады поддержат Aen Seidhe в борьбе… но вместо этого они укрылись в девственном лесу.
reward_tree_dryad_border_story_pt4;А что на этот счет думают сами духобабы? Один честолюбивый аспирант Оксенфуртской академии направился в Брокилон, дабы их расспросить. Он пропал бесследно… но лет двадцать спустя на краю пущи кто-то увидел весьма похожих на него дриад.
reward_tree_dryad_border_title;Сезон Дриады
reward_tree_eist_chest_1;У Эйста и Калантэ не было детей. Некоторые утверждали, что Львица из Цинтры, для которой это был уже второй брак, не могла принести ему наследника в силу почтенного возраста. Те, кто знал Эйста ближе, говорили, что островитянин вовсе и не хочет ребенка. Эйст видел, на что способна дочь Калантэ, Паветта. Должно быть, он решил, что Старшая Кровь, текущая в жилах владык Цинтры, и темперамент жителей Скеллиге — не самое безопасное сочетание.
reward_tree_eist_chest_2;Эйст Тиршах прославился на островах как выдающийся мореход. Он умел провести драккар сквозь узкие фьорды безлунной ночью, не спуская парусов даже в самый сильный шторм; мог заманить на скалы Скеллиге нильфгаардские галеры в несколько раз тяжелее его судна. Кто знает, что еще он бы совершил, какие дальние неведомые земли открыл бы, если бы не осел в Цинтре...
reward_tree_eist_chest_3;Эйст всегда внимательно наблюдал за звездами, чтобы его корабль шел строго по курсу. Но однажды ночью, когда он лежал на палубе, подложив руки под голову, его глаза заметили в небе нечто большее, чем просто карту небесных светил. То, что он увидел, превратило прежде веселого и беззаботного искателя приключений в мрачного и сурового человека. Когда его спрашивали, что же он увидел среди звезд той ночью, Эйст отвечал одним словом: «Будущее».
reward_tree_eist_story_pt1;Темноволосый и загорелый Эйст выглядел иначе, чем большинство островитян, и сразу выделялся из толпы. Может быть, потому мыслями он всегда был за пределами Скеллиге, а взгляд его постоянно уносился к горизонту…
reward_tree_eist_story_pt2;В конце концов Эйст покинул острова и поселился в Цинтре, где правила славная Калантэ. Говорят, что хватило одного взгляда смуглого пирата, чтобы растаяло ледяное сердце королевы…
reward_tree_eist_story_pt3;Эйст любил Калантэ больше жизни, но в Цинтре он не был счастлив. Он не мог избавиться от предчувствия, что его ждет несчастье и звезды сулят ему печальный конец.
reward_tree_eist_story_pt4;И действительно: через несколько лет после их свадьбы на Цинтру напал Нильфгаард. Эйст сражался с яростью морского демона, но в конце концов пал, сраженный стрелой. Похоронили его дома, на островах, в одиночестве. Тела Калантэ так и не нашли.
reward_tree_eist_title;Эйст Тиршах
reward_tree_eithne_chest_1;Дриады могут убедить растения принять любую форму. Именно так строят они и свои крепости, дома и дворцы. Процесс длится долго, иногда занимает целые столетия… но дриады очень терпеливы.
reward_tree_eithne_chest_2;Наиболее способные дриады умеют обращать растения в существа, способные двигаться… и даже думать. Создания эти называются древнями, либо же треантами. Мало кто их видел: таких тяжело распознать в лесу. И еще тяжелее от них убежать.
reward_tree_eithne_chest_3;Владыки граничащих с Брокилоном государств — Вердена, Цидариса и Темерии — время от времени решаются поджечь древнюю пущу вместе с населяющими ее дриадами. На опушку леса свозят бочки смолы, вязанки сухой соломы… и бросают их после первого же залпа стрел из-за деревьев.
reward_tree_eithne_story_pt1;Даже заклятые враги иногда подписывают пакты и заключают перемирие. Не такова Эитнэ, королева дриад: ее ненависть к людям безгранична. На их мольбы, уговоры и угрозы она отвечает одинаково: метко направленной стрелой.
reward_tree_eithne_story_pt2;Леса Брокилона, которыми правит Эитнэ, закрыты для людей. Дриады не пускают туда никого… Ну, почти никого. Иначе они не могли бы размножаться.
reward_tree_eithne_story_pt3;Именно поэтому дриады похищают девочек, а иногда и мужчин в расцвете лет. Несложно понять, что происходит дальше. В конце концов чужаков изгоняют из леса… несмотря на горячие протесты.
reward_tree_eithne_story_pt4;Девочки, которым суждено пополнить ряды дриад, пьют из источника, который называют Водой Брокилона. Он обостряет их чувства, укрепляет тела… и лишает воспоминаний.
reward_tree_eithne_title;Эитнэ
reward_tree_eldain_chest_1;Всем известно, что Эльдайн питает большую слабость к музыке: до вступления в ряды скоя'таэлей, он, бывало, играл на людских свадьбах на лютне. Один трубадур, оказавшись у него в плену, попросил, чтобы перед смертью ему позволили спеть. Бедняга надеялся, что Эльдайн расчувствуется и проявит к нему милосердие. И действительно, эльф выслушал песню с улыбкой на лице и наградил трубадура аплодисментами. А потом приказал живьем снять с него кожу.
reward_tree_eldain_chest_2;Укрытием отряду Эльдайна служила Синявая Пуща — девственный лес, столь густой, что даже в полдень в нем царил полумрак. Людей, которые осмеливались идти через чащу, можно было разделить на два вида: те, кого охраняли двадцать наемников, и те, кто из чащи уже не выходил
reward_tree_eldain_chest_3;В Синявой Пуще с прежних времен осталось много эльфских руин. С тех пор как Эльдайн захватил ее, многие из Aen Seidhe просили его восстановить их, но тот всегда отказывал. По мнению некоторых, он хотел, чтобы разрушенные памятники служили воинам скоя'таэлей напоминанием о людской низости. Правда была более прозаичной: за опрокинутыми колоннами легче было прятаться.
reward_tree_eldain_story_pt1;Эльдайн прилагал все силы, чтобы жить с людьми в мире. Он кланялся соседям в пояс, не обращал внимания на клевету и наветы. Но когда окрестные сады побило градом, люди начали искать виноватого. Эльдайн был эльфом, и этого хватило.
reward_tree_eldain_story_pt2;Эльдайн присоединился к скоя'таэлям, полностью осознавая, что они обречены на поражение, что на этом пути его ждет только смерть. Поэтому он решил запомниться людям. Стать их худшим кошмаром.
reward_tree_eldain_story_pt3;Эльдайн знает, как пробудить в людях ужас. Он пытает своих жертв недалеко от дороги, чтобы их крики слышали путники, а после бросает искалеченные тела близ людских поселений.
reward_tree_eldain_story_pt4;Во всем Аэдирне не найти скоя'таэля, которого ненавидели бы сильнее Эльдайна. Король назначил огромную награду за его голову, однако пойти по его следу отважились немногие…
reward_tree_eldain_title;Эльдайн
reward_tree_elf_2_story_chest;У Иды Эмеан был секрет, которым она не делилась ни с кем, даже с Францеской.\nЭльфская Знающая втайне любила море.\nНет, она вовсе не стыдилась этого невинного, естественного чувства — просто считала излишним посвящать других в то, что у нее на сердце. Она часто приходила на берег, садилась так, чтобы волны омывали ей ноги, и внимательно слушала шум прибоя. Прежде она жила в Синих горах, но почему-то именно вода напоминала ей об утраченном доме. Она ни с кем об этом не говорила, и все же о ее сокровенных чувствах можно было догадаться, просто внимательно на нее посмотрев. Ида не носила ни золота, ни серебра, ни драгоценных камней, предпочитая жемчуг, янтарь и кораллы.\nЭто были для нее своего рода талисманы, которые успокаивали душу и напоминали о том, чего никогда не было...
reward_tree_elf_2_story_pt1;После Францески Финдабаир Ида Эмеан аэп Сивней была второй эльфкой в Ложе чародеек — и единственной Знающей. Последнему факту удивляться не стоило: Знающие встречаются редко даже среди эльфов, и беседа с кем-то из них — всегда великая честь.
reward_tree_elf_2_story_pt2;Но само присутствие Иды вызывало у других чародеек из Ложи немалые подозрения. Вольные эльфы Синих Гор старались избегать даже сородичей, живущих рядом с людьми, — что уж говорить о самих людях. И вот она с ними — по никому не известным причинам...
reward_tree_elf_2_story_pt3;Разумеется, Иду привел в Ложу не зов сердца, не порыв души, а чистой воды политика. Таково было повеление королевы Дол Блатанна, которому Ида повиновалась. Без приказа ей бы в голову не пришло вмешиваться в дела людей: история уже не раз показала, что ничего хорошего из этого не выходит.
reward_tree_elf_2_story_pt4;Когда Ложа распалась, Трисс Меригольд попросила Иду помочь в борьбе против Дикой Охоты, но Ида, не раздумывая, категорически отказалась. При необходимости она готова была действовать с людьми заодно, но не собиралась отдавать за них жизнь.\nЕще не хватало!
reward_tree_elf_2_title;Ида Эмеан
reward_tree_elf_avatar_chest_1;Хотя с восстания Аэлирэнн прошло больше двухсот лет, память о ней все еще жива. В диких лесных дебрях Каэдвена, в руинах дворца Шаэрраведд, воины скоя'таэлей по-прежнему присматривают за ее садом — а особенно за белыми розами, которые она так любила. Иногда по воле случая в руины попадают люди-путешественники. Очарованные красотой поросшего плющом дворца, они срывают на память цветок, не ведая, что это на самом деле означает…
reward_tree_elf_avatar_chest_2;Хрупкая, гибкая Аэлирэнн вовсе не была выдающейся воительницей. Зато ее пламенные речи воодушевляли толпы, заглушали здравый смысл и заставляли забывать о фактах. Когда она призвала эльфов к борьбе, уговоры старейшин ни к чему не привели. Последний король и его советники полностью осознавали, что поражение рано или поздно приведет их расу к гибели. Им оставалось лишь смотреть на уходящих воинов из окон дворца со слезами на глазах…
reward_tree_elf_avatar_chest_3;Аэлирэнн не начертала на своем знамени ни герба благородного рода, ни символов эльфского королевства. На нем была лишь простая окружность. Она олицетворяла весь мир — и символизировала устремления Аэлирэнн. У прочих Старших Рас — краснолюдов, низушков, гномов — это знамя вызывало беспокойство. Они задумывались, что стало бы с ними, если бы Белая Роза из Шаэрраведда все же одержала победу… Люди же встречали этот символ смехом. Ведь каждый глупец знает, что мир плоский!
reward_tree_elf_avatar_story_pt1;Принято считать, что упадок королевства эльфов был неизбежен. Но кто знает, возможно, если бы не Аэлирэнн, все могло бы сложиться по-другому.
reward_tree_elf_avatar_story_pt2;Двести лет назад люди и эльфы заключили перемирие. Королевство эльфов, которое некогда простиралось от берегов Великого моря до Синих гор, сжалось до небольшого клочка земли… но не исчезло.
reward_tree_elf_avatar_story_pt3;И тогда появилась Аэлирэнн. «Довольно перемирий, — молвила она, — довольно склонять голову. Это наша земля, наши города. Нужно вернуть их, а людей столкнуть туда, откуда они пришли, в море!»
reward_tree_elf_avatar_story_pt4;«Ваши усилия пропадут втуне, — предостерегали эльфские старейшины. — Это самоубийство». Но молодые не слушали их советов. Они пошли за Аэлирэнн и покрыли себя славой, как она им обещала. Слава эта оказалась посмертной.
reward_tree_elf_avatar_title;Аэлирэнн
reward_tree_elf_border_chest_1;У эльфов особенный талант к магии. Aen Seidhe создали первые заклинания и помогли людям освоить их, наверняка рассчитывая, что такой жест доброй воли позволит им сосуществовать в мире… Самые выдающиеся эльфские чародеи зовутся Aen Saevherne, или Знающие. Как следует из их титула, им открыты почти все тайны мира. Кроме магии они изучают алхимию, астрономию, астрологию… и даже генетику.
reward_tree_elf_border_chest_2;Многие нордлинги считают, что нильфгаардцы вышли из эльфского племени Dhu Seidhe, «народа черных гор». Это бы многое объяснило: по крайней мере, нильфгаардский язык происходит от Старшей Речи, имперская цивилизация более развитая, там лучше относятся к нелюдям… Правда, однако, в другом: на юге люди взяли от эльфов самое лучшее. А на севере их просто вырезали.
reward_tree_elf_border_chest_3;Эльфы считают себя жертвами, пострадавшими от нашествия людей, но у них и самих совесть нечиста. Об этом наглядно свидетельствуют руины городов древних вранов, на которые можно наткнуться у подножья Синих гор, — таких как, например, Лок Муинне. В подземельях там все еще лежат кости разумных людоящеров, что жили там до Aen Seidhe… Отметины и трещины на них позволяют судить, что враны умерли не естественной смертью.
reward_tree_elf_border_story_pt1;Aen Seidhe, народ холмов. Все еще видны следы их былого могущества: скрытые в густых чащах руины дворцов, прекрасные башни, возведенные на вершинах гор, статуи из белоснежного мрамора. А сами эльфы? Их все меньше.
reward_tree_elf_border_story_pt2;Ибо хотя Aen Seidhe и живут дольше людей, искуснее пользуются магией и лучше понимают природу, в очень важном качестве эльфы не могут с ними сравниться. Речь идет о плодовитости.
reward_tree_elf_border_story_pt3;Эльфы живут по нескольку сотен лет, но детей они способны зачать только в молодости, да и тогда это удается лишь каждой второй или третьей паре. А вот люди… Ничто у них лучше этого не выходит.
reward_tree_elf_border_story_pt4;В начале конфликта эльфы одерживали победу за победой, но затем поняли, что им никогда не победить. На месте каждого убитого человека приходило пятеро других.
reward_tree_elf_border_title;Сезон Эльфов
reward_tree_eltibald_story_chest_1;«И приидет день, когда вновь взойдет Черное солнце, и тьма укроет землю. И она, бывшая, но не сущая, приидет с востока на алом звере, и шестьдесят женщин в златых венцах пойдут пред нею и напоят долины реками крови. Жестокость их будет беспредельна, а разнузданность — беспримерна. Плач и стенания умирающих понесутся по миру, покуда не пробьет наитемнейший час, час погибели всего живого, мыслящего и чувствующего. А после грядет новый рассвет, алый, как кровь зверя, и столь же горячий, и в смертной тиши та, что явилась из бездны, воссядет на престол. И на челе ее начертано беспутное имя — Лилита». — Магистр Эльтибальд, «Пророчество Черного солнца»
reward_tree_eltibald_story_pt_1;Эльтибальд сжал виски пальцами и прикрыл глаза. Он чувствовал биение пульса под своей кожей — тонкой и сухой, как пергамент. Допрос продлился неожиданно долго и не принес результатов, а от стонов и всхлипываний княжны Берники у него разболелась голова. Поленья в очаге давно уже обратились в пепел, и в этом самом высоком покое замка воцарился жестокий холод. Слугам приказали держаться подальше, но Эльтибальд все же был чародеем. Одного взмаха его руки хватило бы, чтобы огонь вспыхнул вновь. Но Эльтибальд очень, очень устал. Хуже того, его начали одолевать сомнения.
reward_tree_eltibald_story_pt_2;Княжна Берника, как и все девочки, отобранные для исследования, родилась вскоре после солнечного затмения. Толстая, ленивая, избалованная девчонка, которую не радовали ни атласные платья, ни профитроли, ни пегие пони. У августейших родителей были еще две дочери, поэтому они испытали облегчение от вестей о том, что их первого ребенка коснулось Проклятие Черного солнца, и легко согласились передать Бернику Эльтибальду. В частности, недавно девчонка превзошла саму себя: наставница вышивки даже пожаловалась, что когда она корила принцессу за леность и отсутствие рвения, та вогнала ей иголку под ноготь. По мнению Совета чародеев, подобное поведение однозначно указывало на мутацию и требовало окончательного вмешательства как меньшего зла. По мнению Эльтибальда, хватило бы выпороть девчонку мокрой розгой да проследить, чтобы ягодицы распухли равномерно.
reward_tree_eltibald_story_pt_3;Сколько месяцев он потратил, стучась в ворота замков, дворцов и поместий? Скольких девиц принудил вопить, рыдать и каяться в своих жалких проказах? И сколько из них оказались действительно значимы с научной точки зрения? Совет чародеев отклонил все просьбы Эльтибальда позволить ему вернуться к своим книгам и продолжить изучение сказаний боболаков, в которых он надеялся найти больше сведений о Проклятии Черного солнца, чем в последующих более или менее плодотворных вскрытиях и вивисекциях якобы мутировавших дворянок. И хотя омерзительно было бросать начатое, чародей начинал понимать, что лишь теряет время зря.
reward_tree_eltibald_story_pt_4;Эльтибальд неохотно открыл глаза и взглянул в окно на заснеженные просторы Тальгара. Вид из окна не застил ни единый клуб дыма из людского поселения. Ни единая шибеница. Ни единый подгнивший дорожный указатель. Чародей перевел взгляд на искаженное лицо Берники. Он не увидел в ней страха или ненависти, лишь бездумное сопротивление животного, которое волокут на бойню. Если бы он узрел хоть искорку хитрости в коровьих глазах княжны, он бы колебался. Эльтибальд встал с кресла и вышел из комнаты, не забыв запереть за собой дверь. Он неторопливо спустился по лестнице и вышел из застенка, сжимая в кулаке железный ключ. Выйдя наружу, он разжал кулак. Его ладонь была пуста.
reward_tree_eltibald_title;Эльтибальд
reward_tree_emhyr_chest_1;Эмгыр вар Эмрейс ради власти был готов на все. Развязать войну. Убить собственную жену. Причинить вред собственной дочери. И все это не повышая голоса, без единой слезинки. Его поблекшие холодные глаза не отражали никаких эмоций. Говорили, что даже у служивших в имперской армии големов было больше чувств, чем у него…
reward_tree_emhyr_chest_2;Что интересно, биографы Эмгыра утверждают, будто он был жизнерадостным и веселым юношей, любимчиком отца, Фергуса вар Эмрейса. Потом произошел государственный переворот. Заговорщики пытались склонить Фергуса к сотрудничеству, пытая сына на его глазах. В конце концов нанятый Узурпатором чародей, Браатенс, превратил Эмгыра в ежеподобную тварь. Когда и это не подействовало, Фергуса убили.
reward_tree_emhyr_chest_3;Эмгыр долгие годы обдумывал месть — поначалу воя от боли и бешенства, царапая себя до крови и вырывая волосы. С течением времени же он становился все спокойнее, жестче, рассудительнее. Когда он наконец вернул себе трон и казнил заговорщиков, на лице его не было никаких чувств. После экзекуции он встал без единого слова и вернулся к работе.
reward_tree_emhyr_story_pt1;Эмгыр вар Эмрейс, Белое Пламя, Танцующее на Курганах Врагов. Никакое другое имя не вызывает такого трепета в сердцах людей Севера. При его правлении Империя впервые перешла Яругу… А затем снова… И еще раз…
reward_tree_emhyr_story_pt2;Что двигало Эмгыром вар Эмрейсом? Историки до сей поры об этом спорят. Одни доказывают, что он поддался давлению торговых гильдий, другие — что хотел завоевать земли для нильфгаардских колонистов. А какой была правда?
reward_tree_emhyr_story_pt3;Эмгыр вар Эмрейс был необычайно честолюбивым человеком, который мыслил на десятилетия вперед. Короче говоря, Эмгыру одного нильфгаардского трона было слишком мало. Он хотел владеть всем миром.
reward_tree_emhyr_story_pt4;Чтобы осуществить эти намерения, ему должна была помочь его дочь, Цирилла, дитя Старшей Крови. Эмгыр был в шаге от исполнения плана… но тогда в первый и последний раз его остановила совесть.
reward_tree_emhyr_title;Эмгыр вар Эмрейс
reward_tree_ep2_main_title;Синдикат
reward_tree_ep5_eithne_story_pt_1;Известно, что дриадами Брокилона правила госпожа Эитнэ. Она жила в скрытой от чужих глаз котловине Дуэн Канэлль, где наблюдала за лесом и его обитателями, оберегая то, что ей дороже всего. Казалось, Среброглазая не терпит компромиссов. Однако в незапамятные времена Эитнэ вела переговоры с людскими послами, выслушивала предложения далеких королей и, бывало, шла на уступки, чтобы сохранить шаткий мир.
reward_tree_ep5_eithne_story_pt_2;Однако довольствоваться уступками люди не желали. Жадность до древесины и старинных сокровищ привела их в самое сердце Брокилона. Дриады встретили чужаков боем, так началась война двух рас. Там, во время битвы на Ленточке, керакские солдаты убили и изуродовали Моренн, дочь Эитнэ. С тех пор ни о каких переговорах со стороны дриад не могло идти и речи, а незваных гостей Эитнэ приказала отваживать стрелами в лицо.
reward_tree_ep5_eithne_title;Гнев Брокилона
reward_tree_ep5_eredin_story_pt1;До того как Эредин пустился в погоню за Цириллой в ее измерение, он был командиром кавалерии короля Оберона Мюркетаха. По велению правителя он вел Красных Всадников в охоту за единорогами — расой, изначально населявшей мир Aen Elle. Они и прозвали эльфа Ястребом, ибо он был умелым охотником и их заклятым врагом. Своим видом и характером Эредин действительно напоминал мрачную хищную птицу.\nКогда Цири прибыла в мир Aen Elle, стало ясно, что у Эредина в достатке того, чего давно лишился Оберон, — силы и решимости. Немудрено, что вскоре он отравил старого короля во благо своего народа.
reward_tree_ep5_eredin_story_pt2;В незапамятные времена, когда еще была жива Королева Зимы, а король Оберон Мюркетах только собрал орду Красных Всадников, Эредин обрел власть над Ard Gaeth, Вратами Миров. Они позволяли ему свободно перемещаться между мирами, и он без зазрения совести этим пользовался, захватывая один мир за другим. Его главной целью было набрать рабов, желательно людей, которые служили бы Aen Elle в их родном мире или обеспечивали их энергией.\nПосле об этих страшных событиях сложили легенды. О Королеве Зимы и ее Дикой Охоте — всадниках, которые похищали людей и отнимали у них сердца.\nЗачем Эредин и его эльфы облачались в костяные доспехи и шлемы?\nДа затем, чтобы люди верили в эти легенды.
reward_tree_ep5_eredin_title;Ястреб
reward_tree_ep5_harald_story_pt_1;Если Харальду в юности где недоставало силы и мастерства, он с лихвой восполнял этот пробел невиданным упорством. Молодой воин был готов поучаствовать в любой заварушке, даже если противник оказывался в разы сильнее. Соклановцы говорили, что Харальд не видит разницы между храбростью и глупостью, и тот с завидным постоянством подтверждал эти слова — особенно когда в одиночку пошел на медведя. Каким-то чудом Харальд остался в живых, хоть медведь и покалечил ему ногу. С того дня боль преследовала Харальда днем и ночью, и она же помогла ему стать великим воителем.
reward_tree_ep5_harald_story_pt_2;Кость в ноге срослась неправильно, и Харальд, прозванный Хромым, мучился до конца своих дней. Он хотел, чтобы эта боль терзала и остальных, а всех, кто пытался дать Хромому отпор, ждала жестокая расправа. Чтобы избежать такой участи для себя и родных, островитяне стали бросать оружие и сдаваться, лишь завидев на горизонте его паруса.\n\nУтолив жажду войны и крови, Харальд нарек себя королем островов. Больше он не ходил в набеги, но лишь потому, что уже никто не осмелился бы встать у него на пути.
reward_tree_ep5_harald_title;Хромой
reward_tree_ep5_jacques_story_pt_1;Прочно укоренившись в детском разуме, сомнения могут зародить в ребенке взгляды на жизнь, а могут исказить их до предела. Равно как взмах крыльев бабочки становится в конце концов ураганом, незначительный случай способен положить начало предрассудкам и извратить чувство справедливости. Так, Яков из Альдерсберга в юном возрасте внял мудрым наставлениям одного щедрого и кроткого незнакомца. С тех пор больше всего ему нравилось играть в убийцу эльфов, а за играми последовали кошмары пострашнее.
