_inputshopbuymultiple;KAUFEN
reward_tree_boholt_title;Boholt
reward_tree_bran_chest_1;Brans engste Beraterin und Vertraute war seine Frau Birna. Bei Banketten saß sie stets stumm und unscheinbar an seiner Seite. Über jedes Gerücht wusste sie Bescheid, kein wissendes Zwinkern, keine gehobene Augenbraue entging ihr. Und nachts im bärenfellgeschmückten königlichen Bett flüsterte sie ihrem Mann alles ins Ohr, was sie erfahren hatte.
reward_tree_bran_chest_2;Gegen Birnas Willen weigerte Bran sich, ihren Sohn Svanrige zum Thronerben zu machen. Er war der Ansicht, dass ein würdiger Nachfolger die Krone ohne die Hilfe des Königs erlangen müsse. Vermöge er dies nicht, sei es Schicksal. Bran betrachtete die Erbfolgetradition des Kontinents als Anmaßung. Allerdings gelang es ihm nicht, Birna von seiner Sicht zu überzeugen.
reward_tree_bran_chest_3;Bran lebte ein langes, langes Leben. Als ihm kurz nach dem achtzigsten Geburtstag die Hände zu zittern und die Gedanken mitten im Satz zu wandern begannen, brach er mit einer kleinen Jagdgesellschaft nach An Skellig auf. In Leinenkleidern und nur mit einem Messer bewaffnet, machte er sich auf die Suche nach einem Bären ... und einem ehrenhaften Tod.
reward_tree_bran_story_pt1;Man sagt, es sei einfacher, die Wogen an den Skelliger Klippen zu zähmen als die Skelliger selbst. Doch Bran schaffte es. Er vereinte die Inseln und ihre Clans hinter sich und regierte lange mit eiserner Faust.
reward_tree_bran_story_pt2;Was war sein Geheimnis? Wie konnte er schaffen, was sonst niemand vermocht hatte? War es Tapferkeit? Schläue? Einschüchterung? Nein, nichts dergleichen. Bran nutzte eine Macht, die den Skelligern bis dahin unbekannt gewesen war - die des Ausgleichs.
reward_tree_bran_story_pt3;Wo andere zu den Waffen griffen, lud Bran seine Rivalen zu Banketten ein. Honigsüße Worte, pralle Börsen und volle Metfässer machten es schwer, sich mit dem König von Skellige zu überwerfen.
reward_tree_bran_story_pt4;Bran erschlug zwar nie einen Drachen und plünderte auch die Stadt der goldenen Türme nie, doch er gilt als wahrhaft großer Herrscher. Er befriedete die Inseln und leitete eine Phase von Wachstum und Wohlstand für die nächste Generation Skelliger Waffenmeister ein.
reward_tree_bran_title;Bran Tuirseach
reward_tree_brouver_chest_1;Brouver Hoog würde am liebsten jeden Kontakt mit der Außenwelt unterbinden. Er betrachtet sie als Bedrohung der uralten Zwergenkultur, als ständige Gefahr der Versklavung, halbherzig als Assimilation getarnt. Daher unterliegt die Bergregion strenger Überwachung. Der Rat der Clans erlässt Dekrete, die jedwede Angelegenheit regeln. Hosenträger - ja oder nein? Ab wann darf Karpfen gegessen werden? Ist das Okarinaspiel nur ein Import der Menschen, oder entspricht es den Zwergentraditionen?
reward_tree_brouver_chest_2;Der Älteste Brouver Hoog ändert seine Meinung so oft, wie er sich rasiert - also nie. Die Herrscher der Menschenregionen merkten schnell, dass sie ihn weder bestechen noch einschüchtern konnten. Diesem sturen Bock war nur beizukommen, wenn man sich bei seinem Anliegen auf lang vergessene Zwergengesetze oder Präzedenzfälle berufen konnte. Und wirklich, zahlreiche Könige fabrizierten Fetzen angeblich uralter Regularien und führten sie bei den Debatten mit dem Herrscher Mahakams ins Feld ...
reward_tree_brouver_chest_3;Während die Magier des Kontinents sich fortlaufend sorgen, dass die Weiße Kälte einsetzen könnte, wartet Brouver Hoog ungeduldig auf sie. Immerhin haben die Zwerge tief unter der Erde in den Eingeweiden der Berge ganze Städte errichtet, in denen die Temperaturen stabil sind und Pilze wachsen, die kein Sonnenlicht brauchen. Selbst eine Kälte, die den Kontinent für Jahrhunderte im Griff hätte, würden sie nicht fürchten. Und nach dem Großen Tauwetter würden sie in eine von der Geißel der Menschheit befreite Welt zurückkehren.
reward_tree_brouver_story_pt1;Brouver Hoog, Mahakams amtierender Ältester, ist unter Anderlingen eine kontrovers diskutierte Figur. Manchen gilt er als letzte Überlebenschance der Älteren Völker, andere sehen ihn als feigen Verräter. Wie kommt es zu dieser starken Polarisierung? Um das herauszufinden, müssen wir über zwei Jahrhunderte in die Vergangenheit blicken ...
reward_tree_brouver_story_pt2;Zu dieser Zeit unternahmen die Elfen einen letzten verzweifelten Versuch, den Kontinent von den Menschen zu befreien. Ein Bote traf in Mahakam ein und hielt eine flammende Rede für Solidarität zwischen den Älteren Völkern. Brouver Hoog hörte ihn an ... und warf ihn dann aus dem Zwergenland hinaus und verrammelte die Tore hinter ihm.
reward_tree_brouver_story_pt3;Während Menschen und Elfen einander an die Kehlen fuhren, wartete Brouver ab. Zehn Jahre, zwanzig, dreißig ... ein Jahrhundert verging, ehe Mahakam seine Tore wieder öffnete und die Zwerge Neuigkeiten aus den Tälern erfuhren - über den Krieg.
reward_tree_brouver_story_pt4;Die Elfen hatten ihre vollständige Niederlage erlebt. Ihre Reiche lagen in Trümmern, ihre Jugend war auf den Schlachtfeldern von den Drachenbergen bis nach Angren verblutet. Hätte Brouver Hoog auf ihren Ruf reagiert, so hätten die Zwerge das Schicksal der Elfen geteilt. Dank der Weitsicht des Ältesten aber war Mahakam in der Zwischenzeit gediehen ... wenn auch nicht unbeschwert, sondern mit einem gewissen Schuldbewusstsein.
reward_tree_brouver_title;Brouver Hoog
reward_tree_calanthe_chest_1;In den Geschichtsbüchern steht geschrieben, dass Calanthe die letzte Königin Cintras war. Während des Ersten Nilfgaard-Krieges nahm Emhyr var Emreis das benachbarte Königreich in sein Kaiserreich auf. Die gern auch Löwin von Cintra genannte Herrscherin verteidigte ihren Familiensitz mit wilder Entschlossenheit – und erlitt dabei schwere Verletzungen. Im Laufe der Schlacht wurde ihr der unvermeidliche Untergang des Schlosses bewusst und sie befahl den Höflingen, ihr ein Messer für den Selbstmord zu bringen. Diese wagten es jedoch nicht, sich am Tod der Königin zu beteiligen. Letztendlich kamen sie mit ihrem Trotz nicht weit, denn Calanthe warf sich einfach aus dem höchsten Fenster ihres Turms.
reward_tree_calanthe_chest_2;Die Leiche der Königin wurde leider nie gefunden – sicherlich wurde sie von unzähligen nilfgaardischen Infanteriestiefeln bis zur Unkenntlichkeit zertreten. Als der Krieg vorbei war, wurden zwei prächtige Denkmäler zu ihren Ehren errichtet. Eins davon steht in Skellige, wo sie neben ihrem geliebten Ehemann symbolisch beigesetzt wurde, und das andere wurde auf Bitte ihres Bezwingers Emhyr var Emreis unter Schloss Cintra aufgestellt. Es scheint, als hätte sich der Kaiser Nilfgaards furchtbar wegen ihres Todes gegrämt – aus Gründen, die wohl nur ihm bekannt sind ...
reward_tree_calanthe_chest_3;In Calanthes Adern floss das Blut eines alten Familienzweiges der Aen Elle – genauer gesagt stammt sie von Lara Dorren ab, einer Aen Saevherne, die gemeinhin als elfische Wissende bekannt sind. Obwohl die Löwin von Cintra nicht die magischen Eigenschaften des Älteren Bluts erbte, zeigten sie sich in ihrer Tochter Pavetta und schließlich auch in ihrer Enkelin Cirilla. Dass Calanthe selbst diese Kräfte nicht besaß, könnte als Glück angesehen werden, denn sie war für ihr aufbrausendes Temperament berüchtigt. Man mag sich kaum ausmalen, wozu sie mit magischen Kräften imstande gewesen wäre ...
reward_tree_calanthe_story_pt1;Calanthe – oder Calanthe Fiona Riannon, wenn man es genau nimmt – war den meisten unter zwei Spitznamen bekannt. Überall auf dem Kontinent nannte man sie die "Löwin von Cintra" und auf den Skellige-Inseln "Ard Rhena", was "Höchste Königin" bedeutet. Diese beiden Namen passen besser zu ihr als das feinste Paar Seidenhandschuhe.
reward_tree_calanthe_story_pt2;Calanthes Tapferkeit stand ihrer Ernsthaftigkeit in nichts nach. Bei ihrem bloßen Anblick verstummten selbst ungestüme Krieger und sogar die aufgeblasensten Adligen verbeugten sich tief vor ihr. Nur die wenigsten wagten es, gegen ihren Willen zu handeln, und noch weniger konnten diesen Fehler wiederholen.
reward_tree_calanthe_story_pt3;Es war von jeher Calanthes Wunsch, allein zu regieren, weshalb sie einer Heirat lange abgeneigt war. Doch als sie sich schließlich für die Ehe entschied, war der Brunnen williger Verehrer ausgetrocknet. Ihre Augen, die kalt wie grünes Eis waren, und ihr furchterregender Blick konnten die Herzen der jungen Prinzen einfach nicht erwärmen ...
reward_tree_calanthe_story_pt4;Letztendlich trat Calanthe zweimal vor den Altar. Beim ersten Mal zusammen mit Roegner van Ebbing, der ihr eine Erbin bescherte. Ihr zweiter Ehemann, Eist Tuirseach, schenkte ihr wahre Liebe. All dies hätte sicher eine wunderschöne Geschichte abgegeben ... Wäre das Ende nur ein anderes gewesen.
reward_tree_calanthe_title;Königin Calanthe
reward_tree_calveit_chest_1;Als junger Mann diente Jan Calveit in der Division Magne, der die Verteidigung des Kaiserreichs im östlichen Tir-Tochair-Gebirge oblag. Bei einer Expedition gegen gesetzlose Nomaden in der Korath-Wüste wurde seine Einheit überfallen, und nur Calveit überlebte knapp. Lange wanderte er verwundet und erschöpft unter der gnadenlosen Sonne durch den heißen Sand, dann gelang ihm die Heimkehr - doch er war nicht mehr derselbe.
reward_tree_calveit_chest_2;Kaiser Calveit trägt eine tiefe Narbe im Gesicht. Doch die wiederholten Angebote seiner Magier, die Narbe zu entfernen oder zumindest zu verbergen, lehnt er stets ab: "Wer nicht aus seinen Fehlern lernt, ist dazu verdammt, sie zu wiederholen." Und in der Tat, es ist schwierig, vergangene Fehltritte zu vergessen, wenn man sie täglich im Spiegel sieht.
reward_tree_calveit_chest_3;Jan Calveit zog es vor, an Schlachten als Beobachter auf einem Thron am Rande des Schlachtfelds aus teilzunehmen. Selbst inmitten von Brandpfeilen und Steinschlag verließ er diesen Posten nicht. "Unser Schicksal steht in den Sternen", pflegte er zu sagen, "und meine Stunde ist noch nicht gekommen".
reward_tree_calveit_story_pt1;Jan Calveit war an vielen Wissenschaftszweigen interessiert, darunter an Medizin und Astrologie. Seine Kritiker spotteten über die Praxisferne seiner akademischen Bemühungen, bis sie schließlich eines Besseren belehrt wurden ...
reward_tree_calveit_story_pt2;Calveit gründete eine medizinische Universität in Vicovaro. Einer der Bereiche war schon bald berüchtigt, da seine Gelehrten angeblich im Gegensatz zu den meisten Ärzten lieber an den Toten arbeiteten als an den Lebenden ...
reward_tree_calveit_story_pt3;Nicht lange, und es ging das Gerücht, dass tödlich verwundete Soldaten im Krankenhaus wundersam genasen, sodass sie sich alsbald wieder ins Schlachtengetümmel werfen konnten. Allerdings verbargen sie ihre Gesichter und weigerten sich, unter irgendwelchen Umständen die Helme abzunehmen ...
reward_tree_calveit_story_pt4;Die Adligen Nilfgaards waren so verstört von der Idee, die Soldaten könnten zurückgekehrte Tote sein, dass sie ein Attentat auf den Kaiser ins Auge fassten. Doch ihre Pläne wurden sofort durchkreuzt. Wie? War ein Verräter unter ihnen? Durchaus nicht. Calveits Astrologen hatten den Verrat vorausgesehen.
reward_tree_calveit_title;Jan Calveit
reward_tree_cat_2_story_chest;Brehen hatte nie vor, die Prinzessin zu retten. Selbst wenn die Mythen wahr waren, was er stark bezweifelte, wäre es viel zu aufwendig (und gefährlich!), den Fluch zu brechen. Das Risiko war die Belohnung einfach nicht wert. Außerdem waren Hexer zum Töten da und Brehen hatte nicht die Absicht, sich mehr als unbedingt nötig ins Zeug zu werfen. Das Kopfgeld würde auch bestehen bleiben, wenn er sich auf Selbstverteidigung berief – schließlich gab es weit und breit keine Zeugen. Also schärfte der Kater von Iello zum nächsten Vollmond die Waffen und bereitete sich mit Absuden vor, um sich in die Katakomben unterhalb des verlassenen Palastes zu schleichen und der mörderischen Herrschaft der Striege ein Ende zu setzen. Als er ihre abscheuliche, muskulöse Gestalt mit den todbringenden Krallen erblickte, verspürte Brehen keine Angst. Im Gegenteil – er schnaubte beim Anblick der verfluchten Prinzessin und höhnte: "Du bist nicht meine erste Hoheit." Tja, leider würde sie seine letzte sein.
reward_tree_cat_2_story_pt1;Als Mitglied der Katzenhexer war Brehens Training auf Tempo, Präzision und Beweglichkeit ausgelegt – die perfekte Kombination für hinterhältige Attentate, eine Spezialität der Katzenschule. Doch bei aller Vielseitigkeit im Kampf war Brehens hervorstechendste Eigenschaft seine Flexibilität in moralischen Fragen.
reward_tree_cat_2_story_pt2;Wie die meisten seiner Art war Brehen ein Schurke und Ausgestoßener. Anfällig für Wutanfälle und ein Opfer seiner Launen, die er zum Teil dem Mutationsprozess seiner Schule zu verdanken hatte, war Brehen berüchtigt für seine Unberechenbarkeit. Vor allem aufgrund seiner Rolle beim Massaker nahe der Stadt Iello, die ihm auf ewig den Beinamen "Kater von Iello" einbrachte.
reward_tree_cat_2_story_pt3;Auf dem Weg nach Wyzima, wo er die Belohnung für die Heilung von König Foltests Tochter von ihrem schrecklichen Fluch abholen wollte, traf er im Gasthaus Zum Wildschwein und Hirsch auf Geralt. Im festen Glauben, der Rivale sei auf seine Belohnung aus, konfrontierte Brehen den Weißen Wolf. Vielleicht war es Selbstüberschätzung, vielleicht auch bloß die Tatsache, dass Geralt keine Waffen trug – jedenfalls wollte Brehen den Wolf zu einem Duell auf Leben und Tod drängen.
reward_tree_cat_2_story_pt4;Doch das Schicksal hatte an diesem Tag keinen Kampf zwischen dem Kater von Iello und dem Schlächter von Blaviken vorgesehen, denn mitten in Brehens großspurige Rede platzte ein Bote mit Geralts Schwertern, woraufhin der Kater lieber das Weite suchte. Unwillig, sich dem Wolf auf Augenhöhe zu stellen, machte sich der feige Kater davon und ließ sich nie wieder blicken.
reward_tree_cat_2_title;Brehen
reward_tree_cat_avatar_chest_1;Wie war es eigentlich gekommen, dass sich die Schicksale Geralts und Ciris - eines Hexers und einer Prinzessin von Cintra - für immer miteinander verbanden? Durch das Gesetz der Überraschung. Der Hexer hatte einen Fluch von Duny, dem Igel vom Erlenwald genommen und war gefragt worden, was er als Lohn wünsche. Er sagte "Ich will das, was du zuhause vorfinden wirst, aber nicht erwartest." Kurz darauf erfuhr Duny, dass seine Frau Pavetta schwanger war - mit Ciri. Geralt hatte nicht vor, das Gesetz zu erzwingen, doch die Angelegenheit war nun eine Schicksalsfrage.
reward_tree_cat_avatar_chest_2;Ciri erlebte eine dunkle Zeit mit einer Bande namens "die Ratten". Immer auf dem Sprung und stets erschöpft, hatte sie doch so etwas Ähnliches wie eine Zuflucht unter den jungen Halsabschneidern gefunden. Zuerst weigerte sie sich zu töten, doch das dauerte nicht lange. Zu ihrem Entsetzen machte es ihr Spaß zu töten - und sie war gut darin. Doch schließlich waren alle ihre Kameraden tot. Ciri überlebte nur knapp und wurde von einem Einsiedler namens Vysogota von Corvo gesundgepflegt. Hätten die Ereignisse einen anderen Verlauf genommen - wer weiß, vielleicht wäre Ciri heute als Bösewicht berüchtigt statt als Heldin berühmt.
reward_tree_cat_avatar_chest_3;Bevor Cintra fiel, verbrachte die junge Prinzessin Ciri ihre Ferien stets auf den Skellige-Inseln auf dem Clansitz der an Craites. Mit den Kindern des Jarls lernte sie Schlittschuhlaufen, was sich - wie es das Schicksal wollte - später als lebensrettend erweisen sollte, als sie auf den gefrorenen Wassern von Tarn Mira von nilfgaardischen Meuchelmördern verfolgt wurde. Es herrschte dichter Nebel, und ihre Verfolger konnten nur das verstörende Geräusch ihrer Kufen hören, das aus allen Richtungen gleichzeitig zu kommen schien ... bis es von ihren Schreien übertönt wurde, als sie einer nach dem anderen ihrem Schwert zum Opfer fielen.
reward_tree_cat_avatar_story_pt1;Cirilla Fiona Elen Riannon. Das Löwenjunge von Cintra, Schwalbe, Zirael, Falka, Kind des Älteren Blutes, die Herrin von Raum und Zeit. Eine Sammlung von bemerkenswerten Titeln für eine bemerkenswerte Frau.
reward_tree_cat_avatar_story_pt2;Als Tochter von Pavetta und Duny erlebte die Prinzessin eine frühe Kindheit im royalen Überfluss. Doch dann wurde alles anders - Cintra versank in Gewalt und Flammen, Ciri musste fliehen und Familie und Heimat zurücklassen ...
reward_tree_cat_avatar_story_pt3;Schließlich fand sie in der Hexerfestung Kaer Morhen, die auch die Wolfsschule beherbergte, ein neues Zuhause. Unter den wachsamen Augen Geralts von Riva begann sie ihre strapaziöse Ausbildung - zum Glück, denn auch hier war der Friede nicht von Dauer. Und das konnte er auch nicht sein, denn immerhin floss in ihren Adern das Ältere Blut.
reward_tree_cat_avatar_story_pt4;Ciri hatte ihrer Abkunft eine außergewöhnliche Gabe zu verdanken - sie konnte durch Raum und Zeit reisen. Sie brauchte jedoch nicht lange, um zu erkennen, dass diese Gabe eher Fluch als Segen war, da zahlreiche Neider zum Äußersten entschlossen waren, um sich Ciris Macht zu bedienen ...
reward_tree_cat_avatar_title;Ciri
reward_tree_cat_border_chest_1;Die Mitglieder der Katzenschule haben keinen guten Ruf. Sie gelten als blutdurstig und anfällig für Raserei in der Hitze des Gefechts. Auch wenn ihr Gegner kapituliert, kennen sie keine Gnade. Die Einwohner von Ehrendorf erfuhren dies am eigenen Leibe. Sie prellten den Hexer Gaetan nach erfülltem Auftrag um seinen Lohn und durchbohrten ihn mit einer Mistgabel. Gaetan überlebte, und das eigentliche Blutvergießen begann, denn er brachte das ganze Dorf um - Männer, Frauen, Kinder, Kranke und Greise, einerlei, wer sich tatsächlich am Verrat beteiligt hatte. Nur eine junge Frau namens Millie überlebte das Massaker ...
reward_tree_cat_border_chest_2;Warum sind die Hexer der Katzenschule so grausam und unberechenbar? Viele halten ihre Mutationen für den Grund. Während die Emotionen bei anderen Hexern unterdrückt werden, wurde in der Katzenschule offenbar ein alchemistischer Mix verwendet, der sie verstärkt. Ehe der Fehler in der Rezeptur gefunden wurde, war schon eine neue Generation von Hexern der Katzenschule entstanden. Sie bemächtigte sich der Kontrolle der Schule ... und hatte nicht vor, die Rezeptur zu ändern.
reward_tree_cat_border_chest_3;Ciri war zwar in der Wolfsschule ausgebildet worden, doch sie trug ein Medaillon der Katzenschule. Das hatte sie dem Leichnam des berüchtigten Kopfgeldjägers Leo Bonhart abgenommen. Bonhart hatte sich gerühmt, zu den Wenigen zu gehören, die je einen Hexer im Kampf besiegt hatten - sogar mehrere, wie die drei Medaillons an seinem Gürtel bewiesen. An ein viertes kam er jedoch nicht, da Ciri sein Blut auf dem kalten Kopfsteinpflaster von Schloss Stygga vergoss.
reward_tree_cat_border_story_pt1;Jede Hexerschule hat ihren eigenen Ruf. Die Bären gelten als mürrische Hitzköpfe, die Wölfe als Traditionalisten, und die Katzen stehen im Ruf, das Stahlschwert häufiger einzusetzen als das Silberschwert.
reward_tree_cat_border_story_pt2;Im Gegensatz zu Hexern anderer Schulen waren die Hexer der Katzenschule keiner neutralen Position verpflichtet. So kam es, dass sie häufig als Spione und Meuchelmörder gedungen wurden. Kein Wunder, dass sie einwilligten - für einen Adligen gibt es mehr Geld als für einen Ertrunkenen.
reward_tree_cat_border_story_pt3;In royalen Kreisen war der Ruf der Hexer der Katzenschule besonders schlecht. Nicht lange, und die Könige und Königinnen fingen an, ernsthaft um ihr Leben zu fürchten. Für Hexer war das allerdings kein Grund zum Stolz, sondern zur Sorge, da Herrscher sich nicht gerne bedroht fühlen ...
reward_tree_cat_border_story_pt4;Eines Tages wurde die Katzenschule von einer Armee überfallen. Drei Tage hielt das Blutvergießen an, dann waren sämtliche Hexer tot. Und die, die beim Angriff nicht zugegen gewesen waren? Die sind auf den Straßen der Welt zu finden - sie sind bitter, rachedurstig und haben nichts zu verlieren ...
reward_tree_cat_border_title;Saison der Katze
reward_tree_cc_chest_1;Eltibald zog seine Prophezeiungen nicht nur aus seinen Beobachtungen der Himmelskörper, sondern auch aus Inschriften von Grabkammern und Menhiren der Woschgoren und Dauken – Menschenvölker, die zu den ältesten und geheimnisvollsten des Kontinents zählen. Er entdeckte schließlich den roten Fluch, als er auf Skellige Opferbeigaben in Form von Steinplatten untersuchte, die zum Svalblod-Kult gehörten. Den Bewohnern der Inseln zufolge war dieses grausame, gottgleiche Wesen bereits einen endgültigen Tod gestorben. Doch nichts könnte der Wahrheit ferner liegen ...
reward_tree_cc_chest_2;Intelligenten Monstern war der rote Fluch selbstverständlich schon viel länger bekannt als den Menschen. Höhere Vampire, Klopfer, Silvane ... Sie alle konnten spüren, dass sich der rote Mond näherte, und sie alle erwarteten sehnlichst seine Ankunft. Sie wussten, dass sich ihnen eine solche Gelegenheit, offenstehende Rechnungen mit dem Menschen zu begleichen, nie wieder bieten würde.
reward_tree_cc_chest_3;Schon seit jeher faszinierte die Historiker eine bestimmte Frage: Wie kann es sein, dass die Menschen den Kontinent von den Drachenbergen bis zum Großen Meer beherrschen, obwohl Monster – sei es Murmelmensch, Göttling, Bies oder Waldschrat – über größere körperliche Stärke verfügen. Wie schaffen es die Menschen auch heute noch, diese mächtigen Wesen immer tiefer in die Wälder und Höhlen zu treiben? Manche Gelehrte behaupten, dass der Erfolg der Menschheit in ihrer Fähigkeit gründet, komplexe Gesellschaftsstrukturen zu schaffen, während Monster nur von ihrem Blutdurst getrieben werden. Selbst der scharfsinnige und wortgewandte Regis grübelte eines Tages zusammen mit seinem guten Freund Dettlaff van der Eretein über diese Frage. Regis hätte jedoch nie erahnen können, welchen immensen Einfluss seine Worte auf den Verlauf der Geschichte haben würden ...
reward_tree_cc_story_pt1;Bereits seit Beginn der Zeit sahen die Völker neugierig zum Nachthimmel. Sie suchten die Sterne nach Beweisen für Gottheiten ab und versuchten sogar, die Zukunft vorherzusagen. Manchen gelang dies auch, doch sie verfielen dabei meist dem Wahnsinn.
reward_tree_cc_story_pt2;Zu diesen Hellsehern gehörte auch ein Magier namens Eltibald, der die drohende Ankunft der schwarzen Sonne vorhersagte. Mit seinen nächsten Schriften sollten die Menschen sogar von einer noch größeren Katastrophe erfahren ... Leider starb er jedoch, bevor er dieses Werk abschließen konnte.
reward_tree_cc_story_pt3;Eltibalds unfertige Schriften trugen den Titel "Der Rote Fluch oder Das Erwachen des Bösen". In diesem Folianten prophezeite er, dass sich der Mond eines Tages rot färben würde und dass die Monster daraufhin ihre Verstecke verlassen und sich an den Menschen laben würden.
reward_tree_cc_story_pt4;Eltibalds Schüler sahen seine letzte Abhandlung als das Geschwafel eines Wahnsinnigen. Um das Vermächtnis des Magiers zu schützen, versteckten sie die Schriften deshalb vor den Augen der Öffentlichkeit. Erst als der Kontinent Jahre später im Blutvergießen versank, wurde ihnen die Schwere ihres Fehlers bewusst ...
reward_tree_cc_title;Crimson Curse
reward_tree_cd1_leadership_story_chest_1;Ob Verehrung, Bewunderung, Respekt oder Angst – die Herrschaft der hohen Fürsten dieser Welt hat viele Facetten, von der unerschütterlichen Entschlossenheit visionärer Monarchen bis hin zur Grausamkeit vieler Bandenbosse. Während einigen die Macht einfach in den Schoß fällt, hegen viele den sehnlichen Wunsch, eines Tages wahre Größe zu erlangen, um sich über alle anderen zu erheben. Die meisten Möchtegernfürsten, die mit keinem entsprechenden Erbe gesegnet sind, eignen sich solch hohe Positionen oftmals mittels roher Gewalt und Blutvergießen an. Schließlich ist es kaum möglich, sich als Anführer eines Scoia'tael-Kommandos oder Aufpasser der renitenten und gewalttätigen "Organisationen" von Novigrad die Hände nicht schmutzig zu machen. Und wehe denen, die sich einbilden, Monster ohne entsprechende Machtdemonstrationen kontrollieren zu können. Wird übermäßige Güte auch nur von einem Untertan als Schwäche angesehen, muss ein Anführer Angst in den Herzen von Freunden wie Feinden säen, um seine Machtposition zu sichern.
reward_tree_cd1_leadership_story_chest_2;Die Geschichtsschreibung ist voll von Berichten über Schreckensherrschaften, und die Skelliger haben oft genug bewiesen, dass Blutdurst und Gewaltbereitschaft hin und wieder durchaus nützlich sind. Zumindest für kurze Zeit. Wer allerdings eine lange Herrschaft anstrebt, sollte einen eher ruhigen und vorausschauenden Ansatz vorziehen. Wozu sich wie ein tollwütiger Köter ins Gefecht stürzen, wenn es viel schlauer ist, kurz durchzuatmen, um die Lage zu sondieren und entsprechend zu handeln? Intelligenz und Geduld haben nämlich deutlich mehr Schlachten gewonnen als zornige Raserei – obendrein mit viel weniger Verlusten. Man muss nur einen Blick auf Nilfgaard werfen, um zu erkennen, wie effizient clevere Diplomatie sein kann – wenn auch vermischt mit einer guten Prise Hinterhältigkeit.
reward_tree_cd1_leadership_story_chest_3;Wenn es um die Loyalität der eigenen Untertanen geht, ist Angst zweifellos ein exzellenter Motivator. Allerdings ist auf diese Art errungene Unterstützung überaus vergänglich und verfliegt oft beim ersten Anzeichen von Angreifbarkeit. Ein Aufruhr hier, ein Putsch dort – es ist allgemein bekannt, dass Gewalt immer nur mehr Gewalt hervorbringt. Tatsächlich argumentieren viele, dass Respekt und Bewunderung seit jeher weitaus stabilere Fundamente für eine gute Herrschaft bilden; eine Erkenntnis, welche den Fürsten der Nördlichen Königreiche seit Jahrhunderten wohlvertraut ist – Angstmache und Zwang verblassen im Vergleich zur unerschütterlichen Treue wahrhaft loyaler Vasallen.
reward_tree_cd1_leadership_title;Unerschütterliche Herrschaft
reward_tree_cd2_chest_pt1;Man muss nur einen Blick auf die Geschichte der oberen Ebenen der nilfgaardischen Aristokratie oder die Ellbogengesellschaft der Novigrader Unterwelthierarchien werfen, um zu verstehen, dass diejenigen, die an die Macht kommen, oft Leute sind, die zu tun bereit sind, wovon andere nicht einmal zu träumen wagen. Es scheint, wer sich von den Fesseln des Mitgefühls und des Gewissens freimacht, für den ist alles möglich. Dennoch sollten diejenigen, die derart gefährliche Spiele spielen, vorsichtig sein. Ehrgeizige Männer – versengt wie die Motte von der schicksalhaften Verlockung einer Flamme – tanzen auf ihrem Weg nach oben nicht selten mit dem Tod. Deshalb sollten all jene, die solch hochfliegende Ziele verfolgen, nie dieses Sprichwort vergessen: Je höher der Aufstieg, desto tiefer der Fall.
reward_tree_cd2_chest_pt2;In der Tat kann das richtige Wort im richtigen Moment den Verlauf der Geschichte beeinflussen. Genauso wie eine flammende Rede – eine, die, sagen wir, Herz und Verstand eines zusammengewürfelten Haufens Ausgestoßener erreicht, sie motiviert und zu einem stabilen Bündnis aus Loyalität und Respekt formt. Doch sollte man nie eine bloße Idee mit ihrer tatsächlichen Ausführung verwechseln. Denn oft genug tut wenig, wer viel redet. Beim Streben nach Ruhm sprudeln Worte mühelos von eifrigen Zungen, lassen Visionen von Größe entstehen und verdrängen die Tatsache, das ihnen keine Handlungen folgen. Daher sind die Legenden berühmter Anführer selten allein von Worten geprägt, sondern werden vielmehr an der kollektiven Anerkennung ihrer Taten und Errungenschaften gemessen. Es ist reine Ironie, dass ihre Großtaten später nur über Texte auf Buchseiten oder Mundpropaganda überliefert werden.
reward_tree_cd2_chest_pt3;Im Leben haben wir alle unsere Rolle zu spielen. Während die meisten von uns nur eine einzige übernehmen, hoffnungslos gefesselt an das uns zugeteilte Blatt, haben manche das Glück – oder die Gerissenheit – ihr Schicksal selbst zu gestalten. Und ihre Persönlichkeit so lange zu formen, bis der sprichwörtliche Schuh nicht mehr drückt. Überall auf dem Kontinent haben sich viele Gestalten neue Identitäten zugelegt, um einen höheren Zweck verfolgen zu können. Oder zumindest, um mehr Macht und Wohlstand anzuhäufen. Experten der Gesellschaftspolitik argumentieren, dass die meisten einfachen Leute einen unwiderstehlichen Drang verspüren, denen zu folgen, die ihr Erfolgsideal verkörpern – also Persönlichkeiten, die genau die Lebensqualität ausstrahlen, nach der das Fußvolk lechzt. Und wenn das Dasein eines Durchschnittsmenschen nichts als Leid und Unglück bereithält, wer kann es ihm da verdenken, dass er in all der Finsternis ein Leuchtfeuer sucht? Und selbst wenn das hoffnungsvolle Licht nur Fassade ist, macht das keinen Unterschied, denn selbst die Fantasie eines Einzelnen kann tausende Realitäten verwandeln, wenn sie nur überzeugend genug ist.
reward_tree_cd2_story_pt1;Der Kontinent wurde von den Taten zahlloser Anführer geformt – den Tugendhaften, genau wie den Schurken. Die Summe ihrer Handlungen, ob klein oder groß, ob gut oder schlecht, prägen die Landesgeschichte, und gestalten die Welt, wie wir sie kennen, unbestreitbar zum Guten, wie auch zum Bösen.
