reward_tree_ep7_nilfgaard_chest_pt3;Durante sua longa passagem como mercenário, Vilgefortz viajou para os cantos distantes do mundo, assimilou os modos de várias culturas e dominou uma variedade de armamentos exóticos — inclusive seu favorito: o bordão. Sendo lutador formidável, as capacidades do mercenário só floresceram quando ele foi doutrinado nos caminhos da magia. Recorrendo aos planos elementais, ele imbuiria seu cajado com o poder do caos. Com um rápido movimento do pulso, sua arma acertaria com a força total de um aríete, mas ainda leve como uma nesga de fumaça. Além disso, ele usaria magia para atingir uma precisão quase perfeita e aprimorar seus reflexos em frações de segundo. Com isso em mente, os tolos que tiveram a infelicidade de desafiar Vilgefortz em um combate corpo a corpo são dignos de pena, pois o resultado da luta certamente fora determinado muito antes do primeiro — e muitas vezes do último — golpe do cajado do mago.
reward_tree_ep7_nilfgaard_story_pt1;Vilgefortz de Roggeveen era um mago excepcionalmente poderoso, veterano da Batalha da Colina Alagante e membro do Capítulo dos Feiticeiros — até sua dissolução no sangrento resultado do Golpe de Thanedd, do qual ele foi grande instigador.
reward_tree_ep7_nilfgaard_story_pt2;Impressionantemente bonito, diabolicamente inteligente e habilidoso além de sua idade, Vilgefortz conquistou a admiração e o respeito de todos aqueles que o conheciam. Não é nenhuma surpresa que muitos de seus colegas invejassem sua posição afortunada, mas, para ele, esses atributos não eram suficientes para saciar suas aspirações elevadas: ele queria muito, muito mais.
reward_tree_ep7_nilfgaard_story_pt3;Na verdade, Vilgefortz era um homem veementemente ambicioso. A maioria de suas ações era ditada por um impulso implacável de se tornar o ser mais poderoso do mundo — e quiçá de todo o tempo e o espaço, se é que se pode imaginar tal autoridade.
reward_tree_ep7_nilfgaard_story_pt4;Para satisfazer esse desejo que o consumia, o mago fez um pacto com o imperador nilfgaardiano, traiu prontamente seus compatriotas e parentes e massacrou todos os que ousaram impedir seu progresso. Infelizmente, Vilgefortz fez muitos inimigos no caminho para o poder supremo e seus pecados passados logo cobraram seu preço.
reward_tree_ep7_nilfgaard_title;Vilgefortz
reward_tree_ep7_shewhoknows_chest_1;A mãe aceitou carinhosamente a reverência como deusa, encorajando a filha a acender as chamas do renome em expansão sempre que podia. A lealdade era recompensada com informações e assistência mágica e, logo, a maioria dos habitantes de Velen veneravam a Lady. Além disso, era difícil para aqueles que não acreditavam nela rejeitar abertamente a benevolência da Mãe, pois tal heresia era considerada um insulto. Isso, obviamente, era uma postura especialmente perigosa a se tomar, pois as irmãs estabeleceram uma noite anual de comemoração dedicada à mãe — e, com a celebração, havia sacrifícios de sangue. Ironicamente, foi em uma dessas noites que a filha posteriormente matou a mãe, enterrando seu corpo nas profundezas do pântano. No entanto, a alma da antiga bruxa se recusou a descansar em paz e, assim, as irmãs usaram magia negra para aprisionar a alma dentro dos ramos de um grande carvalho, onde permaneceu por muitos anos, ociosa e inerte.
reward_tree_ep7_shewhoknows_chest_2;Por séculos, o espírito da Dama da Floresta permaneceu aprisionado sob o grande carvalho no morro, chorando e lamentando enquanto perambulava eternamente pelo labirinto de ramos — uma prisão dentro de um labirinto de folhas. Incapaz de fugir da magia que a prendia, o espírito delirou, atacando os galhos entrelaçados do carvalho, matando todos aqueles que ousaram se aproximar: homens, mulheres e crianças. Certo dia, um andarilho acabou na caverna debaixo do carvalho e decidiu acabar com a maldição do Morro Sussurrante... Um ato que finalmente libertaria o fantasma da Mãe de suas algemas amaldiçoadas. Até hoje, ainda se debate se o andarilho libertou o espírito ao mundo ou se ele simplesmente o destruiu. De qualquer forma, o grande carvalho no morro agora permanece em uma calma serena.
reward_tree_ep7_shewhoknows_chest_3;Existem aqueles que dizem que um espírito antigo perambula pelas florestas de Velen⁠— um vendaval galopante no corpo de um belo garanhão preto. Ainda mais importante, é de conhecimento público entre os habitantes de que é preciso tomar muito cuidado ao encontrar um cavalo: uma silhueta etérea com olhos vermelhos flamejantes. A fera, como pode imaginar, traz loucura. Todos aqueles que se aproximam da criatura acabam com uma potente mania — uma vontade implacável de ferir da forma mais violenta a si e aos outros. Histórias foram compartilhadas, dizendo que amantes se assassinaram após encontrar a fera, incapazes de deter a sede de sangue. Mas tais coisas não devem ser temidas, pois dizem que o espírito evita qualquer tipo de confronto... E que é preciso procurar especificamente a criatura para encontrá-la. E, aqueles com um desejo desses, obviamente, já foi tomado pela loucura há muito tempo.
reward_tree_ep7_shewhoknows_story_pt1;Existiam muitas coisas que ela sabia e outras coisas que só ela sabia, pois a Dama da Floresta era um ser tão enigmático quanto a origem da própria vida — e tão antiga — que sua idade excedeu até as lendas mais exageradas da sua herança. Com uma vida longa, há um conhecimento incompreensível, mas o conhecimento obtido com tal longevidade não pode ser considerado inteiramente uma bênção, pois, por trás dos véus da iluminação, existe descontento, junto com uma loucura dormente aguardando o despertar...
reward_tree_ep7_shewhoknows_story_pt2;A bruxa estava obcecada para descobrir o significado da existência e se aventurou pelo mundo à procura de respostas. Por séculos, ela perambulou, absorvendo todo o conhecimento até não existir segredos que não conhecesse. Mesmo assim, quanto mais conhecimento ela conquistava, mais vazia e insatisfeita ela se sentia... Um enigma cruel que ela simplesmente não conseguia resolver. Isso até um enorme cataclismo romper a realidade e trazer criaturas estranhas ao mundo, junto com magias poderosas.
reward_tree_ep7_shewhoknows_story_pt3;Mesmo apesar de novos seres terem surgido com a Conjunção, ainda não existia nenhum como ela e, assim, ela duvidou que talvez essa fosse a resposta da sua angústia. Talvez, o sentimento de vazio se devia à solidão e sua busca não era mais uma busca pela iluminação, mas por companhia. Assim, usando forças místicas criadas pelo cataclismo, ela misturou seu sangue com a lama e criou três seres a partir do barro... Três filhas feitas a partir de sua imagem, para confrontá-la e carregar adiante o seu legado.
reward_tree_ep7_shewhoknows_story_pt4;Com suas filhas, ela governou uma terra instável chamada Velen, venerada como uma deusa pelos habitantes da região. Mesmo assim, ela não se sentia contente e, logo, acabou sucumbindo ao desespero. A perseguição infinita pelo propósito finalmente acabou com ela e, lentamente, foi consumida por uma loucura insaciável. Sua loucura, ampliada por seus poderes, acabou dando vida a uma nascente envenenada, profanando Velen e afetando todos aqueles que habitavam o local. Logo, o caos consumiu a terra, tornando-se o precipício da ruína. Assim, as três filhas decidiram acabar com a vida da mãe e, com ela, a loucura consumidora.
reward_tree_ep7_shewhoknows_title;Aquela que sabe
reward_tree_ep7_syndicate_chest_pt1;Octavia Hale sempre desejou ser atriz. Ela adorava a ideia de vestir roupas extravagantes, representar e cativar o público com uma demonstração de suas proezas performáticas. Esse anseio foi interrompido quando vieram os filhos ainda com pouca idade, pois ela era realista e sabia muito bem que a busca por tais sonhos não seria suficiente para sua prole. Assim, ela adiou tais aspirações… Até que, um dia, ela vislumbrou uma maneira de reacender sua paixão pela atuação e tornar-se rica com isso. Ela assumiu o papel de caça-bruxos. Cativando um público desconhecido com seu discurso e esplendor, ela o curvava à sua vontade sórdida e obrigava-o a pagar com prazer. No entanto, acabou descobrindo que a riqueza não era suficiente: ela queria se tornar uma lenda viva e construir um legado em seu caminho. Assim, logo incorporou totalmente em si mesma a personagem que criara. Ela viveu sua vida como caça-bruxos do nascente ao poente, tornando-se menos cautelosa e mais descarada com o passar dos anos. Ela acabou chamando a atenção de uma bruxa de verdade e toda a farsa desabou ao seu redor.
reward_tree_ep7_syndicate_chest_pt2;Quem passa o tempo se esgueirando nas sombras tende a se tornar sombrio — ainda que “sombrio” seja gentil demais para descrever Fabian Hale. Para movimentar os negócios, Octavia geralmente o incumbia de espalhar boatos, plantar sementes de dúvida e encenar um crime ocasional. Porém, foi muito difícil o “canalhinha”, como sua mãe o chamava, parar por aí. Com uma gana insaciável por desejos violentos, ele costumava explorar sua posição para exercer sua selvageria — na verdade, muitas “bruxas” condenadas desapareciam misteriosamente antes mesmo de chegar à fogueira. Com essa tendência para o comportamento predatório, além da completa falta de moral, é melhor não discutir abertamente a extensão da depravação do irmão mais novo de Hale para evitar enojar os que ouvirem falar de seus atos covardes.
reward_tree_ep7_syndicate_chest_pt3;Muitas vezes apelidado de “Bruto”, por razões óbvias, Ignatius — ou “Iggy”, como preferia ser chamado — era o braço forte da operação de Hale. Seu dever, que ele desempenhava com zelo inabalável, era prender malfeitores acusados de bruxaria, extrair-lhes a confissão e queimá-los vivos na fogueira — de preferência sob os olhares de uma grande multidão. No entanto, não se deve pensar erroneamente em Ignatius como uma pessoa totalmente má. Pelo contrário: ele era um herói — ou, pelo menos, era nisso que acreditava. Desde que sofreu um coice de uma mula na infância, ele era um tanto estúpido e muito fácil de manipular. Sua mãe, portanto, sabendo de sua boa natureza, convenceu-o de que os Hales estavam de fato caçando bruxas de verdade, punindo o mal e salvando gente inocente de destinos terríveis. Do contrário, ela temia que o idiota bondoso e simplório certamente desistiria de seu ardil num piscar de olhos.
reward_tree_ep7_syndicate_story_pt1;Vinda de um canto distante do Império Nilfgaardiano, a família Hale migrou para os Reinos do Norte em busca de fama e fortuna — que encontrou na busca do mais improvável e cruel dos empreendimentos.
reward_tree_ep7_syndicate_story_pt2;Octavia Hale nascera em meio a uma assimilação da cultura de uma potência estrangeira e, por isso, conhecia o preconceito. No entanto, a paixão absoluta pela perseguição que ela testemunhou ao chegar a Novigrad a confundiu além da compreensão. Os nativos demonstravam um ódio inflamado contra magos e magias e, vendo-os zombar lascivamente durante uma execução pública, começou a tramar um esquema sinistro.
reward_tree_ep7_syndicate_story_pt3;Muitas pessoas, ao que parecia, precisavam de algo — ou alguém — para culpar por qualquer infortúnio ou miséria que se lhes acometesse. Assim, Octavia e seus dois filhos personificaram caçadores de bruxos renomados e começaram a fornecer para as províncias dos Reinos do Norte exatamente o que eles tanto ansiavam: bodes expiatórios.
reward_tree_ep7_syndicate_story_pt4;Magos de verdade, no entanto, eram um assunto bastante perigoso — principalmente sem acesso a compostos supressores de magia como o dimerítio. Além do mais, eram seres relativamente raros. Portanto, os Hales optaram por um empreendimento mais seguro e produtivo. Aventurando-se por toda a terra, eles se aproveitavam da ignorância de comunidades isoladas para encenar atos de bruxaria, enquadrando aldeões inocentes para, então, oferecer generosamente seus serviços de caça aos bruxos — por um preço, é claro…
reward_tree_ep7_syndicate_title;Caça-bruxos
reward_tree_eredin_chest_1;Eredin tinha somente um objetivo: abrir o portão entre os mundos. Se ele tivesse sucesso, teria eliminado a necessidade de atravessar reinos atemporais e o frio congelante. Os Aen Elle poderiam tomar o controle do Continente e finalmente escapar de seu mundo condenado. Nessa hipótese, o povo do Continente provavelmente ficaria saudoso de seus antigos reis, mesmo os considerados tiranos e bastardos...
reward_tree_eredin_chest_2;Eredin fez grandes esforços para se aproveitar de lendas e superstições humanas. Por isso, seus cavaleiros usavam uma armadura fantasmagórica para parecerem espectros. Além disso, ele assombrou as águas de Skellige com um navio semelhante ao Naglfar, o dracar mítico que diziam ter sido construído com as unhas dos mortos. Devido às suas táticas amedrontadoras, os cavaleiros da Caçada Selvagem de Eredin raramente precisavam sacar suas armas. Eles simplesmente viam os inimigos largando as deles...
reward_tree_eredin_chest_3;Eredin tem muitos feitos vis em sua consciência, incluindo um regicídio. Acreditando que o líder dos Aen Elle, Auberon, era fraco demais para liderar seu povo para a vitória, ele decidiu eliminar o rei e tomar seu lugar. Embora sua trama tenha dado certo, o reino de Eredin não duraria muito, pois logo ele enfrentou um certo bruxo da Escola do Lobo chamado Geralt de Rívia...
reward_tree_eredin_story_pt1;Quando um arrepio repentino surge à noite, e os grilos e sapos fazem silêncio, o povo do Continente se levanta de suas camas para pregar todas as portas e janelas, pois sabem que a Caçada Selvagem se aproxima.
reward_tree_eredin_story_pt2;Quem são esses cavaleiros diabólicos cujas silhuetas espectrais atravessam o céu noturno? Ao contrário do que geralmente se pensa, eles não são espíritos malignos, mas guerreiros élficos liderados por Eredin Bréacc Glas, também conhecido como Águia.
reward_tree_eredin_story_pt3;Ele veio de terras exóticas e distantes. Com coração gelado e com um capacete de caveira ocultando o rosto, o Rei da Caçada Selvagem escraviza a todos os que gritam de pavor. Acorrentados, eles são destinados a servir os Aen Elle até o fim de seus dias.
reward_tree_eredin_story_pt4;Porém, nem todos os habitantes do Continente temem Eredin e seus cavaleiros demoníacos. Muitas feras e monstros, mesmo os irracionais, mostram respeito à Caçada Selvagem. Alguns até seguem suas ordens...
reward_tree_eredin_title;Eredin Bréacc Glas
reward_tree_fancesca_chest_1;Segundo o acordo de paz cintriano, a soberania de Dol Blathanna seria dada aos elfos. Contudo, o tratado não especificou as condições. Com essa brecha em mente, todos os que fugiram do vale levaram o que podiam e queimaram o resto. No lugar de seu amado Vale das Flores, Francesca Findabair herdou um Vale de Cinzas.
reward_tree_fancesca_chest_2;Francesca procurou restaurar a antiga glória do Vale das Flores, mas isso acabou sendo mais difícil do que o esperado. Palácios destruídos podem ser reconstruídos, e jardins queimados podem ser recultivados. Porém, após anos de exílio, os elfos haviam esquecido muitas de suas antigas tradições e costumes e tinham absorvido a cultura humana. Parecia que Dol Blathanna jamais recuperaria sua antiga identidade.
reward_tree_fancesca_chest_3;Francesca percebeu que um movimento em falso poderia novamente destruir o Vale das Flores. Assim, ela tolerou pacientemente a provocação incessante de seus vizinhos. Contudo, quando alguém atravessava a fronteira para Dol Blathanna, Francesca não media esforços para defender seu reino e seus súditos.
reward_tree_fancesca_story_pt1;Francesca Findabair, também conhecida por seu nome verdadeiro, Enid an Gleanna, é conhecida como a mulher mais bela do Continente, contando élficas e não élficas. Mas ela também é a mais triste. Tudo devido ao seu sonho realizado...
reward_tree_fancesca_story_pt2;Francesca desejava uma coisa acima de tudo: recuperar Dol Blathanna, o Vale das Flores, das mãos humanas e reconstruir o reino dos elfos. A guerra do Norte contra Nilfgaard destruiu a velha ordem e deu a oportunidade para seu sonho ser concretizado. O preço a pagar, contudo, foi muito alto...
reward_tree_fancesca_story_pt3;Para recuperar Dol Blathanna, Francesca não teve escolha senão fazer uma aliança com o Imperador Emhyr var Emreis de Nilfgaard. E quando chegou o momento das negociações de paz, ela deveria entregar oficiais Scoia'tael capturados para punição na corte imperial.
reward_tree_fancesca_story_pt4;Francesca não tinha dúvidas de que tomara a decisão certa. Dezenas de soldados em troca do destino de seu povo. O número de vidas em jogo sugere que ela fez a melhor escolha, mas nem sempre é possível se consolar com cálculos frios.
reward_tree_filavandrel_chest_1;Quando o reino dos elfos entrou em ruína, Filavandrel refugiou-se nas Montanhas Azuis, às margens do mundo, longe dos assentamentos humanos. Lá, cercado por escombros e pinheiros, ele ansiava pelo dia no qual poderia voltar ao seu amado Vale das Flores... e aos seus luxos abundantes.
reward_tree_filavandrel_chest_2;"Os Navios Brancos", palavras de uma das várias obras de Filavandrel, referem-se às naus nas quais os primeiros elfos chegaram ao Continente. Exatamente: os nobres Aen Seidhe não foram os primeiros habitantes deste mundo, algo que eles preferem não admitir... Provavelmente porque a crueldade com a qual trataram os povos nativos destas terras é semelhante ao tratamento ímpio atual que os seres humanos dedicam aos elfos hoje, centenas de anos depois.
reward_tree_filavandrel_chest_3;Filavandrel tem muitos motivos para orgulhar-se. Dentre eles está o fato de ter pertencido a um pequeno grupo capaz de derrotar Geralt de Rívia em combate. Ele estava pronto para matar o bruxo, mas sua mão foi impedida pela chegada repentina de Dana Méadbh, uma deusa elfa que detesta todo derramamento de sangue. Se ela não tivesse aparecido, o destino do mundo poderia ter sido algo completamente diferente...
reward_tree_filavandrel_story_pt1;Filavandrel quase sempre insistia em ser chamado por seu nome completo: Filavandrel aén Fidháil das Torres Argentas, da linhagem de Feleaorn dos Navios Brancos. Talvez sua persistência diga mais a seu respeito do que a lista de títulos em si.
reward_tree_filavandrel_story_pt2;Diferente da maioria dos elfos, Filavandrel nunca viveu sob o jugo da humanidade. Ele nunca teve que sofrer a humilhação da discriminação e o medo dos pogroms. Ele levava no rosto o olhar de quem nunca fora espancado ou forçado a ficar de joelhos.
reward_tree_filavandrel_story_pt3;Filavandrel não era a imagem de um guerreiro determinado. Ele vestia mantos soltos e prestava atenção demais à sua aparência. Mesmo assim, de espada em punho, ele provou ser mais perigoso do que um demônio enfurecido.
reward_tree_filavandrel_story_pt4;Filavandrel foi o conselheiro mais próximo de Francesca Findabair. Ele respeitava muito a Rainha de Dol Blathanna, a única pessoa perante a qual ele sempre tomara o cuidado de não parecer arrogante.
reward_tree_filavandrel_title;Filavandrel aén Fidháil
reward_tree_foltest_chest_1;Diferente de outros reis do Norte, Foltest não detestava as Raças Ancestrais. Muito pelo contrário, ele falava o seu idioma fluentemente e era versado em poesia élfica e bebidas anãs. Mesmo assim, ele lutou contra os Esquilos sem piedade alguma. Ele sentenciou cada um dos prisioneiros de guerra à roda de tortura, considerou os humanos aliados como espiões e confinou todos os não-humanos a áreas segregadas da cidade. "Afinal", pensava ele, "as razões de Estado às vezes demandam sacrifícios".
reward_tree_foltest_chest_2;Foltest teve dúzias de vitórias em guerra, quase todas contra forças muito maiores. Qual era o segredo do seu sucesso? Uma mente analítica? Ações decisivas e rápidas? O próprio rei costumava dizer que devia suas muitas vitórias a uma excelente memória. Ele sabia o nome de todos seus oficiais, inclusive os soldados rasos. Ele compreendia suas forças e fraquezas, o que lhe permitia designar a pessoa certa para qualquer tarefa. Por isso, a maioria dos que o serviam se consideravam próximos do rei. E todos estavam dispostos a dar suas vidas por ele.
reward_tree_foltest_chest_3;O Rei Foltest não era especialmente religioso em comparação a outros governantes. Ele não participava de jejuns nem saía em peregrinações. Na verdade, ele frequentemente rompia dogmas religiosos em sua alcova sem pensar duas vezes. Mesmo assim, ele não economizou ao erguer um novo templo e ainda fez uma oferenda que causou um rombo e tanto no tesouro real. E isso tudo para quê? Embora duvidasse da existência dos deuses, ele reconhecia que o poder de seus sacerdotes era bem real. Qualquer tentativa de limitar a influência divina deles só provocaria sua fúria santa...
reward_tree_foltest_story_pt1;Foltest parecia ser o regente ideal. Era inteligente, generoso, engenhoso e, segundo consta, extremamente bem apessoado. No entanto, todos têm defeitos, especialmente os reis...
reward_tree_foltest_story_pt2;No caso de Foltest, sua maior falha era o seu afeto excessivo. O Senhor de Teméria, do Pontar, Mahakam e Alagante perdia o controle de suas ações no que tocasse à carne.
reward_tree_foltest_story_pt3;Se ao menos ele tivesse limitado suas conquistas amorosas a viúvas entediadas e cidadãs aventureiras... Mas, não, ele preferia perseguir as saias de sacerdotisas, esposas de aliados, filhas de amigos e... de sua própria irmã.
reward_tree_foltest_story_pt4;A lascívia desinibida de Foltest foi seu grande fim. O Rei de Teméria, herói das Guerras de Nilfgaard, não faleceu em Alagante nem em Brenna. Não... ele caiu em meio a uma guerra civil contra uma ex-amante e seus filhos bastardos.
reward_tree_foltest_title;Rei Foltest
reward_tree_francesca_title;Francesca Findabair
reward_tree_gernichora_chest_1;Gernichora, segundo a lenda, foi uma princesa que estava prestes a se casar com um dos filhos do rei Cedric em Vizíma, quando seu séquito ficou à deriva em Angren, engolido pelo pântano traiçoeiro de Ysgith. A princesa, no último momento, ficou presa na raiz de uma árvore próxima e acabou engolida pela lama grossa do pântano. Desesperada por ajuda, ela gritou sem parar, mesmo sem nenhuma alma viva a léguas. Contudo, outras coisas apareceram. A princesa logo foi dominada por centenas de sanguessugas que lhe sugaram até a última gota de sangue do corpo. Em seguida, inspirada pelo poder misterioso do pântano de Ysgith, a princesa renasceu... como um monstro.
reward_tree_gernichora_chest_2;Gernichora era, na verdade, um monstro pós-Conjunção cujo nome deriva da Fala Ancestral. Os elfos a chamavam de Gvaern Ichaer: a Senhora Sangrenta. Os Aen Seidhe, apesar de incapazes de derrotar Gernichora, fizeram o possível para limitar seu poder. Quando os últimos elfos deixaram Angren, seus avisos passaram despercebidos. Não demorou muito para que o efeito da negligência e ignorância local surtisse efeito...
reward_tree_gernichora_chest_3;Muitos governantes tentaram explorar o poder de Ysgith — primeiro os temerianos, depois os nilfgaardianos. Atraídos por seu potencial, enviaram vastas caravanas de colonos ao pântano tépido — fortemente protegidas, é claro. Entretanto, o resultado final era sempre o mesmo: aflição, insanidade e o fedor de valas comuns para aguçar o apetite dos carniçais das redondezas. Grande parte de Ysgith permanece desabitada, o que talvez seja melhor.
reward_tree_gernichora_story_pt1;Angren é uma das regiões mais traiçoeiras do continente... e Ysgith é o local mais perigoso dentro dela. É lá que se encontra o covil da monstruosidade aterrorizante conhecida como Gernichora.
reward_tree_gernichora_story_pt2;Segundo alguns, Gernichora parece uma mulher alta, coberta de sanguessugas enormes da cabeça aos pés. Outros dizem que parece uma sereia, mas com o abdômen de sanguessuga em vez da cauda de peixe. É provável, porém, que esse debate ainda continue, pois ninguém que tenha tido o prazer de botar os olhos nessa fera voltou com vida.
reward_tree_gernichora_story_pt3;Os habitantes dos pântanos de Angren são muito familiarizados com uma das iguarias mais icônicas: os frutos de Ysgith. De longe, parecem maçãs de dar água na boca: enormes, vermelhas e suculentas a ponto de os galhos envergarem com o peso... Mesmo assim, sempre que um viajante desavisado e faminto tenta colher um deles, acaba pegando nada menos do que uma sanguessuga, cheia de sangue a ponto de explodir.
reward_tree_gernichora_story_pt4;Gernichora não é muito diferente de um vampiro, só que, em vez de ingerir o sangue dos outros, ela os alimenta com seu próprio sangue. Ela gruda parasitas no corpo e depois pendura-os nas árvores. Assim, qualquer fera ou monstro que devorar um de seus frutos ficará completamente submisso à vontade dela...
reward_tree_gernichora_title;Gernichora
reward_tree_griffin_2_story_chest;Por muitos anos, Jerome viveu com seu destino, sem sentir tristeza ou arrependimento, sem desejo de reverter as mutações. Há muito tempo, ele sentiu a sombra calculista do pai. Então, quando o professor Moreau o atraiu para Toussaint com um contrato, ele decidiu colocar um fim nessa charada.\nJerome confrontou professor Moreau em 1121. Após aprisinar o bruxo usando um feitiço de paralisia, ele prosseguiu com experimentos malucos e destemidos para libertar seu filho das mutações do bruxo. Tudo isso enquanto ignorava os pedidos contrários de misericórdia do filho.\nEste processo não foi leve. Nem um pouco.\nLevado ao limite da vida em muitas ocasiões, ele se reerguei todas as vezes mais forte e mais rápido do que antes. E mais… transformado. Como resultado dos experimentos do velho Moreau e apesar da sua determinação, Jerome se tornou cada vez menos humano. Até o oitavo dia do outono de 1122, quando o professor finalmente desistiu. Ele coletou as anotações e fechou o laboratório.\nQuanto ao que sobrou da cobaia fracassada...
reward_tree_griffin_2_story_pt1;Em 1087, após salvar o professor Tomas Moreau, um bruxo exigiu o que o sábio já tinha, mas não sabia. Deste dia em diante, Jerome, filho de Tomas, se tornou um dos filhos vinculados à Lei da Surpresa.
reward_tree_griffin_2_story_pt2;Alguns anos depois, o bruxo foi atrás do jovem Jerome para tirá-lo de Kaer Seren, lar da Escola do Grifo. O garoto foi submetido ao treinamento físico de rotina e às mutações necessárias para forjar um bruxo. Mesmo assim, o processo parecia ser simples para ele, como se tivesse nascido para aquilo.
reward_tree_griffin_2_story_pt3;Consequentemente, ele mais se parecia com um homem comum, deixando apenas sua espada de parata e o medalhão de Grifo para provar o contrário. Estranhos e conhecidos tratavam ele melhor do que os bruxos medianos — muitos sem perceber que estavam acompanhados de um mutante.
reward_tree_griffin_2_story_pt4;Infelizmente, a resistência extraordinária estava prestes a se tornar a perdição de Jerome, pois o professor Moreau não se esqueceu do filho perdido, mantendo-o sob constante observação. Sua normalidade levou seu pai a acreditar que as mutações ainda podiam ser revertidas.
reward_tree_griffin_2_title;Jerome Moreau
reward_tree_griffin_avatar_chest_1;Apesar de George de Kagen ter pertencido a Escola do Grifo, sua afinidade pode ser encontrada imortalizada nos muros de Kaer Morhen, o lar da Escola do Lobo. Os mentores da Escola do Lobo acreditavam que uma representação do triunfo de George sobre um dragão provaria um ponto válido de estudo para os bruxos em treinamento. Enfrentando o adversário escamoso por conta própria, o bruxo demonstrou grande coragem. Mesmo assim, no fim, a fé equivocada de George nos homens serviu como um conto de atenção para os futuros exterminadores de monstros. Uma pena, o pois o novato do exterminador de dragões foi tratado pelos jovens lobos como pouco mais do que uma tela com esboços de bigodes encaracolados, barbas enroladas e outras características da anatomia masculina...
reward_tree_griffin_avatar_story_pt1;Rodou a palavra por longas distâncias de que os bruxos se recusavam a aceitar contratos de dragões já que os colossos escamosos não eram apenas sensíveis, mas também seres altamente inteligentes. De fato, o exterminador de monstros mais famoso do Continente, Geralt de Rívia, havia aderido fortemente este princípio. Mesmo assim, seu irmão de armas da Escola do Grifo, George de Kagen, não tinha a mesma doutrina...
reward_tree_griffin_avatar_story_pt2;Bruxos e ferreiros experientes estimavam a armadura excepcionalmente durável da Escola do Grifo. Talvez por um motivo — pois George acreditava que seu peitoral, forjado com aço de Mahakam, protegeria-o de venenos poderosos e fogo de dragão. Uma pena, pois até mesmo a forja dos anões não pode realizar milagres...
reward_tree_griffin_avatar_story_pt3;O draconídeo gigantesco que havia devastado as terras de Velen provou ser nada menos do que um dragão verde — e último adversário de George. Apesar de ter conseguido derrubar o dragão, o bruxo sofreu ferimentos graves. No entanto, mesmo tendo sobrevivido... não foi por causa da depravação dos homens.
reward_tree_griffin_avatar_story_pt4;Um tal de Balstick, plebeu de Velen e homem de moral corrompida, jurou seus cuidados ao bruxo desfavorecido. Uma pena, pois os desejos do camponês de um futuro melhor superou este gesto de boa vontade. Em vez de trazer George de volta à vida, Balstick acabou facilitando a transição do exterminador de dragões, diluindo os remédios e colocando acônito em seu alimento. Como podemos ver, ele havia planejado ficar com os segredos do bruxo para si e para seus semelhantes — tudo para conseguir fazer uma nova fortuna...
reward_tree_griffin_avatar_title;George de Kagen
reward_tree_griffin_border_chest_1;Reza a lenda de que Papebrock Valerian de Temeria, que viveu na época do Rei Desmond, aceitou domesticar os grifos. O sonho dele era de desbravar os céus sobre a fera majestosa que adornava o brasão de sua família. Então, um belo dia, atraído pela promessa de uma grande recompensa, um homem misterioso apareceu na corte de Papebrock para oferecer um enorme ovo de quase dois quilos – um ovo que supostamente havia sido encontrado em um ninho de grifos. Após três semanas, uma criatura estranha finalmente nasceu, apesar de certamente não ter sido um grifo. Parecia um grande ganso com pernas nuas e poderosas e um pescoço longo e frágil. A fera jamais permitiu que Valerian montasse em suas costas, apesar de sua carne suculenta ter sido um grande assunto e até mesmo causar um pouco de orgulho à família Papebrock no banquete seguinte.
reward_tree_griffin_border_story_pt1;No passado, os grifos eram conhecidos por limitar o território às grandes montanhas, onde caçavam marmotas e cabras. No entanto, em uma memória mais recente, os monstros híbridos estenderam o alcance de seus planos, depois que aprenderam que as ovelhas eram presas menos ágeis. E os pastores, mais lentos ainda...
reward_tree_griffin_border_story_pt2;Todos sabem que um par de grifos é para a vida e que um parceiro defenderá o outro a qualquer custo. Por este motivo, eles servem, com frequência, como símbolo de coragem, lealdade e bravura.
reward_tree_griffin_border_story_pt3;Já não deveria surpreender, então, o fato de os grifos aparecerem em tantos brasões pelo Continente, como no Reino de Caingorn e em famílias como os Papebrocks de Temeria. Na verdade, as características admiráveis da fera eram tão respeitadas que o monstro até se tornou o símbolo de uma escola de exterminadores de monstros...
reward_tree_griffin_border_story_pt4;Pouco se sabe sobre a Escola do Grifo. Sua localização precisa ainda é desconhecida e apenas três bruxos da escola foram registrados nos anais da história do Continente: George de Kagen, Jerome Moreau e um bruxo sem nome que supostamente morreu para a lâmina de Leo Bonhart.
reward_tree_griffin_border_title;Temporada do Grifo
reward_tree_gudrun_chest_1;Os piratas sob o comando de Gudrun logo aprenderam que os ganchos que tanto usavam para embarcar em navios funcionavam igualmente bem nas construções de vários andares de Novigrad. Hoje em dia, sempre que os novigradenses mais prudentes escutam no telhado algo arrastando logo depois de uma batida, eles correm direto para o porão para se trancar com seus bens mais valiosos.
reward_tree_gudrun_chest_2;Nas Ilhas de Skellige, homens e mulheres são tratados igualmente. Ambos aprendem as artes da guerra e da navegação. Mesmo apesar do amplo conhecimento dos costumes de Skellige, muitos dos homens do continente ainda não se comportam ao ver uma guerreira das Ilhas, achando que suas armas servem apenas como adornos. Gudrun sempre aproveitou essas oportunidades para corrigir pessoalmente tamanha ignorância.
