_inputshopbuymultiple;ACHETER
reward_tree_ep5_eredin_story_pt2;Il y a longtemps, à une époque où la Reine de l'hiver était encore en vie et où le roi Auberon Muircetach venait de former les Cavaliers pourpres, Eredin maîtrisait l'Ard Gaeth, les Portes des mondes. Il pouvait grâce à elles voyager librement vers d'autres dimensions et, chaque fois qu'il en faisait usage, il envahissait impitoyablement le monde choisi. Durant ces attaques, son principal objectif était de trouver et capturer assez d'esclaves, de préférence des humains, pour servir les Aen Elle dans leur monde ou leur procurer une source d'énergie.\nAvec le temps, ces événements devinrent une sinistre légende. La légende de la Reine de l'hiver et de sa Chasse Sauvage, qui voyageaient dans le ciel durant le blizzard pour capturer des gens et ciseler leur cœur.\nC'est pourquoi Eredin et ses elfes portaient une armure évoquant un squelette et un casque en forme de crâne.\nCela servait à renforcer cette croyance.
reward_tree_ep5_eredin_title;Épervier
reward_tree_ep5_harald_story_pt_1;Le jeune Harald avait beau manquer de force et de talent, il compensait cela largement par sa détermination obstinée. Pas du genre à reculer devant un combat, quelles que fussent ses chances, il se retrouvait souvent impliqué dans des bagarres impossibles à gagner. Moqueurs, les membres de son clan soutenaient qu'Harald ne savait pas faire la différence entre la bravoure et la stupidité, ce qu'il confirma à maintes reprises. Particulièrement lorsqu'il affronta à lui seul un ours adulte. Miraculeusement, Harald survécut à l'affrontement, mais l'énorme grizzly lui mutila irrémédiablement la jambe. À compter de ce jour, la douleur devint le fléau de sa vie et le don qui l'aida à forger sa légende.
reward_tree_ep5_harald_story_pt_2;L'os de sa jambe s'étant consolidé de travers, Harald⁠ fut surnommé à jamais l'Estropié et connut une souffrance de tous les instants. Il éprouva alors le désir d'infliger aux autres la douleur qu'il endurait et le nom d'Harald devint synonyme de "souffrance". Tous les insulaires apprirent rapidement qu'affronter l'Estropié les conduirait à une mort inévitable, leurs proches et eux, et qu'il valait mieux déposer les armes plutôt que de subir sa colère.\n\nHarald finit par mettre fin à son carnage pour se déclarer roi des îles : sa soif de batailles était apaisée. S'il agit ainsi, ce fut bien sûr parce que plus personne n'osait s'opposer à lui.
reward_tree_ep5_harald_title;L'Estropié
reward_tree_ep5_jacques_story_pt_1;Semé dans l'esprit d'un jeune enfant, le doute va souvent s'y enraciner et modeler sa vision du monde ou, comme dans ce cas, la déformer. Une vie de préjugés et un sens déformé de la justice peuvent découler d'un instant insignifiant. Un battement d'ailes peut finir par provoquer une tempête déchaînée. Pour Jacques d'Aldersberg, ce furent la générosité d'un brave étranger, ainsi que quelques mots empreints de "sagesse", qui engendrèrent son jeu préféré, "Tuer l'elfe", et toutes les horreurs qui s'ensuivirent.
reward_tree_ep5_jacques_story_pt_2;La corruption de Jacques n'aurait peut-être eu aucune conséquence s'il n'avait pas canalisé une puissante énergie. Il recevait de terribles visions de l'avenir depuis son plus jeune âge : des prémonitions annonçant la fin de l'humanité. Il voyait la mort glaciale qui l'attendait et, se croyant seul capable de modifier le cours des choses, empêcher à tout prix l'issue fatale devint pour lui une obsession.\n\nAprès s'être hissé au rang illustre de grand maître, Jacques, motivé par son pouvoir autoproclamé et sa haine des non-humains, fonda l'Ordre de la Rose-Ardente, adopta les dogmes du Feu Éternel et lança une terrible guerre raciale. Tout cela dans le but de concrétiser sa vision sordide d'un monde "meilleur".
reward_tree_ep5_jacques_title;Grand maître de la Rose-Ardente
reward_tree_ep5_main_story_chest;Les serments humains, les nobles prédictions et toutes les idioties concernant le destin amusent et fascinent à la fois Gaunter de Meuré. Oh, tout particulièrement leur Droit de surprise : "Tu me donneras ce que tu possèdes déjà et dont tu ignores encore l’existence." Et ils osent dire que ses offres sont obscures et injustes ? C'est vraiment hilarant !\nAprès tout, il se contente d'ouvrir les yeux de ceux qui ont envie de voir. Il révèle la folie du monde qui les entoure et leur montre les opportunités qu'elle apporte. Il navigue sur les chemins du possible. Toutefois, il appartient aux humains de choisir la voie qu'ils suivront. Cette belle femme reviendra-t-elle sur la promesse faite par son défunt mari ou bien honorera-t-elle son serment ? Le guerrier choisira-t-il de mentir, tromper et tuer ses frères ? Le vieil héros sauvera-t-il une vie en abandonnant des milliers d'autres gens à la mort ? Et le jeune idiot tuera-t-il des milliers de gens pour sauver peut-être le monde ?\nLe choix leur appartient complètement.\n\nLes traditions humaines sont presque aussi divertissantes pour Gaunter de Meuré que de jouer avec le destin. Parfois, il vérifie même en personne s'ils respectent encore les anciennes coutumes. Il parcourt ce monde, observant les paysans qui immolent des offrandes pour les morts ou les femmes qui nouent des rubans rouges aux berceaux pour repousser les spectres. Sous les traits d'un vieux mendiant, il quémande de la nourriture, et quand vient la nuit de Saovine, il attend que les gens se cachent dans leurs chaumières pour éviter ceux qui ont quitté ce monde. Parfois, ceux qui n'ont pas réussi à se cacher ou sont trop ivres pour le faire ont la chance de le rencontrer à la place des morts redoutés. Et s'ils ne répondent pas à ses humbles requêtes, manquant ainsi de respect envers les traditions ancestrales, il leur montre son vrai visage.\n\nLes monstres et les non-humains semblent résister à l'influence du Maître Miroir ou, du moins, y succombent moins souvent que les humains. Difficile de dire ce qui en est la cause, car ils peuvent se montrer tout aussi cupides, envieux et stupides que les humains. Gaunter de Meuré n'a-t-il vraiment aucun effet sur leur âme ? C'est possible, en effet. Cependant, cela semble trop simple pour être l'entière vérité. En y regardant bien, on peut dire que Gaunter de Meuré interfère dans les affaires des monstres et des non-humains, mais pas directement. Par exemple, il suffit d'aider subtilement le bon prince à s'emparer du trône pour attiser la haine et faire de la vie de milliers de dryades un véritable enfer.\nN'est-ce pas ?
reward_tree_ep5_main_story_pt1;Pour beaucoup de monde, Gaunter de Meuré est un mystère. En fait, il en est un pour tous ceux qui ont eu le malheur de le rencontrer. Le Maître Miroir a pour règle de ne jamais expliquer d'où il vient à quiconque, sauf s'il souhaite que son interlocuteur ait une vie courte et douloureuse.
reward_tree_ep5_main_story_pt2;Car les rares personnes qui ont pu découvrir le véritable nom du Maître Miroir sont mortes depuis longtemps, ou bien ont connu un sort pire encore. La cécité guette les curieux qui s'intéressent à son passé, car le rencontrer brièvement dans une foule suffit à changer le destin d'un homme à jamais.
reward_tree_ep5_main_story_pt3;D'après les ouvrages disponibles dans les bibliothèques d'Oxenfurt, le Maître Miroir serait l'incarnation du mal à l'état pur, celui qui apparaît depuis des milliers d'années dans différentes cultures sous différents noms. Gaunter estime qu'il s'agit là d'une description assez imprécise et parfaitement ignorante de lui. Il se contente de donner aux gens ce qu'ils veulent : on ne peut lui reprocher qu'il s'agisse de choses méchantes et maléfiques.
reward_tree_ep5_main_story_pt4;Toutefois, on ne peut nier un fait : Gaunter de Meuré est une créature très ancienne. On le retrouve en marge des pages d'histoire lors de nombreux événements cruciaux survenus sur le continent. D'un autre côté, on peut difficilement qualifier ses actes de purement maléfiques. Gaunter révèle simplement des secrets de manière sélective, sans mentir le moins du monde. Il a donné un jouet à un enfant pour façonner ses rêves ou simplement aidé un homme égaré à retrouver son chemin. Ensuite, il s'est contenté d'attendre dans l'ombre pour voir ce qui arriverait. Pour son simple amusement.\nPourtant, les gens lui reprochent… à peu près tout, en fait.\nIl est surprenant de voir à quel point ils semblent avoir besoin de croire que les dieux et d'autres créatures supérieures contrôlent leur vie.
reward_tree_ep5_main_title;Maître Miroir
reward_tree_ep5_usurper_story_pt_1;Dans sa jeunesse, l'Usurpateur était un véritable patriote, honoré de servir son empire, malgré le mépris qu'il éprouvait pour ses dirigeants. Il doutait depuis longtemps des capacités de l'empereur Fergus var Emreis, persuadé que la faiblesse du souverain conduirait le Nilfgaard à sa perte. Hélas, l'Usurpateur avait pour seule ambition de combattre aux côtés de ses hommes pour améliorer l'empire, et il se satisfaisait de sa position. Les choses changèrent, bien sûr, quand un autre soldat, qu'il ne connaissait pourtant pas, attisa le ressentiment de l'Usurpateur envers l'empereur et l'incita à agir avant qu'il ne fût trop tard.
reward_tree_ep5_usurper_story_pt_2;Motivé par son patriotisme et ses nouvelles ambitions, l'Usurpateur prit du galon à une vitesse inouïe. Bien que sans cesse entravé par des ordres idiots, il sut se servir de son esprit de stratège pour assurer de nombreuses victoires décisives à l'empire. Il obtint rapidement le grade de général et se retrouva sous les ordres directs de l'empereur.\n\nToutefois, cette proximité avec Fergus ne fit qu'alimenter son mépris. L'Usurpateur voyait maintenant clairement la faiblesse et l'apathie de l'empereur.\n\nEt il décida donc de prendre les choses en main.
reward_tree_ep5_usurper_title;Empereur du Nilfgaard
reward_tree_ep5_viraxas_story_pt_1;Viraxas, le fils aîné du roi Belohun de Kerack, était quelqu'un de déterminé, au caractère bien trempé. Véritable homme d'action, il cherchait toujours à s'améliorer, surtout dans le domaine de l'escrime. Ironiquement, la force du jeune prince fut la cause de son bannissement. Son vieux père fragile ne supportait plus de voir son fils vigoureux, qui lui rappelait sans cesse que sa jeunesse et sa force étaient de l'histoire ancienne. La jalousie du roi se mua rapidement en mépris, puis en haine. Et il s'ensuivit une querelle qui aboutit à l'exil du prince.
reward_tree_ep5_viraxas_story_pt_2;Durant ses aventures de mercenaire, l'exilé Viraxas aiguisa ses compétences en développant des techniques de combat exotiques et non conventionnelles. Sa grande expérience lui conféra du charisme et il rencontra bientôt son grand amour : Ildiko. Toutefois, Viraxas ne se voyait pas poursuivre une vie de vagabond, d'autant plus maintenant qu'il avait trouvé l'amour. Il souhaitait rentrer chez lui et prendre sa place légitime sur le trône de Kerack. Et, plus important encore, il voulait faire payer à son père ses injustices.\n\nIl échafauda un plan sinistre et, par un heureux hasard, sa tendre Ildiko se procura une amulette enchantée à couper le souffle. Littéralement.
reward_tree_ep5_viraxas_title;Roi de Kerack
reward_tree_ep6_main_story_pt1;Beaucoup d'histoires, de rumeurs et de légendes circulaient à propos d'Alzur. Certaines étaient glorieuses et héroïques, d'autres peu flatteuses et infamantes. Les récits les plus abjects éclipsaient souvent ceux de ses exploits vertueux.
reward_tree_ep6_main_story_pt2;Chevalier ou paria ? Charlatan ou génie ? Brute ou héros ? Eh bien, il est assez difficile de donner une seule réponse, surtout lorsque l'on parle de mages dépassant l'ordre naturel des choses.
reward_tree_ep6_main_story_pt3;Comme souvent, la vérité se trouve à mi-chemin. Alzur était un personnage ambigu. En fait, il n'était ni malveillant ni bienveillant. Car il accomplissait des choses à la fois grandioses et ignobles. C'était un idéaliste autant qu'un homme mesquin.
reward_tree_ep6_main_story_pt4;Si Alzur avait un comportement aussi contradictoire, c'était peut-être car ses actes étaient dictés en grande partie par... ses souvenirs. Ses souvenirs d'une personne complètement différente de lui. Une femme qui croyait en la bonté et le sacrifice... et qui finit par donner sa vie pour ça.
reward_tree_ep6_main_title;Way of the Witcher
reward_tree_ep6_milfgaard_story_chest;L'École de la Vipère s'installa dans la forteresse de Gorthur Gvaed, qui était gardée par une tour remarquable, décorée d'une sinistre spirale s'enroulant autour. Cependant, elle était loin de rivaliser avec les douves terrifiantes l'encerclant, profondes de plusieurs centaines de pieds et vraiment... stupéfiantes. Personne n'était à même de dire si l'on pouvait encore qualifier d'eau ce qui les emplissait. L'odeur qui flottait au-dessus des douves était difficile à oublier, c'est le moins qu'on puisse dire. Après la chute de la forteresse, les sorceleurs survivants dirent en plaisantant que la puanteur avait dû conduire l'armée de l'Usurpateur jusqu'à Gorthur Gvaed.\nD'innombrables soldats périrent dans ce cloaque. Selon la légende, les morts furent si nombreux que l'on aurait pu traverser les douves sur un pont entièrement composé de cadavres. Et l'odeur ne fit qu'empirer.
reward_tree_ep6_milfgaard_story_pt1;Ivar fonda l'École de la Vipère avec un grand dessein en tête, contrairement aux rumeurs qui prétendent qu'elle n'existait que pour fournir des services peu reluisants. Le grand-maître avait compris qu'il n'atteindrait pas seul son véritable but : il entendait trouver et vaincre la Chasse Sauvage.
reward_tree_ep6_milfgaard_story_pt2;Voyez-vous, Ivar faisait partie des rares malheureux à avoir extrêmement bien supporté les mutations. Il fut donc choisi pour d'autres expériences plus complexes. De tous ceux qui furent soumis à ces améliorations, lui seul survécut : peut-être parce que les mages ne parvinrent qu'à accomplir partiellement l'épreuve.
reward_tree_ep6_milfgaard_story_pt3;Ces expériences eurent deux conséquences pour Ivar : il acquit un surnom et une nouvelle capacité de vision. Son "œil maléfique" lui permettait de voir un monde différent. Beaucoup d'autres mondes, en réalité. Avec cet œil, il vit des cavaliers spectraux s'élancer sur la Spirale et assista à leurs enlèvements, meurtres et conquêtes. Ces spectres qui hantaient inlassablement sa vision spéciale devinrent l'obsession d'Ivar.
reward_tree_ep6_milfgaard_story_pt4;Hélas, s'il apprit à bien connaître son ennemi, il ne parvint jamais à l'approcher suffisamment pour agir. Même s'il pouvait apercevoir de loin leurs saccages, il n'avait pas leur mobilité et se retrouvait toujours à poursuivre des ombres.\nLorsque la Chasse Sauvage fut enfin vaincue, Ivar avait péri depuis longtemps.
reward_tree_ep6_milfgaard_title;Ivar Malœil
reward_tree_ep6_monsters_story_chest;Dol Dhu Lokke était jadis une belle vallée pleine de vie avec un nom légèrement différent, plus agréable à l'oreille. Tout changea lors de la Conjonction des Sphères. La terre fut éventrée et des créatures terrifiantes surgirent à la surface, entrainant la mort de toutes les merveilles de la vallée.\nDurant les années qui suivirent, nul n'osa s'aventurer à Dol Dhu Lokke, hormis des sorceleurs. Ceux-ci étaient de deux sortes. Il y avait ceux qui pensaient devenir célèbres en purgeant enfin l'endroit des monstres et ceux qui cherchaient une mort glorieuse. Seuls ces derniers atteignirent leur but.\nSi les sorceleurs avaient échoué, la faim finit par accomplir l'objectif visé. Les prédateurs devinrent un jour plus nombreux que leurs proies et se retrouvèrent à court de nourriture. Les monstres se mirent alors à se battre entre eux.\nJusqu'à ce qu'ils se fussent tous entretués... ou que la faim eût raison d'eux.
reward_tree_ep6_monsters_story_pt1;Le viy était un monstre engendré par l'association de la magie et de la malchance. Il fut créé à Maribor par Alzur en personne avec sa double croix tristement célèbre. Cependant, le sort fut un échec. Une créature dotée d'un corps de serpent et d'un million de pattes se dressa au-dessus de la ville, puis se mit à tout détruire, en proie à une folie furieuse.
reward_tree_ep6_monsters_story_pt2;Lorsqu'il quitta Maribor, le viy avait réduit à l'état de ruines la moitié des bâtiments de la ville. Peu après, le monstre gorgé de sang humain se cacha dans les forêts d'Autre Rive et sombra dans un profond sommeil. Peut-être ne se serait-il jamais réveillé sans l'intervention du Conseil des mages.
reward_tree_ep6_monsters_story_pt3;Des sorciers voulaient étudier la dernière création connue d'Alzur. Cependant, l'apparition du monstre les laissa muets de terreur. Les mages savaient la destruction qu'il avait causée à Maribor, mais ne s'attendaient pas à voir une créature d'une taille aussi phénoménale. Ils n'avaient pas non plus prévu de la réveiller. Les sorts qu'ils avaient employés devaient lier le viy. Toutefois, la créature s'avéra une nouvelle fois assez résistante à la magie.
reward_tree_ep6_monsters_story_pt4;Lorsque le dernier émissaire du Conseil eut rendu l'âme, le viy aurait disparu sans laisser de trace. Cependant, d'aucuns déclarèrent avoir vu une ombre immense ramper hors des forêts sur la rive ouest en direction du sud.\nVers Dol Dhu Lokke, pour être précis.
reward_tree_ep6_monsters_title;Viy
reward_tree_ep6_nrealms_story_chest;L'École du Griffon s'installa entre les murs de la forteresse de Caer y Seren, aussi appelée Kaer Seren dans la langue commune. Son emplacement en faisait une fortification importante. Pas tant parce qu'elle se dressait sur les rives de la Grande Mer, mais parce qu'elle était proche des monts des Dragons. Par conséquent, rejoindre Kaer Seren par voie de terre était une tâche insurmontable pour beaucoup. L'endroit permettait aussi aux occupants de Kaer Seren d'accéder aux navires de commerce, ce qui leur assurait un bon approvisionnement permanent. Pourvus d'arbalètes, d'une position sûre et d'une source fiable de ravitaillement, les membres de l'École du Griffon se tenaient prêts à repousser tout assaut.\nNéanmoins, pas un seul soldat ne participa à la destruction de Kaer Seren.\nGrâce aux montagnes qui protégeaient depuis si longtemps l'École du Griffon, le Conseil des mages renversa la situation en déclenchant une avalanche destructrice, qui ensevelit les sorceleurs vivants. Keldar fut le seul survivant.\nLe vieux mentor garde aujourd'hui encore la forteresse en ruines de sa chère école.
reward_tree_ep6_nrealms_story_pt1;Parmi les premiers sorceleurs créés par Alzur, Erland de Larvik devint l'incarnation parfaite de la vision du mage, même s'il éprouvait le plus grand mépris pour l'homme et ses soi-disant "épreuves".
reward_tree_ep6_nrealms_story_pt2;Néanmoins, le maître de l'École du Griffon croyait sincèrement aux valeurs prêchées par Alzur. Comme le mage, il connaissait par cœur le "Guide des valeurs chevaleresques" dont il pouvait citer des passages à tout moment. Erland apprit même l'escrime auprès d'un des arrière-petits-enfants de l'auteur. D'une certaine façon, il devint chevalier avant de devenir sorceleur.
reward_tree_ep6_nrealms_story_pt3;Ce fut l'une des raisons qui poussèrent Erland à fonder sa propre école : il voulait guider les sorceleurs vers de plus nobles vertus, dans l'espoir de changer la perception que les gens avaient d'eux. Il se disait que les gens cesseraient peut-être un jour de craindre les tueurs de monstres pour leur témoigner à la place du respect et de la gratitude.
reward_tree_ep6_nrealms_story_pt4;Erland de Larvik envisageait aussi un avenir où les sorceleurs de l'École du Griffon n'auraient pas à monnayer leurs services. À cette fin, après avoir acquis une renommée, le sorceleur se mit à fréquenter les cours royales pour tenter de convaincre les souverains de faire un don à sa cause. S'il parvenait à ses fins, même un mendiant sans un orin vaillant pourrait compter sur l'aide des sorceleur de l'École du Griffon.\nHélas, malgré tout leur respect pour Erland, les aristocrates ne voyaient pas quel profit ils pourraient tirer d'un tel investissement et le sorceleur essuya donc refus sur refus.
reward_tree_ep6_nrealms_title;Erland de Larvik
reward_tree_ep6_scoiatael_story_chest;L'École du Chat n'avait pas de demeure précise. Au fil des ans, les sorceleurs eurent de nombreuses cachettes où ils soumirent leurs élèves aux processus de mutation. Ils créèrent de nombreux camps pour s'entraîner ensemble. Toutefois, le fondateur de l'école fut bien "créé" à la citadelle de Stygg, qui en fut donc le premier foyer.\nBrièvement, toutefois.\nRévolté contre leurs créateurs, le jeune Gezras poussa d'autres sorceleurs à s'enfuir de la citadelle. Il va sans dire qu'ils durent gagner leur liberté par la force. Après les douloureuses expériences auxquelles ils avaient été soumis, beaucoup n'hésitèrent pas à tuer les mages qui leur avaient causé du tort.\nPar la suite, les sorceleurs de l'École du Chat se renforcèrent, en garnissant leurs rangs de sorceleurs aux mutations ratées, qui avaient été rejetés par d'autres écoles. Les parias se réunirent pour créer les générations suivantes grâce à des méthodes expérimentales déviantes. Avec le temps, leurs mutations altérées et leur agressivité leur valurent le mépris des autres écoles.
reward_tree_ep6_scoiatael_story_pt1;Étant un demi-elfe, Gezras fut considéré comme une abomination et vendu aux mages de la citadelle de Stygg à un très jeune âge. Ses mutations faisaient partie d'un nouveau processus pour atténuer encore plus que d'habitude les émotions des apprentis sorceleurs. Toutefois, la nouvelle recette fut un échec... Et un échec des plus spectaculaires. Ironiquement, la méthode amplifia les émotions au lieu de les inhiber, ce qui provoqua chez Gezras et ses nouveaux frères une instabilité permanente, se traduisant par un comportement erratique.
reward_tree_ep6_scoiatael_story_pt2;Plus soucieux de découvrir l'origine de leur erreur que de veiller au bien-être de leurs cobayes, les mages enfermèrent leurs sorceleurs ratés avec la ferme intention de les disséquer jusqu'à avoir trouvé une solution. Après s'être réveillé au milieu d'un tas de cadavres, à peine vivant, Gezras parvint à libérer ses derniers frères prisonniers. Ensemble, ils réussirent à filer dans la nuit avant que les mages ne reprissent leurs travaux.
reward_tree_ep6_scoiatael_story_pt3;Au cours des années suivantes, ils se réfugièrent chez les Aen Seidhe, qui les aidèrent à se cacher de ceux qui cherchaient toujours à effacer leur erreur. Reconnaissants qu'on leur offrît ce sanctuaire, ils se servirent de leurs talents pour mener des actions de guérilla et des assassinats au nom des elfes.
reward_tree_ep6_scoiatael_story_pt4;Devenus plus forts et nombreux, les sorceleurs de l'École du Chat entreprirent d'infiltrer le siège de leurs créateurs égarés et les massacrèrent durant leur sommeil. Leur vengeance enfin assouvie, Gezras guida sa nouvelle École du Chat vers le nord où, libérés de leur passé, les sorceleurs purent prendre un nouveau départ.
reward_tree_ep6_scoiatael_title;Gezras de Leyd
reward_tree_ep6_skellige_story_chest;L'École de l'Ours était installée entre les murs glacés de Haern Caduch, une forteresse isolée, nichée entre les pics des monts Amell. Survivre dans ses salles inhospitalières était un défi de chaque instant, particulièrement pour les plus jeunes élèves. S'ils ne se blottissaient pas près de la chaleur de l'âtre pour éviter les engelures ou s'ils ne se glissaient pas sous des peaux pour éviter l'hypothermie, ils pouvaient toujours déblayer inlassablement la neige dans la cour... Les sorceleurs de cette école faisaient donc preuve d'une endurance extraordinaire, même comparée à celle de leurs pairs.\nBeaucoup pensent que c'est à cause de cette résistance des sorceleurs au froid, qu'au bout d'un temps, les villages environnants s'unirent et marchèrent sur la forteresse, préférant partager la montagne avec les monstres plutôt qu'avec des sorceleurs. Ces derniers n'étant guère unis, ils décidèrent d'abandonner Haern Caduch et de se séparer plutôt que de prendre part à un massacre inutile.\nÀ ce jour, la forteresse reste en assez bon état, même si une couche de neige toujours plus épaisse la recouvre.
reward_tree_ep6_skellige_story_pt1;L'on pourrait dire qu'Arnaghad était obstiné de naissance. Insolent avec les figures d'autorité, il exécrait quiconque tentait de lui imposer sa volonté, car être autonome lui importait plus que tout. Ce fut en grande partie pour cela qu'il décida de fonder sa propre école de sorceleurs.
reward_tree_ep6_skellige_story_pt2;Alors que d'autres sorceleurs se croyaient investis d'un devoir, une raison d'être transcendant le simple besoin⁠, Arnaghad ne voyait dans leur action rien de plus qu'un travail. Un sorceleur devait accepter des contrats, tuer des monstres et empocher son argent : le reste, soutenait-il, ne visait qu'à satisfaire bêtement l'égo.
reward_tree_ep6_skellige_story_pt3;Peu désireux d'être l'esclave d'un code auquel il ne croyait pas, il rassembla une poignée de sorceleurs partageant son point de vue et gagna les monts Amell, où il s'installa dans une forteresse au milieu des pentes glacées pour fonder l'École de l'Ours : un endroit où les apprentis sorceleurs pourraient apprendre leur métier, sans être distraits dans leur entraînement par les "honorables vertus".
reward_tree_ep6_skellige_story_pt4;Ironiquement, ce furent les fondements de l'école d'Arnaghad qui provoquèrent sa chute. Aucun sentiment de camaraderie n'existant entre les sorceleurs de l'École de l'Ours, ils finirent par partir chacun de son côté, ne voyant aucune raison de rester loyaux entre eux ou envers le maître de leur école.
reward_tree_ep6_skellige_title;Arnaghad
reward_tree_ep6_syndicate_story_chest;La principale planque de la Salamandre se trouvait dans les égouts de Wyzima. Elle regroupait les laboratoires où l'organisation produisait le fisstech et menait ses expériences, ainsi que des dortoirs pour tous les membres. De la sorte, la production de fisstech ne s'interrompait jamais. Les alchimistes produisaient la drogue inlassablement, de jour comme de nuit. Gellert Bleinheim dirigeait toute l'opération en collaboration avec son frère Roland, qui fournissait à la planque les fleurs de bident.\nQuant aux expériences... Les mages de la Salamandre travaillaient aussi sans relâche, en utilisant des mutagènes volés pour créer bien pire que des narcotiques.\nJusqu'à ce qu'un sorceleur aux cheveux blancs décidât de rendre une petite visite à la Salamandre, bien sûr...
reward_tree_ep6_syndicate_story_pt1;Rayla haïssait sincèrement les elfes. Elle se vantait volontiers d'en avoir tué un nombre incalculable. On ne peut donc s'empêcher de voir une ironie du sort dans ce qu'il finit par lui arriver.
reward_tree_ep6_syndicate_story_pt2;Rayla fut fauchée par des flèches elfes à Wyzima durant le combat entre les non-humains et l'Ordre de la Rose-Ardente. La mercenaire fut tuée par ceux-là mêmes qu'elle haïssait le plus. Ce fut du moins ce que tout le monde pensa.
reward_tree_ep6_syndicate_story_pt3;À l'agonie et respirant à peine, Rayla fut retrouvée par la Salamandre qui la soumit à un processus de mutation. La mercenaire survécut, mais il est difficile de dire ce qu'il restait d'elle.
reward_tree_ep6_syndicate_story_pt4;Rayla la Déchue avait été privée de son libre arbitre et son esprit était en ruines. Il ne restait que la haine qui l'avait dévorée durant toutes ces années. Cette fois, cependant, sa fureur n'était pas dirigée contre les non-humains, mais contre tout le monde, y compris ses anciens compagnons.
reward_tree_ep6_syndicate_title;Rayla la Déchue
reward_tree_ep7_ep7_main_chest_1;Si le pouvoir absolu corrompt absolument, il faut en chercher la raison dans l'angoisse qui entoure le sujet de la magie. Depuis des milliers d'années, ceux qui cherchent le pouvoir se servent de l'énergie mystique comme élément essentiel de leurs méfaits. De l'usage abusif de la nécromancie interdite et de la guerre alchimique par le Nilfgaard jusqu'aux rites sacrificiels pervers de l'archipel de Skellige, le chaos a toujours été exploité sans limite. Il suffit de s'intéresser brièvement au côté sombre de l'histoire de la magie pour comprendre le mépris que beaucoup lui vouent.
reward_tree_ep7_ep7_main_chest_2;Ce fut bien avant le règne de Radovid V que les préjugés envers les magiciens apparurent avec toute leur horreur. Dans le but de présenter toute la pratique sous un jour négatif, une poignée d'iconoclastes se mit à qualifier la magie de sorcellerie, en pointant du doigt les méfaits de quelques corrompus. Bientôt se propagèrent des histoires à propos de cruelles sorcières et de leurs manigances diaboliques, vilipendant tous les adeptes de la magie, bonne ou mauvaise, et attisant les flammes d'une persécution généralisée. Des roturiers jusqu'aux artistocrates, les gens se mirent à considérer la magie comme un dévoiement de l'ordre naturel, et tous ses pratiquants furent perçus comme des misérables pervers et dépravés. Peu après, la perception générale de la magie changea assez radicalement, les chasses aux sorcières se répandirent et les bûchers se mirent à brûler à travers tout le continent, réduisant en cendres les coupables comme les innocents.
reward_tree_ep7_ep7_main_chest_3;Au fil des ans, les persécutions contre les mages poussèrent de nombreux indépendants à se spécialiser dans l'identification des adeptes de la magie et leur châtiment. Hormis l'armée de chasseurs de sorcières de Radovid, nul ne rencontra plus de succès qu'Octavia Hale, la "Débusqueuse de sorcières" autoproclamée, et ses fils déterminés, Fabian et Ignatius. Les Hale auraient eu un don inégalé pour flairer l'odeur de la sorcellerie et cumulèrent un nombre impressionnant de chasses profitables durant leurs années d'activité. En fait, leurs méthodes devinrent si fiables qu'elles furent sujet de plaisanterie dans les tavernes des Royaumes du Nord, où l'on entendait souvent dire : si on n'a pas encore brûlé de sorcière dans votre ville, c'est que les Hale n'y sont pas encore passés.
reward_tree_ep7_ep7_main_story_pt1;N/A
reward_tree_ep7_ep7_main_story_pt2;N/A
reward_tree_ep7_ep7_main_story_pt3;N/A
reward_tree_ep7_ep7_main_story_pt4;N/A
reward_tree_ep7_francesca_chest_1;Francesca abhorrait la réticence de son père à affronter les dh'oine sur le champ de bataille. Elle voyait son refus de s'impliquer dans les affaires extérieures comme un acte de lâcheté et un affront pour tous les elfes souhaitant vivre sans être persécutés. Elle avait beau le supplier avec insistance, Simlas refusait d'envoyer ses sujets au massacre et interdisait à sa fille de s'en mêler. Hélas, ses paroles tombèrent dans l'oreille d'une sourde. Convaincue par la rhétorique empoisonnée de la guerrière elfe Aelirenn, Francesca défia les ordres de son père, rassembla les siens et rejoignit la rébellion.
reward_tree_ep7_francesca_chest_2;La triste prophétie de Simlas Findabair se réalisa. La rébellion ne dura pas, et une génération d'elfes fut éliminée et massacrée sans pitié lors de la conquête humaine. Francesca eut la chance de survivre à son aventure condamnée, mais sa nature effrontée lui avait coûté cher. La plupart de ses compagnons étaient morts et le potentiel de sa race avait été anéanti. Qui plus est, courroucé par la trahison de sa fille, son père la renia, en jurant que jamais plus il ne lui adresserait la parole : une promesse qu'il tint jusqu'à son dernier jour.
reward_tree_ep7_francesca_chest_3;Il fut un temps où les décisions de Francesca étaient guidées par son tempérament fougueux, gouvernées par son désir d'agir vite plutôt que par calcul. Toutefois, une vie d'erreurs peut tempérer admirablement l'impétuosité de quelqu'un et, lentement mais sûrement, Francesca devint la froide stratège que son père avait rêvé de faire d'elle. Pourtant, même lui eût été horrifié par le pacte qu'elle conclut plus tard avec l'empereur du Nilfgaard.
reward_tree_ep7_francesca_story_pt1;Il fut un temps où Francesca Findabair ne se souciait pas le moins du monde des avantages du tact diplomatique. Elle était persuadée qu'une action directe était le meilleur moyen d'assurer la survie des elfes, surtout face aux humains, une race réputée pour son avidité de terres et ses méthodes sournoises.
